i,err,r,omega,delta_j,delta_s,phi,eta,rho,psi,wedge_mentoring,wedge_throughput,welfare_gap_pct,gain_s_m,gain_s_v,gain_s_w,gain_t_a
2,8.104628079763315e-14,0.03225225191175466,0.028661917248404882,0.22746170488770062,0.10069932453113034,0.10586151370942228,0.527808869499448,0.3548160820760246,0.5353113020492273,6.266824730744143,0.09617923677162943,1.9422864603968915,1.2019923477823102,0.1008881859872579,-0.5058823066720342,
5,2.2204460492503377e-14,0.03938474987552502,0.03172726147040984,0.22649062676966447,0.10863344169917702,0.16933736400843502,0.5357398405767402,0.38214877475857334,0.32998872577440436,14.982243216596181,0.08657724116794419,1.7154514532548015,1.0824114628616766,0.06255178779999149,-0.32654742714223195,
7,2.6645352591004114e-14,0.03703561836894035,0.023460661564189397,0.22870019803046449,0.08952250502114628,0.20318306369861056,0.4396845902569707,0.37354719706946515,0.3220274790381151,7.243756787176217,0.054943173501377895,1.1699187068144434,0.5837856468746017,0.038424667491643305,-0.11062188594228584,
9,6.217248937900858e-15,0.0435140701705945,0.021925332701581073,0.2537276159214688,0.07218454811897577,0.2583626580819749,0.411676984616031,0.4068700043659932,0.3847371396534014,3.969625084178536,0.052063691271192036,1.2550079467510855,0.4344323363314473,0.03558938409169432,-0.06668000715014388,
10,6.328271240363593e-14,0.04798797828203016,0.026953729307648354,0.2774479276619497,0.105836336142222,0.21407242612946148,0.4877610835952354,0.513880507217405,0.3400783968033886,9.627920855886416,0.07058148031611289,1.4709123588521944,0.8126268790793478,0.046568772573052364,-0.17455104376680186,
14,3.1974423109204e-14,0.031040855746268626,0.027162587277640548,0.17891601747976146,0.06833964160134953,0.24271589574658262,0.45574689072286173,0.6521534775197252,0.31372699903124673,5.182301409482499,0.0557215102557409,1.2121371873283104,0.43546307851027866,0.028929112329434403,-0.06917654128748563,
15,2.3980817331903094e-14,0.03605910707146323,0.022562609614080735,0.1912423561170841,0.07020335578315516,0.27036393081431753,0.5451568608925559,0.7274896901009134,0.25579135046883683,7.564023043993185,0.043055327067838434,0.9016357125968932,0.4683913559074826,0.02182428725816532,-0.08125315363277652,
18,4.6629367034256685e-15,0.048636264400322995,0.027837503366806786,0.27907424123354124,0.098582587893321,0.13337919807436743,0.458123176575274,0.5637194991261362,0.3967459130922282,6.2781541647791785,0.07519924268978406,1.5086162865480368,0.6993458083508264,0.04392119203875389,-0.1426868533507042,
20,2.8488322811885576e-13,0.035754155856119595,0.024365547858056204,0.26955246606319805,0.09945779744089883,0.10279696126463794,0.5784232293521482,0.43089333523427087,0.32532756334377544,11.401154183794793,0.06353813700904842,1.2176315216794187,0.7865125240953619,0.03452792931539772,-0.22044241130247944,
21,4.884981308350677e-15,0.046677983916173525,0.024572557764946525,0.17455486619315808,0.07231442591170012,0.15845784860268977,0.563951423022925,0.6488818282607081,0.3792076482236052,6.16053127715758,0.06251873015452003,1.2344169844738184,0.6041421682927872,0.03262296986781266,-0.1617002889673813,
