series,x,value
jd.algo,2018,100.0
jd.algo,2019,135.1432
jd.algo,2020,167.1252
jd.algo,2021,205.0
jd.algo,2022,253.3277
jd.algo,2023,298.0
jd.algo,2024,333.2498
jd.algo,2025,368.0
jd.meng,2018,100.0
jd.meng,2019,121.799
jd.meng,2020,136.5676
jd.meng,2021,168.0
jd.meng,2022,214.0
jd.meng,2023,388.0
jd.meng,2024,507.8139
jd.meng,2025,612.0
jd.data,2018,100.0
jd.data,2019,125.7981
jd.data,2020,147.7037
jd.data,2021,176.0
jd.data,2022,210.7091
jd.data,2023,242.0
jd.data,2024,269.4979
jd.data,2025,295.0
jd.prod,2018,100.0
jd.prod,2019,128.3268
jd.prod,2020,150.8043
jd.prod,2021,182.0
jd.prod,2022,221.743
jd.prod,2023,262.0
jd.prod,2024,296.0534
jd.prod,2025,331.0
jd.gov,2018,100.0
jd.gov,2019,117.13
jd.gov,2020,139.9233
jd.gov,2021,170.0
jd.gov,2022,228.0737
jd.gov,2023,286.0
jd.gov,2024,342.4407
jd.gov,2025,402.0
forecast.base,2025,598.0
forecast.base,2026,652.4035
forecast.base,2027,704.6347
forecast.base,2028,758.3673
forecast.base,2029,810.2458
forecast.base,2030,862.0
forecast.base,2031,908.1005
forecast.base,2032,949.6522
forecast.base,2033,995.3835
forecast.base,2034,1035.3908
forecast.base,2035,1080.0
forecast.fast,2025,598.0
forecast.fast,2026,663.4432
forecast.fast,2027,726.3058
forecast.fast,2028,789.7994
forecast.fast,2029,852.5714
forecast.fast,2030,918.0
forecast.fast,2031,977.6753
forecast.fast,2032,1046.1943
forecast.fast,2033,1110.9995
forecast.fast,2034,1174.6892
forecast.fast,2035,1240.0
forecast.slow,2025,598.0
forecast.slow,2026,639.4639
forecast.slow,2027,678.4141
forecast.slow,2028,721.9082
forecast.slow,2029,758.4025
forecast.slow,2030,792.0
forecast.slow,2031,816.2275
forecast.slow,2032,837.4765
forecast.slow,2033,856.4839
forecast.slow,2034,871.2561
forecast.slow,2035,890.0
te_sample.部属高校,0,0.8446
te_sample.部属高校,1,0.8395
te_sample.部属高校,2,0.8429
te_sample.部属高校,3,0.8345
te_sample.部属高校,4,0.8594
te_sample.部属高校,5,0.7502
te_sample.部属高校,6,0.68
te_sample.部属高校,7,0.7912
te_sample.部属高校,8,0.7926
te_sample.部属高校,9,0.7748
te_sample.部属高校,10,0.7547
te_sample.部属高校,11,0.9229
te_sample.部属高校,12,0.7168
te_sample.部属高校,13,0.6751
te_sample.部属高校,14,0.744
te_sample.部属高校,15,0.8524
te_sample.部属高校,16,0.785
te_sample.部属高校,17,0.8961
te_sample.部属高校,18,0.8813
te_sample.部属高校,19,0.7905
te_sample.部属高校,20,0.95
te_sample.部属高校,21,0.7307
te_sample.部属高校,22,0.8652
te_sample.部属高校,23,0.7622
te_sample.部属高校,24,0.8711
te_sample.部属高校,25,0.7759
te_sample.部属高校,26,0.8055
te_sample.部属高校,27,0.7769
te_sample.部属高校,28,0.8014
te_sample.部属高校,29,0.723
te_sample.部属高校,30,0.7943
te_sample.部属高校,31,0.7834
te_sample.部属高校,32,0.7561
te_sample.部属高校,33,0.8226
te_sample.部属高校,34,0.7866
te_sample.部属高校,35,0.6441
te_sample.部属高校,36,0.8709
te_sample.部属高校,37,0.7718
te_sample.部属高校,38,0.7132
te_sample.部属高校,39,0.6398
te_sample.部属高校,40,0.95
te_sample.部属高校,41,0.7786
te_sample.部属高校,42,0.8218
te_sample.部属高校,43,0.7958
te_sample.部属高校,44,0.8495
te_sample.部属高校,45,0.6768
te_sample.部属高校,46,0.6782
te_sample.部属高校,47,0.7086
te_sample.部属高校,48,0.7476
te_sample.部属高校,49,0.7729
te_sample.部属高校,50,0.7778
te_sample.部属高校,51,0.7091
te_sample.部属高校,52,0.6817
te_sample.部属高校,53,0.8563
te_sample.部属高校,54,0.8313
te_sample.部属高校,55,0.8833
te_sample.部属高校,56,0.7849
te_sample.部属高校,57,0.8289
te_sample.部属高校,58,0.8851
te_sample.部属高校,59,0.7621
te_sample.地方本科,0,0.6743
te_sample.地方本科,1,0.7566
te_sample.地方本科,2,0.7725
te_sample.地方本科,3,0.6944
te_sample.地方本科,4,0.6681
te_sample.地方本科,5,0.7311
te_sample.地方本科,6,0.7029
te_sample.地方本科,7,0.7379
te_sample.地方本科,8,0.6376
te_sample.地方本科,9,0.6564
te_sample.地方本科,10,0.7146
te_sample.地方本科,11,0.7279
te_sample.地方本科,12,0.571
te_sample.地方本科,13,0.6739
te_sample.地方本科,14,0.6927
te_sample.地方本科,15,0.6162
te_sample.地方本科,16,0.6741
te_sample.地方本科,17,0.6388
te_sample.地方本科,18,0.674
te_sample.地方本科,19,0.7961
te_sample.地方本科,20,0.5887
te_sample.地方本科,21,0.6747
te_sample.地方本科,22,0.7274
te_sample.地方本科,23,0.6352
te_sample.地方本科,24,0.708
te_sample.地方本科,25,0.6499
te_sample.地方本科,26,0.7196
te_sample.地方本科,27,0.4975
te_sample.地方本科,28,0.5904
te_sample.地方本科,29,0.5824
te_sample.地方本科,30,0.7199
te_sample.地方本科,31,0.6972
te_sample.地方本科,32,0.8127
te_sample.地方本科,33,0.7307
te_sample.地方本科,34,0.5858
te_sample.地方本科,35,0.7255
te_sample.地方本科,36,0.4732
te_sample.地方本科,37,0.6457
te_sample.地方本科,38,0.6812
te_sample.地方本科,39,0.6762
te_sample.地方本科,40,0.653
te_sample.地方本科,41,0.6954
te_sample.地方本科,42,0.7686
te_sample.地方本科,43,0.7139
te_sample.地方本科,44,0.6704
te_sample.地方本科,45,0.7095
te_sample.地方本科,46,0.6562
te_sample.地方本科,47,0.7201
te_sample.地方本科,48,0.7463
te_sample.地方本科,49,0.6333
te_sample.地方本科,50,0.5695
te_sample.地方本科,51,0.6268
te_sample.地方本科,52,0.7872
te_sample.地方本科,53,0.8127
te_sample.地方本科,54,0.6485
te_sample.地方本科,55,0.7093
te_sample.地方本科,56,0.6846
te_sample.地方本科,57,0.7453
te_sample.地方本科,58,0.6347
te_sample.地方本科,59,0.6482
te_sample.地方本科,60,0.579
te_sample.地方本科,61,0.8062
te_sample.地方本科,62,0.7516
te_sample.地方本科,63,0.7711
te_sample.地方本科,64,0.7195
te_sample.地方本科,65,0.7758
te_sample.地方本科,66,0.7291
te_sample.地方本科,67,0.715
te_sample.地方本科,68,0.6412
te_sample.地方本科,69,0.6539
te_sample.地方本科,70,0.702
te_sample.地方本科,71,0.7364
te_sample.地方本科,72,0.7489
te_sample.地方本科,73,0.6746
te_sample.地方本科,74,0.6369
te_sample.地方本科,75,0.6435
te_sample.地方本科,76,0.7508
te_sample.地方本科,77,0.6288
te_sample.地方本科,78,0.8029
te_sample.地方本科,79,0.7442
te_sample.地方本科,80,0.7076
te_sample.地方本科,81,0.7461
te_sample.地方本科,82,0.8348
te_sample.地方本科,83,0.6905
te_sample.地方本科,84,0.7163
te_sample.地方本科,85,0.7752
te_sample.地方本科,86,0.733
te_sample.地方本科,87,0.6417
te_sample.地方本科,88,0.6413
te_sample.地方本科,89,0.7423
te_sample.地方本科,90,0.6922
te_sample.地方本科,91,0.5967
te_sample.地方本科,92,0.6632
te_sample.地方本科,93,0.7204
te_sample.地方本科,94,0.6423
te_sample.地方本科,95,0.7811
te_sample.地方本科,96,0.6184
te_sample.地方本科,97,0.7059
te_sample.地方本科,98,0.7303
te_sample.地方本科,99,0.5652
te_sample.地方本科,100,0.7418
te_sample.地方本科,101,0.7887
te_sample.地方本科,102,0.6199
te_sample.地方本科,103,0.6972
te_sample.地方本科,104,0.8118
te_sample.地方本科,105,0.6482
te_sample.地方本科,106,0.6034
te_sample.地方本科,107,0.6809
te_sample.地方本科,108,0.8253
te_sample.地方本科,109,0.6636
te_sample.地方本科,110,0.7729
te_sample.地方本科,111,0.6593
te_sample.地方本科,112,0.7256
te_sample.地方本科,113,0.7266
te_sample.地方本科,114,0.6287
te_sample.地方本科,115,0.7168
te_sample.地方本科,116,0.6688
te_sample.地方本科,117,0.6249
te_sample.地方本科,118,0.7944
te_sample.地方本科,119,0.7074
te_sample.地方本科,120,0.4986
te_sample.地方本科,121,0.8185
te_sample.地方本科,122,0.7349
te_sample.地方本科,123,0.6087
te_sample.地方本科,124,0.6807
te_sample.地方本科,125,0.6361
te_sample.地方本科,126,0.7028
te_sample.地方本科,127,0.7552
te_sample.地方本科,128,0.583
te_sample.地方本科,129,0.622
te_sample.地方本科,130,0.6855
te_sample.地方本科,131,0.7853
te_sample.地方本科,132,0.6222
te_sample.地方本科,133,0.5365
te_sample.地方本科,134,0.6854
te_sample.地方本科,135,0.6628
te_sample.地方本科,136,0.664
te_sample.地方本科,137,0.7713
te_sample.地方本科,138,0.746
te_sample.地方本科,139,0.8058
te_sample.地方本科,140,0.58
te_sample.地方本科,141,0.7047
te_sample.地方本科,142,0.7541
te_sample.地方本科,143,0.8661
te_sample.地方本科,144,0.6575
te_sample.地方本科,145,0.649
te_sample.地方本科,146,0.6972
te_sample.地方本科,147,0.6149
te_sample.地方本科,148,0.6503
te_sample.地方本科,149,0.7175
te_sample.地方本科,150,0.6708
te_sample.地方本科,151,0.6634
te_sample.地方本科,152,0.7981
te_sample.地方本科,153,0.8761
te_sample.地方本科,154,0.6756
te_sample.地方本科,155,0.6709
te_sample.地方本科,156,0.6196
te_sample.地方本科,157,0.7118
te_sample.地方本科,158,0.5957
te_sample.地方本科,159,0.6313
te_sample.高职高专,0,0.6343
te_sample.高职高专,1,0.6221
te_sample.高职高专,2,0.7999
te_sample.高职高专,3,0.6158
te_sample.高职高专,4,0.6177
te_sample.高职高专,5,0.4442
te_sample.高职高专,6,0.5246
te_sample.高职高专,7,0.617
te_sample.高职高专,8,0.7035
te_sample.高职高专,9,0.5934
te_sample.高职高专,10,0.7091
te_sample.高职高专,11,0.672
te_sample.高职高专,12,0.6175
te_sample.高职高专,13,0.5523
te_sample.高职高专,14,0.7314
te_sample.高职高专,15,0.525
te_sample.高职高专,16,0.6272
te_sample.高职高专,17,0.5994
te_sample.高职高专,18,0.781
te_sample.高职高专,19,0.5712
te_sample.高职高专,20,0.6802
te_sample.高职高专,21,0.6685
te_sample.高职高专,22,0.5755
te_sample.高职高专,23,0.5645
te_sample.高职高专,24,0.5528
te_sample.高职高专,25,0.7529
te_sample.高职高专,26,0.6611
te_sample.高职高专,27,0.5485
te_sample.高职高专,28,0.6132
te_sample.高职高专,29,0.6648
te_sample.高职高专,30,0.7097
te_sample.高职高专,31,0.7344
te_sample.高职高专,32,0.7749
te_sample.高职高专,33,0.7291
te_sample.高职高专,34,0.7308
te_sample.高职高专,35,0.7005
te_sample.高职高专,36,0.6055
te_sample.高职高专,37,0.6517
