#	single wave (median)	single wave (range)	pooled	between-person	within-person	between − within	p (equal)	q (BH)
W1	-0.005	-0.021 to 0.013	-0.005*	-0.013***	0.004	0.017	<.001	<.001
W2	-0.004	-0.026 to 0.023	-0.001	-0.007*	0.003	0.010	.017	.046
W3	-0.011	-0.022 to 0.001	-0.006**	-0.002	-0.005***	-0.006	.041	.094
W4	0.016	-0.469 to 0.187	0.006	0.048	-0.015	-0.061	.133	.221
W5	0.019	-0.047 to 0.099	0.022	0.041	0.012	-0.045	.138	.221
W6	0.006	0.002 to 0.013	-0.000	0.002	-0.004*	-0.007	<.001	.003
W7	-0.006	-0.015 to -0.003	-0.006***	-0.004	-0.006***	-0.002	.274	.365
W8	-0.011	-0.025 to -0.002	-0.007***	-0.007	-0.004**	0.005	.169	.246
M1	0.017	-0.023 to 0.129	0.028**	-0.006	0.031***	0.035	.397	.445
M2	0.008	-0.017 to 0.044	-0.013	0.008	-0.014*	-0.023	.001	.004
M3	-0.016	-0.033 to 0.006	-0.013	0.004	-0.016**	-0.028	<.001	<.001
M4	0.004	-0.012 to 0.021	0.008	0.000	0.012*	0.011	.329	.405
M5	-0.066	-0.231 to 0.038	-0.083	-0.140	-0.075	0.063	.663	.663
M6	-0.005	-0.030 to 0.016	-0.009	-0.025*	-0.007	0.020	.059	.119
M7	-0.010	-0.028 to -0.005	-0.014**	-0.008	-0.008*	-0.006	.009	.030
M8	0.001	-0.100 to 0.247	0.047	-0.017	0.076	0.090	.417	.445
