prov,pname,tier,major,degree,female,rural,party,gpa,intern,cert,sns,n_apply,search_cost,search_months,civil_exam,slow_emp,employed,match,wage,lnw,contract,insurance,quit_intent,quality,expect_wage,exp_gap,sat_pay1,sat_pay2,sat_pay3,sat_dev1,sat_dev2,sat_dev3,sat_env1,sat_env2,sat_env3,sat_overall,use_career_course,use_internship_prog,use_info_service,use_targeted_help,eff_career_course,eff_internship_prog,eff_info_service,eff_targeted_help
js,江苏,0,0,0,1,0,0,0.6559295326709762,3,2,3.608392047317936,22,1730.0,4.2,1,0,1,1,5190.0,8.554488976159934,1.0,1.0,0.0,71.44347826086957,5871.0,0.12329127990425093,5.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,3.0,3.97,0,1,1,1,,2.94,2.6,3.38
js,江苏,1,5,0,1,1,0,0.7888588773166356,0,0,3.229103321512683,44,3103.0,7.1,1,0,1,1,3233.0,8.081165777725433,1.0,1.0,0.0,60.34782608695652,3800.0,0.1615905679890446,5.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,3.79,1,1,1,1,1.88,3.53,3.35,3.55
js,江苏,1,4,0,1,1,0,0.4638888588523948,0,0,3.871518224072479,55,3832.0,8.3,1,0,1,1,4368.0,8.38206051742474,0.0,1.0,1.0,39.915942028985505,4568.0,0.04477023391110535,3.0,4.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,2.55,1,0,1,0,3.49,,2.51,
js,江苏,1,0,0,0,0,0,0.5242857823554468,1,0,4.974498616097263,41,3374.0,5.1,0,0,1,1,5505.0,8.61341204915678,1.0,0.0,0.0,59.6840579710145,7813.0,0.3501322428399636,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,2.84,1,0,1,1,3.34,,4.52,3.19
js,江苏,2,0,1,1,0,0,0.21615271387834878,0,2,3.762579693418929,61,3145.0,7.8,0,0,1,1,4901.0,8.497194544909547,1.0,1.0,0.0,69.14782608695651,4904.0,0.0006119327064997293,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.89,1,0,0,0,2.82,,,
js,江苏,2,2,1,0,0,0,0.2869429841875075,1,1,3.3677189424219085,48,2853.0,7.9,0,0,1,0,9328.0,9.140775908590273,1.0,1.0,1.0,67.4144927536232,11344.0,0.19566834018163526,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.68,1,0,0,0,4.09,,,
js,江苏,1,0,0,0,1,0,0.3078446929090579,0,1,3.3396850394978794,45,3190.0,2.8,0,0,1,1,8693.0,9.070273383079064,0.0,0.0,1.0,55.9536231884058,12754.0,0.3833268437961532,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.18,1,0,1,0,4.19,,2.42,
js,江苏,2,3,0,1,0,0,0.7122661447614317,3,1,4.378064952493735,45,3542.0,3.1,0,0,1,1,3796.0,8.241703159729818,0.0,1.0,0.0,46.76231884057971,5013.0,0.2780866575336862,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.32,0,1,1,0,,3.14,3.13,
js,江苏,1,4,1,0,1,0,0.05141464038238974,2,0,2.4747048822584277,37,1664.0,4.1,0,0,1,0,5852.0,8.674538762140015,1.0,0.0,0.0,43.0,7536.0,0.2529080541161832,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2.92,1,0,1,0,2.54,,4.2,
js,江苏,2,3,1,0,1,1,0.9185691440341454,1,0,3.094402743939313,47,1575.0,3.2,0,0,1,1,4982.0,8.513586695822125,1.0,1.0,0.0,69.82608695652173,5979.0,0.18242191305877853,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.71,0,1,1,0,,3.38,3.79,
