participant_id,t_index,day,prompt_of_day,answered,deployed_family,negative affect,positive affect,arousal,stressor intensity,controllability appraisal,social presence,at home,time of day (sin),time of day (cos),day in protocol,regulatory effort,perceived regulation success,response latency,item: changed the situation,item: looked away or distracted,item: thought about it differently,item: kept it inside
1,1,1,1,1,Attentional deployment,2.1239,4.5036,4.2110,0.3581,0.1651,1.0000,0.0000,0.0000,1.0000,0.0000,3.2548,2.9839,-0.6130,2.9717,5.6318,1.6802,2.9197
1,2,1,2,0,Situation selection,3.2523,5.8803,3.5969,0.1368,0.1683,0.0000,0.0000,0.8660,0.5000,0.0000,2.7472,1.0000,0.2763,4.3277,2.9870,1.9464,1.4932
1,3,1,3,1,Attentional deployment,3.3810,4.4820,4.3973,0.2325,0.8249,1.0000,0.0000,0.8660,-0.5000,0.0000,2.3956,3.2526,0.2529,1.0000,6.5660,2.0375,2.1376
1,4,1,4,1,Cognitive change,3.0005,4.1802,4.1073,0.5099,0.5126,1.0000,0.0000,0.0000,-1.0000,0.0000,3.7535,2.9339,0.5378,3.9310,4.6868,7.0000,1.0000
1,5,1,5,1,Situation selection,3.9599,5.2041,4.5739,0.5072,0.5826,1.0000,1.0000,-0.8660,-0.5000,0.0000,2.4537,1.5916,-0.0742,3.9092,3.4128,1.0000,2.5150
1,6,1,6,0,Cognitive change,2.9111,3.7594,4.3720,0.4806,0.4224,0.0000,1.0000,-0.8660,0.5000,0.0000,3.5030,4.9660,0.5376,1.0000,2.2493,5.6361,1.0000
1,7,2,1,1,Situation modification,1.5279,6.7514,3.7162,0.2409,0.6692,0.0000,0.0000,0.0000,1.0000,0.0769,2.7503,3.3580,-0.3487,4.5851,3.9397,2.5208,1.0000
1,8,2,2,1,Situation selection,1.4882,5.4341,4.2539,0.5856,0.8606,1.0000,0.0000,0.8660,0.5000,0.0769,3.5907,6.4046,-0.8377,4.1143,3.2013,1.0000,3.2387
1,9,2,3,1,Cognitive change,2.4370,5.7758,3.6587,0.2343,0.6146,1.0000,1.0000,0.8660,-0.5000,0.0769,3.7908,3.1499,0.8524,1.0000,2.5209,5.4136,1.0000
1,10,2,4,0,Cognitive change,2.2033,5.6891,4.0893,0.3898,0.2060,1.0000,1.0000,0.0000,-1.0000,0.0769,2.7332,4.9842,-0.1068,1.0000,1.0000,7.0000,1.0000
1,11,2,5,1,Cognitive change,1.9681,5.1493,3.6328,0.1183,0.2114,0.0000,1.0000,-0.8660,-0.5000,0.0769,3.4428,3.6763,0.4483,1.0000,2.5230,6.3756,1.5695
1,12,2,6,1,Response modulation,2.7833,4.9371,3.7909,0.2049,0.5228,1.0000,0.0000,-0.8660,0.5000,0.0769,2.9431,2.4755,0.5665,2.2050,1.7342,1.4095,7.0000
1,13,3,1,1,Situation modification,2.3479,5.5886,4.3361,0.4405,0.4156,0.0000,1.0000,0.0000,1.0000,0.1538,4.0884,2.8955,-0.0686,6.1315,1.7333,1.0000,1.0000
1,14,3,2,1,Situation modification,2.0263,5.1644,3.3800,0.3572,0.7309,0.0000,0.0000,0.8660,0.5000,0.1538,1.7637,5.0910,-0.1998,6.6412,1.0000,1.7820,1.0874
