participant_id,split,prompts_answered,trait_SS,trait_SM,trait_AD,trait_CC,trait_RM,adapt_SS,adapt_SM,adapt_AD,adapt_CC,adapt_RM,label_SS,label_SM,label_AD,label_CC,label_RM,ERQCA_reappraisal,ERQCA_suppression,ERC_teacher
1,validation,34,-0.0110,0.1431,-0.4008,-0.1812,-1.5945,0.6138,1.2275,0.7732,0.7558,-1.5000,1,1,0,1,0,2.762,1.766,3.612
2,train,43,0.5937,0.3550,1.1578,1.4432,0.5039,-0.1206,0.3387,1.3178,0.9541,0.6442,0,0,1,1,0,4.681,3.041,3.304
3,train,40,-1.3035,-0.9629,-1.1097,-0.2896,0.0853,-1.5000,0.7042,1.0103,0.5273,0.8915,0,0,1,1,1,3.358,2.720,3.151
4,train,35,-0.2500,-0.7255,0.3040,-0.5967,-0.2657,-0.4104,0.1099,1.5006,0.1684,0.5157,0,0,1,0,0,3.573,2.096,3.247
5,train,39,0.0398,-0.6013,-1.4944,-0.3809,-0.8037,1.0078,0.2401,0.3581,0.6852,0.6729,1,0,0,1,0,4.193,2.017,3.526
6,validation,35,-1.2626,-2.0569,-1.4182,-0.9048,0.3134,0.4727,-0.1877,0.4988,0.4029,1.5475,1,0,0,0,1,2.929,2.112,3.130
7,train,31,-0.2876,-1.1215,-0.6876,-1.8067,-0.4002,0.4453,0.9779,0.7412,-1.5000,0.9626,1,1,0,0,1,2.213,1.360,3.272
8,test,35,-0.3195,-0.1679,-0.3045,-0.0177,-1.0266,0.4350,0.5207,1.4742,0.5007,0.2389,1,0,1,1,0,2.997,1.978,4.000
9,train,37,1.3540,0.5661,1.7075,0.2265,0.9461,0.8485,0.9837,1.3089,-1.5000,0.7358,1,1,1,0,1,4.447,3.898,2.810
10,train,39,-0.5319,0.2012,0.9865,0.1104,-0.7958,-0.5882,0.7270,1.3876,0.6962,-0.0798,0,0,1,1,0,4.101,2.388,3.523
11,test,31,-1.8483,-1.7485,-0.2536,-1.7031,-0.8973,0.2511,0.2331,1.1723,0.3663,0.6370,0,0,1,0,0,2.431,2.003,3.353
12,test,37,0.2766,-0.2768,0.3117,-0.4991,-0.4582,0.8265,0.4860,1.3292,0.4104,0.3566,1,0,1,0,0,4.370,1.892,4.000
13,train,39,0.0204,0.9755,0.1082,1.1305,-0.2113,-1.5000,0.8986,0.7045,1.3236,-1.5000,0,1,0,1,0,4.519,2.173,2.692
14,validation,35,1.3062,-0.3058,-0.1908,0.0385,-1.3495,1.3357,0.0367,0.8288,0.5641,-1.5000,1,0,0,1,0,2.882,1.698,2.615
