pid,occupation,exposure,female,age,master,stem,tier1,months_grad,employed,parent_edu,internship,income,retained,phcd1,phcd2,phcd3,phcd4,anx1,anx2,anx3,anx4,lit1,lit2,lit3,lit4,sup1,sup2,sup3,sup4,adp1,adp2,adp3,adp4,avd1,avd2,avd3,mkr1,mkr2,mkr3,reskill_hours
1,Sales,0.48,1,25,0,0,0,28,1,0,0,9600.0,1,4,2,3,3,4,4,4,6,4,3,3,2,5,4,7,5,3.0,3.0,2.0,2.0,6.0,5.0,4.0,3,3,4,12.0
2,Marketing and e-commerce,0.6,1,23,0,0,0,16,0,0,1,0.0,1,5,6,3,7,3,2,3,3,2,4,3,4,7,4,4,4,4.0,5.0,2.0,4.0,5.0,3.0,3.0,2,2,1,14.0
3,Manufacturing operations,0.3,1,28,1,0,0,26,1,0,1,6600.0,1,2,3,3,4,2,1,1,2,4,4,3,4,4,3,4,2,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2,3,3,26.0
4,Human resources,0.62,1,22,0,1,1,14,1,0,0,4600.0,0,6,5,4,4,3,5,5,3,5,6,6,6,3,6,6,3,,,,,,,,5,3,3,
5,"Content, media and communication",0.76,0,25,0,1,0,34,1,1,1,3100.0,1,5,6,5,7,6,4,5,6,3,3,3,4,1,2,3,2,4.0,6.0,3.0,3.0,7.0,6.0,6.0,3,1,1,19.0
6,Accounting and audit,0.82,0,24,0,0,1,11,1,1,0,7800.0,1,6,6,5,6,4,5,4,4,6,4,4,6,4,3,3,3,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2,3,5,24.0
7,Hospitality and retail,0.25,0,25,0,1,1,36,1,0,1,6600.0,1,2,2,1,1,4,4,2,3,7,6,6,7,4,4,4,5,5.0,7.0,6.0,7.0,6.0,4.0,2.0,5,4,5,34.0
8,Software and IT services,0.86,1,25,0,1,1,24,1,0,1,4800.0,1,5,7,5,5,3,4,6,2,3,2,4,3,5,5,4,4,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5,3,3,34.0
9,Education and training,0.55,0,24,1,1,0,24,0,1,1,0.0,1,4,4,4,4,4,4,4,5,5,5,6,6,7,5,4,5,7.0,7.0,5.0,6.0,5.0,6.0,5.0,5,5,5,56.0
10,Accounting and audit,0.82,0,25,0,0,0,35,1,1,1,3700.0,0,3,4,4,5,4,4,3,4,4,4,5,4,4,2,2,2,,,,,,,,5,4,5,
11,Sales,0.48,1,24,0,1,1,12,1,0,0,3300.0,1,3,3,4,4,6,6,4,5,5,6,5,5,5,4,2,5,6.0,4.0,5.0,5.0,3.0,5.0,6.0,1,1,1,30.0
12,Hospitality and retail,0.25,1,24,0,0,0,25,0,0,1,0.0,1,2,2,1,2,4,2,2,4,2,2,2,1,3,5,4,3,2.0,4.0,4.0,3.0,1.0,4.0,2.0,3,2,2,9.0
13,Construction site management,0.22,1,23,0,0,1,14,1,1,0,8500.0,0,4,4,5,6,3,1,2,1,2,3,3,4,6,6,7,6,,,,,,,,6,5,7,
14,Hospitality and retail,0.25,0,21,0,0,1,6,1,1,0,8400.0,1,2,1,2,3,4,3,2,4,2,3,3,5,7,5,5,6,3.0,3.0,2.0,4.0,4.0,5.0,4.0,5,3,4,18.0
15,Education and training,0.55,0,25,1,1,0,10,1,0,1,7300.0,1,3,4,5,5,5,6,5,6,4,3,4,3,3,3,3,2,3.0,4.0,2.0,4.0,4.0,5.0,4.0,6,4,1,17.0
16,Software and IT services,0.86,0,25,0,0,0,17,0,0,0,0.0,1,2,2,3,4,4,5,4,4,3,2,3,2,5,6,5,5,5.0,2.0,4.0,3.0,4.0,4.0,6.0,2,3,2,10.0
17,Manufacturing operations,0.3,1,25,1,0,0,10,1,0,1,7600.0,1,1,1,2,1,3,4,4,2,2,2,3,2,4,5,4,5,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2,3,2,7.0
18,"Banking, securities and finance",0.71,1,21,0,0,1,13,1,1,0,8000.0,0,6,6,6,6,2,3,4,4,4,4,4,5,1,3,3,1,,,,,,,,3,5,6,
19,Mechanical and civil engineering,0.42,0,26,1,0,0,33,0,1,1,0.0,1,3,4,4,2,4,4,2,5,2,4,4,6,2,3,2,4,3.0,1.0,3.0,2.0,5.0,4.0,4.0,3,3,5,8.0
20,Software and IT services,0.86,1,25,0,0,1,4,1,1,1,7000.0,1,4,4,4,5,4,4,3,3,3,3,3,3,5,5,5,6,1.0,2.0,2.0,1.0,6.0,4.0,3.0,7,3,4,8.0
21,Education and training,0.55,1,21,0,1,1,34,1,0,1,5100.0,1,3,4,4,5,6,7,6,5,3,5,5,2,3,5,4,3,7.0,4.0,2.0,2.0,4.0,6.0,6.0,7,5,6,21.0
22,Customer service and operations,0.64,1,23,0,1,0,13,1,0,1,4300.0,1,3,3,4,3,6,7,6,6,2,2,3,2,3,3,3,4,2.0,1.0,3.0,4.0,6.0,6.0,5.0,3,4,4,22.0
23,Marketing and e-commerce,0.6,1,23,0,0,0,5,0,1,1,0.0,1,4,5,6,4,6,7,5,5,2,2,3,1,3,5,6,3,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,3,4.0
24,Healthcare and nursing,0.35,0,23,0,1,0,34,1,0,1,12400.0,0,5,4,3,3,4,4,5,2,3,3,2,1,2,1,4,4,,,,,,,,6,7,4,
25,Accounting and audit,0.82,1,22,0,1,0,19,0,0,1,0.0,1,3,3,2,4,3,4,5,5,5,3,4,5,4,3,3,1,4.0,3.0,5.0,5.0,5.0,6.0,5.0,1,1,1,14.0
26,Customer service and operations,0.64,0,25,0,0,0,24,1,0,1,5100.0,1,3,1,2,2,2,2,3,2,4,6,6,5,2,3,2,3,1.0,1.0,2.0,2.0,5.0,4.0,6.0,5,5,5,10.0
27,Mechanical and civil engineering,0.42,0,23,0,1,0,25,1,0,1,10200.0,1,4,3,3,4,5,5,4,4,5,4,5,4,5,7,7,6,6.0,6.0,6.0,6.0,2.0,2.0,1.0,4,6,4,38.0
28,Education and training,0.55,0,24,0,0,0,13,1,0,0,5500.0,1,3,3,4,2,2,2,2,2,3,4,5,2,6,7,6,6,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4,2,1,14.0
29,Healthcare and nursing,0.35,0,28,1,0,0,17,1,0,1,6800.0,0,4,6,4,5,3,4,3,3,3,5,4,3,4,6,5,5,,,,,,,,6,2,3,
30,Human resources,0.62,1,21,0,0,0,3,1,0,1,13200.0,1,5,3,5,4,5,7,4,6,4,4,7,5,3,4,4,5,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4,4,7,22.0
31,Research and development,0.58,1,23,0,0,1,9,1,0,0,4500.0,1,3,3,4,5,3,3,2,2,2,3,3,2,4,2,4,4,4.0,3.0,4.0,2.0,4.0,5.0,2.0,5,6,4,17.0
32,Software and IT services,0.86,0,23,0,0,0,22,1,1,1,10400.0,1,7,7,7,7,5,3,4,2,3,2,3,3,6,5,5,4,3.0,3.0,5.0,3.0,4.0,4.0,3.0,2,1,2,30.0
33,Public sector and institutions,0.5,0,21,0,0,0,20,1,0,0,4800.0,1,6,3,3,4,3,2,3,3,6,4,5,5,1,1,2,2,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3,4,3,21.0
34,Hospitality and retail,0.25,1,22,0,1,0,13,0,0,0,0.0,0,3,1,3,4,4,3,5,2,6,6,5,5,1,1,1,1,,,,,,,,4,7,6,
35,Public sector and institutions,0.5,0,26,1,0,1,28,1,0,0,5300.0,0,1,2,1,1,3,3,3,2,4,4,2,4,4,5,3,2,,,,,,,,4,4,3,
36,Sales,0.48,1,22,0,0,1,20,0,0,1,0.0,1,5,5,4,4,4,4,6,4,4,4,4,3,3,3,5,3,6.0,6.0,7.0,6.0,5.0,5.0,4.0,3,3,4,39.0
37,Sales,0.48,1,25,0,1,0,36,0,1,1,0.0,1,4,5,6,5,6,4,5,5,7,7,7,6,4,4,2,3,7.0,7.0,6.0,7.0,3.0,4.0,4.0,5,3,4,79.0
38,Mechanical and civil engineering,0.42,1,21,0,1,0,15,1,1,0,5300.0,1,2,1,2,1,3,5,4,4,2,3,2,4,2,1,1,3,3.0,4.0,5.0,3.0,2.0,2.0,1.0,6,3,6,5.0
39,Administrative and clerical,0.74,1,21,0,0,0,24,1,0,1,6900.0,1,6,5,5,6,3,3,2,1,5,3,4,4,6,6,6,5,3.0,2.0,4.0,4.0,4.0,3.0,3.0,6,2,4,12.0
40,"Content, media and communication",0.76,0,25,0,1,1,17,1,0,0,8400.0,1,5,6,6,7,3,1,2,1,3,3,4,3,5,5,6,4,2.0,4.0,4.0,2.0,5.0,5.0,5.0,3,2,3,8.0
41,Legal services,0.68,1,23,0,1,0,28,1,0,1,11000.0,0,5,3,4,3,3,4,4,5,7,4,5,4,3,3,3,1,,,,,,,,6,5,5,
42,Design and creative services,0.66,1,23,0,0,1,7,1,0,0,5200.0,1,7,6,6,7,7,7,7,6,3,2,3,3,2,3,3,5,2.0,3.0,2.0,2.0,7.0,6.0,7.0,7,7,7,10.0
43,Marketing and e-commerce,0.6,1,25,0,1,0,28,1,1,1,5100.0,1,5,2,4,4,2,2,3,2,4,5,4,5,4,6,6,4,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3,5,3,25.0
44,Construction site management,0.22,0,23,0,1,0,20,1,0,1,9700.0,1,1,2,2,2,3,1,2,2,4,3,3,4,4,5,5,5,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4,3,4,6.0
45,Marketing and e-commerce,0.6,1,25,0,0,0,4,1,1,0,11200.0,1,5,3,3,5,2,2,2,2,5,3,3,4,2,2,1,1,2.0,2.0,3.0,4.0,2.0,3.0,3.0,6,5,3,18.0
46,Software and IT services,0.86,1,22,0,0,1,10,0,1,1,0.0,1,3,3,3,4,3,3,1,4,5,5,4,3,5,4,5,3,3.0,2.0,3.0,3.0,4.0,4.0,6.0,2,3,3,8.0
47,Customer service and operations,0.64,0,25,1,1,1,34,0,0,1,0.0,1,5,5,3,3,4,4,3,4,4,5,5,3,6,6,5,6,4.0,3.0,5.0,6.0,4.0,5.0,6.0,7,6,4,6.0
48,Construction site management,0.22,0,27,1,1,0,23,1,0,0,4300.0,1,2,3,4,1,3,2,2,3,5,5,3,4,3,2,3,2,4.0,4.0,4.0,6.0,1.0,3.0,4.0,4,2,4,34.0
