Characteristic	Time 1 (N = 1247)	Retained (N = 914)	Lost (N = 333)	p
Female (%)	52.6	52.8	52.0	0.780
Age (years)	23.6	23.6	23.6	0.461
Master's degree (%)	18.2	18.4	17.7	0.787
STEM major (%)	40.4	40.3	40.8	0.854
Tier-1 city (%)	31.9	32.6	30.0	0.384
Months since graduation	18.7	18.7	18.6	0.850
Employed (%)	72.7	74.0	69.1	0.095
Parent with tertiary education (%)	28.4	28.0	29.4	0.626
Internship experience (%)	65.0	65.3	64.3	0.731
Depreciation items, mean	4.0	4.0	4.0	0.534
Anxiety items, mean	4.0	3.9	4.0	0.479
