Conditional indirect effect	Estimate	95% bootstrap CI
SUP = -1, ANX = -1, LIT = -1	0.326	[0.231, 0.422]
SUP = -1, ANX = -1, LIT = +1	0.504	[0.404, 0.609]
SUP = -1, ANX = +0, LIT = -1	0.023	[-0.034, 0.078]
SUP = -1, ANX = +0, LIT = +1	0.201	[0.143, 0.260]
SUP = -1, ANX = +1, LIT = -1	-0.281	[-0.371, -0.193]
SUP = -1, ANX = +1, LIT = +1	-0.103	[-0.189, -0.015]
SUP = +1, ANX = -1, LIT = -1	0.169	[0.110, 0.235]
SUP = +1, ANX = -1, LIT = +1	0.262	[0.188, 0.340]
SUP = +1, ANX = +0, LIT = -1	0.012	[-0.018, 0.041]
SUP = +1, ANX = +0, LIT = +1	0.104	[0.069, 0.143]
SUP = +1, ANX = +1, LIT = -1	-0.146	[-0.205, -0.094]
SUP = +1, ANX = +1, LIT = +1	-0.053	[-0.103, -0.008]
Avoidance path, LIT = -1	0.274	[0.226, 0.325]
Avoidance path, LIT = +1	0.132	[0.090, 0.176]
IMM of SUP (first stage, adaptation)	-0.027	[-0.042, -0.014]
IMM of LIT (second stage, adaptation)	0.068	[0.040, 0.096]
Index of curvilinear mediation (2·a1·b2)	-0.231	[-0.286, -0.174]
IMM of LIT (second stage, avoidance)	-0.071	[-0.099, -0.043]
