Variable	(1)	(2)	(3)	(4)	(5)
GenAI	-0.577***	-0.622***		-0.600***	-0.566***
	(0.056)	(0.056)		(0.058)	(0.060)
ExpPost			-2.815***		
			(0.602)		
Size		1.962***	1.907***	1.950***	1.977***
		(0.108)	(0.109)	(0.108)	(0.109)
Lev		-2.273***	-2.261***	-2.272***	-2.242***
		(0.222)	(0.223)	(0.222)	(0.224)
ROE		-0.436	-0.446	-0.433	-0.460*
		(0.277)	(0.277)	(0.278)	(0.280)
Growth		0.090	0.092	0.096	0.101
		(0.100)	(0.100)	(0.100)	(0.101)
Age		-2.024***	-2.053***	-2.025***	-2.105***
		(0.677)	(0.680)	(0.679)	(0.685)
Board		0.021	0.025	0.036	0.025
		(0.178)	(0.178)	(0.178)	(0.180)
Indep		0.935	0.917	0.942	0.903
		(0.710)	(0.711)	(0.710)	(0.716)
Dual		-0.092	-0.103	-0.095	-0.082
		(0.074)	(0.074)	(0.074)	(0.075)
TobinQ		0.007	0.004	0.013	0.011
		(0.031)	(0.031)	(0.031)	(0.031)
Fixed		0.161	0.152	0.155	0.142
		(0.277)	(0.277)	(0.278)	(0.278)
Firm FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
Industry x year FE	No	No	No	Yes	No
Province x year FE	No	No	No	No	Yes
Observations	27,340	27,340	27,340	27,340	27,340
Within R2	0.077	0.077	0.077	0.075	0.071
