Variable	Youth	GenAI	RTI	HCU	Size	Lev	ROE	Growth	Age	Board	Indep	Dual	TobinQ	Fixed
Youth	1.000													
GenAI	-0.156***	1.000												
RTI	0.326***	-0.325***	1.000											
HCU	0.196***	0.309***	-0.100***	1.000										
Size	0.225***	0.167***	0.213***	0.391***	1.000									
Lev	-0.044***	0.008	0.009	0.011*	0.018***	1.000								
ROE	-0.002	-0.007	0.006	-0.002	-0.001	0.002	1.000							
Growth	-0.001	-0.000	0.003	-0.004	0.004	-0.004	-0.007	1.000						
Age	-0.109***	0.121***	-0.088***	0.091***	0.034***	0.014**	-0.001	0.003	1.000					
Board	-0.000	-0.007	0.006	-0.003	0.003	0.003	-0.001	0.009	0.002	1.000				
Indep	0.002	0.002	0.006	-0.004	-0.012**	0.002	0.005	0.001	-0.002	-0.007	1.000			
Dual	-0.003	0.006	-0.004	-0.006	-0.001	-0.002	-0.011*	0.001	-0.008	-0.006	-0.000	1.000		
TobinQ	-0.010	0.006	-0.006	0.012**	0.002	0.006	-0.003	-0.000	0.003	0.010	0.000	0.006	1.000	
Fixed	0.001	0.009	-0.004	0.001	0.013**	-0.001	-0.001	0.006	-0.009	-0.003	0.012**	-0.006	0.002	1.000
