Variable	N	Mean	SD	P25	Median	P75	Min	Max
Youth	27,340	21.708	8.926	15.583	21.648	27.875	1.000	43.150
Youth35	27,340	35.190	14.553	25.129	35.097	45.201	2.109	70.227
GenAI	27,340	0.648	1.209	0.000	0.000	0.841	0.000	4.816
RTI	27,340	37.266	7.787	31.902	37.263	42.678	18.837	55.664
HCU	27,340	46.567	10.233	39.477	46.522	53.538	23.096	70.914
OLC	27,340	-0.001	0.999	-0.682	0.011	0.681	-3.765	3.720
AIGov	27,340	0.320	0.466	0.000	0.000	1.000	0.000	1.000
Size	27,340	22.758	1.193	21.952	22.745	23.580	19.906	25.569
Lev	27,340	0.432	0.157	0.324	0.433	0.539	0.065	0.806
ROE	27,340	0.058	0.123	-0.026	0.057	0.142	-0.234	0.353
Growth	27,340	0.121	0.344	-0.116	0.123	0.361	-0.688	0.936
Age	27,340	2.754	0.306	2.544	2.756	2.963	2.031	3.488
Board	27,340	2.110	0.188	1.980	2.111	2.240	1.662	2.560
Indep	27,340	0.379	0.048	0.342	0.377	0.412	0.300	0.499
Dual	27,340	0.302	0.459	0.000	0.000	1.000	0.000	1.000
TobinQ	27,340	2.087	1.101	1.170	2.005	2.852	0.600	4.933
Fixed	27,340	0.197	0.125	0.101	0.193	0.284	0.002	0.509
