Variable	(1)	(2)	(3)	(4)	(5)
Dependent variable	Youth	RTI	Youth	HCU	Youth
GenAI	-0.622***	-0.911***	-0.336***	0.551***	-0.720***
	(0.056)	(0.047)	(0.055)	(0.057)	(0.056)
RTI			0.313***		
			(0.008)		
HCU					0.178***
					(0.007)
Size	1.962***	1.584***	1.466***	3.385***	1.359***
	(0.108)	(0.096)	(0.105)	(0.110)	(0.110)
Lev	-2.273***	-0.184	-2.215***	0.024	-2.277***
	(0.222)	(0.193)	(0.214)	(0.226)	(0.218)
ROE	-0.436	-0.299	-0.342	-0.090	-0.420
	(0.277)	(0.241)	(0.266)	(0.293)	(0.271)
Growth	0.090	0.005	0.088	0.056	0.080
	(0.100)	(0.087)	(0.096)	(0.103)	(0.099)
Age	-2.024***	-0.087	-1.997***	1.237*	-2.245***
	(0.677)	(0.599)	(0.652)	(0.709)	(0.667)
Board	0.021	0.118	-0.016	0.018	0.018
	(0.178)	(0.155)	(0.171)	(0.187)	(0.174)
Indep	0.935	1.081*	0.596	-1.249*	1.157*
	(0.710)	(0.616)	(0.685)	(0.722)	(0.699)
Dual	-0.092	-0.081	-0.067	-0.025	-0.088
	(0.074)	(0.064)	(0.071)	(0.077)	(0.073)
TobinQ	0.007	0.006	0.005	0.017	0.004
	(0.031)	(0.027)	(0.030)	(0.032)	(0.031)
Fixed	0.161	-0.132	0.203	-0.295	0.214
	(0.277)	(0.236)	(0.268)	(0.278)	(0.273)
Firm FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
Observations	27,340	27,340	27,340	27,340	27,340
Within R2	0.077	0.131	0.216	0.204	0.043
