Variable	(1)	(2)	(3)
GenAI	-0.625***	-0.878***	-0.789***
	(0.053)	(0.063)	(0.060)
GenAI_OLC	0.505***		0.474***
	(0.028)		(0.029)
GenAI_AIGov		0.534***	0.343***
		(0.062)	(0.059)
AIGov		-0.173*	-0.051
		(0.102)	(0.101)
Size	1.985***	1.968***	1.988***
	(0.108)	(0.108)	(0.107)
Lev	-2.255***	-2.260***	-2.247***
	(0.221)	(0.222)	(0.221)
ROE	-0.414	-0.425	-0.408
	(0.275)	(0.277)	(0.275)
Growth	0.098	0.100	0.105
	(0.099)	(0.100)	(0.099)
Age	-2.010***	-2.084***	-2.048***
	(0.671)	(0.675)	(0.670)
Board	0.032	0.024	0.034
	(0.177)	(0.177)	(0.176)
Indep	0.821	0.930	0.823
	(0.705)	(0.710)	(0.705)
Dual	-0.086	-0.096	-0.089
	(0.074)	(0.074)	(0.074)
TobinQ	0.007	0.006	0.007
	(0.031)	(0.031)	(0.031)
Fixed	0.165	0.168	0.167
	(0.275)	(0.276)	(0.275)
Firm FE	Yes	Yes	Yes
Year FE	Yes	Yes	Yes
Observations	27,340	27,340	27,340
Within R2	0.089	0.083	0.092
