var,bias_u,bias_m,reduct,t,p
Size,47.96582285350745,0.17886914391570496,99.62709042965449,0.04659189283848165,0.9628419216488376
Lev,2.1353366794417092,-0.0598029178748268,97.19936820967912,-0.015577483517031608,0.9875726160851476
ROE,0.3162560917133384,2.1884775134188743,-591.9953704488827,0.5700553351599413,0.5686874487843298
Growth,0.005133539193550873,2.1552800754036046,-41884.291813944365,0.5614080556982108,0.5745658503574275
Age,3.377286868498812,-0.5535777475689178,83.60880289049948,-0.14419611190543893,0.8853563172607081
Board,0.16781717162841556,-0.10600100274428233,36.83542529307308,-0.027611175703735048,0.977974305175005
Indep,0.6338270816861249,1.2849776815149938,-102.73316155830065,0.3347114048088792,0.7378686655459771
Dual,0.8754895155322406,1.9427464996987198,-121.90402800171243,0.5060472407077397,0.6128646205754927
TobinQ,0.48969971913030125,-0.9894596111000871,-102.05435544405685,-0.25773476162052156,0.7966311744624606
Fixed,7.14830688637368,1.3383157057642758,81.27786443646657,0.34860491072966576,0.7274131096572158
