Variable	(1)	(2)	(3)	(4)	(5)	(6)
AI	0.007	-0.019	2.975***	2.952***	2.989***	3.000***
	(0.074)	(0.074)	(0.191)	(0.190)	(0.194)	(0.193)
AI2			-0.692***	-0.692***	-0.693***	-0.690***
			(0.045)	(0.045)	(0.046)	(0.046)
Size		1.369***		1.361***	1.350***	1.365***
		(0.122)		(0.120)	(0.121)	(0.121)
Lev		-3.273***		-3.277***	-3.249***	-3.272***
		(0.240)		(0.237)	(0.238)	(0.239)
ROE		1.103***		1.075***	1.117***	1.057***
		(0.310)		(0.309)	(0.309)	(0.310)
Growth		0.185*		0.217**	0.230**	0.222**
		(0.106)		(0.105)	(0.105)	(0.106)
Age		-2.121***		-2.190***	-2.123***	-2.119***
		(0.756)		(0.752)	(0.755)	(0.755)
Board		-0.010		-0.018	-0.050	-0.027
		(0.198)		(0.197)	(0.198)	(0.198)
Indep		-0.209		-0.462	-0.499	-0.438
		(0.766)		(0.763)	(0.762)	(0.768)
Dual		0.038		0.047	0.048	0.033
		(0.081)		(0.081)	(0.081)	(0.082)
TobinQ		0.008		0.004	0.006	0.005
		(0.034)		(0.034)	(0.034)	(0.034)
Fixed		-0.036		-0.059	-0.058	-0.057
		(0.295)		(0.294)	(0.295)	(0.297)
Controls	No	Yes	No	Yes	Yes	Yes
Firm FE	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	No	No
Industry x year FE	No	No	No	No	Yes	No
Province x year FE	No	No	No	No	No	Yes
Observations	27,320	27,320	27,320	27,320	27,320	27,320
Within R2	0.000	0.016	0.014	0.030	0.030	0.030
