Variable	N	Mean	SD	P25	Median	P75	Min	Max
Youth	27,320	21.608	9.120	15.267	21.713	27.869	1.000	43.029
Youth35	27,320	35.018	14.903	24.563	35.167	45.309	2.000	69.761
LnYoung	27,320	7.100	1.378	6.209	7.151	8.062	3.502	10.207
AI	27,320	0.608	1.149	0.000	0.000	0.750	0.000	4.816
AUG	27,320	14.727	11.858	5.195	12.838	21.885	0.000	48.629
AUT	27,320	7.994	7.520	1.519	6.581	12.055	0.000	33.296
OLC	27,320	-0.000	1.000	-0.648	-0.022	0.644	-3.929	3.656
AIGov	27,320	0.304	0.460	0.000	0.000	1.000	0.000	1.000
LCP	27,320	0.000	1.000	-0.685	-0.000	0.677	-2.373	2.395
Size	27,320	22.765	1.188	21.935	22.771	23.586	19.968	25.568
Lev	27,320	0.431	0.157	0.323	0.431	0.539	0.057	0.804
ROE	27,320	0.056	0.123	-0.028	0.056	0.141	-0.237	0.347
Growth	27,320	0.124	0.342	-0.110	0.120	0.360	-0.684	0.938
Age	27,320	2.750	0.298	2.544	2.748	2.950	2.055	3.474
Board	27,320	2.107	0.186	1.980	2.108	2.235	1.665	2.551
Indep	27,320	0.379	0.048	0.342	0.378	0.413	0.300	0.497
Dual	27,320	0.301	0.459	0.000	0.000	1.000	0.000	1.000
TobinQ	27,320	2.086	1.100	1.167	2.002	2.856	0.600	4.939
Fixed	27,320	0.197	0.125	0.101	0.192	0.282	0.002	0.511
