Variable	(1)	(2)	(3)
Dependent variable	AUG	AUT	Youth
AI	9.110***	1.932***	1.111***
	(0.170)	(0.124)	(0.175)
AI2	-0.628***	0.731***	-0.067
	(0.038)	(0.028)	(0.041)
AUG			0.324***
			(0.007)
AUT			-0.577***
			(0.009)
Size	0.801***	-0.123	1.030***
	(0.109)	(0.081)	(0.105)
Lev	0.147	0.068	-3.286***
	(0.219)	(0.158)	(0.207)
ROE	-0.063	0.132	1.172***
	(0.275)	(0.200)	(0.267)
Growth	0.026	-0.031	0.191**
	(0.100)	(0.075)	(0.092)
Age	-0.218	0.354	-1.915***
	(0.676)	(0.504)	(0.658)
Board	0.095	-0.056	-0.081
	(0.186)	(0.134)	(0.173)
Indep	-0.486	0.659	0.076
	(0.708)	(0.527)	(0.667)
Dual	-0.008	-0.031	0.031
	(0.075)	(0.056)	(0.071)
TobinQ	-0.006	-0.004	0.003
	(0.031)	(0.023)	(0.030)
Fixed	-0.155	0.232	0.125
	(0.272)	(0.205)	(0.256)
Controls	Yes	Yes	Yes
Firm FE	Yes	Yes	Yes
Year FE	Yes	Yes	Yes
Observations	27,320	27,320	27,320
Within R2	0.396	0.433	0.265
