Variable	Youth	Exper	AI	UpAI	DownAI	PeerAI	ChainAI	Size	Lev	ROA
Youth	1.000									
Exper	0.108***	1.000								
AI	-0.078***	-0.008	1.000							
UpAI	-0.039***	0.000	0.065***	1.000						
DownAI	-0.056***	-0.008	0.082***	-0.001	1.000					
PeerAI	-0.001	0.001	0.147***	0.041***	0.048***	1.000				
ChainAI	-0.067***	-0.006	0.104***	0.713***	0.701***	0.063***	1.000			
Size	-0.110***	-0.045***	0.002	0.009	0.012*	-0.001	0.014**	1.000		
Lev	-0.010	-0.017***	0.001	0.007	0.002	0.000	0.006	0.001	1.000	
ROA	0.055***	0.035***	0.007	0.001	-0.014**	-0.005	-0.009	-0.001	0.002	1.000
