Variable	N	Mean	SD	P25	Median	P75	Min	Max
Youth	26,115	19.855	4.985	16.497	19.871	23.264	1.000	39.913
Exper	26,115	19.964	4.105	17.223	19.990	22.681	4.177	39.857
AI	26,115	-0.001	1.005	-0.614	0.006	0.618	-5.174	5.276
UpAI	26,115	0.017	0.568	-0.315	0.010	0.347	-3.098	3.162
DownAI	26,115	0.000	0.558	-0.321	0.000	0.333	-2.921	2.836
PeerAI	26,115	0.000	0.238	-0.100	-0.002	0.095	-0.889	0.890
ChainAI	26,115	0.009	0.398	-0.224	0.005	0.242	-1.947	1.956
DownSpec	26,115	-0.018	0.393	-0.202	-0.000	0.172	-2.568	2.199
DownGen	26,115	0.019	0.402	-0.149	0.000	0.178	-3.131	2.599
Size	26,115	14.650	1.226	13.800	14.648	15.505	10.450	19.418
Lev	26,115	0.420	0.050	0.386	0.419	0.453	0.221	0.618
ROA	26,115	0.043	0.052	0.008	0.043	0.078	-0.165	0.243
Growth	26,115	0.110	0.273	-0.077	0.109	0.291	-0.650	1.170
Cash	26,115	0.172	0.094	0.102	0.170	0.237	0.010	0.582
FirmAge	26,115	3.025	0.455	2.708	3.135	3.401	1.386	3.714
TobinQ	26,115	1.992	0.967	1.241	1.954	2.659	0.550	6.074
CapInt	26,115	6.974	0.768	6.451	6.966	7.495	3.569	9.725
Wage	26,115	12.079	0.317	11.865	12.081	12.296	10.777	13.292
Analyst	26,115	1.566	0.428	1.260	1.539	1.844	0.298	3.559
InstOwn	26,115	0.411	0.170	0.295	0.411	0.527	0.010	0.950
GDPg	26,115	5.559	0.893	4.958	5.574	6.172	2.284	8.708
YouthU	26,115	15.199	1.456	14.152	15.197	16.239	9.840	20.323
