Variable	(1)	(2)	(3)	(4)	(5)
AI	-0.427***	-0.419***	-0.442***	-0.422***	-0.371***
	(0.018)	(0.018)	(0.018)	(0.018)	(0.021)
UpAI	-0.240***			-0.246***	-0.229***
	(0.031)			(0.031)	(0.032)
DownAI		-0.389***		-0.396***	-0.385***
		(0.032)		(0.032)	(0.033)
PeerAI			0.279***	0.334***	0.400***
			(0.080)	(0.078)	(0.081)
Controls	Yes	Yes	Yes	Yes	Yes
Firm FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	-
Industry x year FE	-	-	-	-	Yes
Observations	26,115	26,115	26,115	26,115	26,115
Within R2	0.099	0.103	0.097	0.107	0.094
