Variable	(1)	(2)	(3)	(4)	(5)
AIU	2.344***	2.245***	2.240***	2.238***	-1.233***
	(0.051)	(0.051)	(0.044)	(0.046)	(0.022)
AIUxFlex			1.250***		0.624***
			(0.042)		(0.023)
AIUxSpecTrain				-1.074***	
				(0.044)	
AIE		0.352***	0.343***	0.337***	0.295***
		(0.045)	(0.045)	(0.045)	(0.019)
FirmEPU		0.263***	0.281***	0.274***	-0.175***
		(0.046)	(0.046)	(0.046)	(0.020)
Controls	Yes	Yes	Yes	Yes	Yes
Firm FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
Observations	29,660	29,660	29,660	29,660	29,660
Within R2	0.122	0.126	0.157	0.149	0.312
