Variable	EntryRate	ExpRate	ContShare	YouthShare	AIU	AIE	FirmEPU	SpecTrain	FireCost	Flex
EntryRate	1.000									
ExpRate	0.120***	1.000								
ContShare	-0.044***	0.002	1.000							
YouthShare	0.110***	0.051***	-0.054***	1.000						
AIU	-0.290***	-0.008	0.278***	-0.088***	1.000					
AIE	-0.018***	0.069***	0.125***	-0.014**	0.285***	1.000				
FirmEPU	-0.111***	-0.027***	0.112***	-0.049***	0.248***	0.188***	1.000			
SpecTrain	0.004	0.001	-0.015**	-0.023***	-0.009	-0.007	-0.020***	1.000		
FireCost	-0.030***	-0.034***	-0.005	-0.046***	-0.012**	-0.010*	-0.004	0.013**	1.000	
Flex	0.012**	0.013**	-0.007	0.016***	0.001	0.003	0.001	-0.402***	0.006	1.000
