Variable	N	Mean	SD	P25	Median	P75	Min	Max
EntryRate	29,660	7.865	3.993	5.175	7.680	10.279	0.000	46.775
EntryPost	29,660	29.339	46.723	6.000	15.000	34.000	0.000	985.000
ExpRate	29,660	7.568	3.402	5.302	7.426	9.663	0.000	34.848
ContShare	29,660	19.530	8.605	13.723	19.489	25.274	0.000	59.184
YouthShare	29,660	20.649	5.175	17.202	20.660	24.144	1.000	40.239
NetYouth	29,660	0.108	1.915	-0.913	0.000	1.160	-8.317	8.878
Inaction	29,660	0.177	0.382	0.000	0.000	0.000	0.000	1.000
AIU	29,660	0.000	1.000	-0.649	-0.003	0.654	-4.114	4.418
AIE	29,660	0.000	1.000	-0.652	-0.005	0.653	-3.946	5.400
FirmEPU	29,660	-0.000	1.000	-0.695	-0.009	0.677	-4.433	4.029
SpecTrain	29,660	-0.005	1.000	-0.699	0.005	0.670	-3.786	3.489
FireCost	29,660	-0.004	1.003	-0.778	0.109	0.796	-2.808	2.372
Flex	29,660	0.004	1.000	-0.675	-0.007	0.699	-3.322	3.440
Size	29,660	14.667	1.344	13.753	14.683	15.585	10.010	19.057
Lev	29,660	0.420	0.058	0.380	0.420	0.460	0.132	0.669
ROA	29,660	0.043	0.053	0.008	0.043	0.078	-0.159	0.252
Growth	29,660	0.109	0.269	-0.072	0.109	0.292	-0.650	1.188
Cash	29,660	0.172	0.095	0.101	0.169	0.237	0.010	0.565
FirmAge	29,660	3.029	0.457	2.708	3.135	3.401	1.386	3.714
TobinQ	29,660	1.991	0.967	1.237	1.948	2.658	0.550	6.340
CapInt	29,660	7.028	0.802	6.479	7.027	7.574	3.804	10.028
Wage	29,660	12.080	0.339	11.851	12.076	12.312	10.630	13.307
Analyst	29,660	1.574	0.478	1.229	1.542	1.885	0.266	3.913
InstOwn	29,660	0.411	0.169	0.294	0.410	0.525	0.010	0.950
GDPg	29,660	5.355	0.877	4.744	5.350	5.953	2.404	8.535
YouthU	29,660	15.352	1.449	14.316	15.375	16.389	10.439	20.419
