Variable	(1) Entry rate	(2) Contingent share
Treat x 2016	-0.006	0.258
	(0.183)	(0.396)
Treat x 2017	0.073	0.361
	(0.169)	(0.385)
Treat x 2018	0.267	0.148
	(0.183)	(0.374)
Treat x 2019	-0.064	0.784**
	(0.171)	(0.376)
Treat x 2020	0.078	0.351
	(0.163)	(0.371)
Treat x 2022	-0.309*	0.426
	(0.162)	(0.363)
Treat x 2023	-1.654***	2.998***
	(0.169)	(0.371)
Treat x 2024	-2.136***	3.834***
	(0.167)	(0.373)
Treat x 2025	-1.971***	4.164***
	(0.167)	(0.385)
Joint test of pre-shock leads, chi2	3.99	4.82
Joint test of pre-shock leads, p	0.551	0.439
Controls	Yes	Yes
Firm FE	Yes	Yes
Year FE	Yes	Yes
Observations	29,660	29,660
Within R2	0.169	0.042
