Variable	(1)	(2)	(3)	(4)
AIU	-1.235***	-1.234***	-1.233***	-1.239***
	(0.021)	(0.025)	(0.022)	(0.019)
AIUxSpecTrain	-0.686***			-0.514***
	(0.021)			(0.019)
AIUxFireCost		-0.300***		-0.306***
		(0.025)		(0.018)
AIUxFlex			0.624***	0.423***
			(0.023)	(0.021)
AIE	0.290***	0.300***	0.295***	0.290***
	(0.019)	(0.020)	(0.019)	(0.019)
FirmEPU	-0.177***	-0.184***	-0.175***	-0.173***
	(0.020)	(0.020)	(0.020)	(0.020)
Effect at moderator = -1 SD	-0.549***	-0.934***	-1.856***	
Effect at moderator = +1 SD	-1.920***	-1.534***	-0.609***	
Controls	Yes	Yes	Yes	Yes
Firm FE	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes
Observations	29,660	29,660	29,660	29,660
Within R2	0.319	0.286	0.312	0.340
