Variable	N	Mean	S.D.	Min	Median	Max
GenAI	25,701	1.592	1.289	0.000	1.296	8.561
Youth	25,701	29.000	10.414	3.840	29.144	53.755
Train	25,701	6.180	1.207	3.287	6.192	9.069
Routine	25,701	45.134	15.160	8.838	45.317	80.887
Absorp	25,701	4.578	3.616	0.636	3.497	19.792
Wage	25,701	12.257	0.449	11.231	12.253	13.313
Size	25,701	22.681	1.272	19.579	22.692	25.716
Lev	25,701	0.436	0.176	0.036	0.434	0.865
ROA	25,701	0.039	0.053	-0.089	0.039	0.165
Growth	25,701	0.103	0.345	-0.719	0.106	0.903
Cashflow	25,701	0.050	0.062	-0.093	0.049	0.196
TobinQ	25,701	2.052	0.911	0.672	1.862	5.160
Top1	25,701	0.341	0.144	0.030	0.338	0.857
Indep	25,701	0.376	0.054	0.216	0.376	0.561
Dual	25,701	0.306	0.461	0.000	0.000	1.000
Board	25,701	2.168	0.149	1.610	2.167	2.736
CapInt	25,701	13.035	1.028	10.659	13.053	15.479
