Variable	GenAI	Youth	Train	Routine	Absorp	Wage	Size	Lev	ROA	Growth	Cashflow	TobinQ	Top1	Indep	Dual	Board	CapInt	VIF
GenAI	1.000																	1.03
Youth	-0.214	1.000																
Train	-0.303	0.109	1.000															
Routine	-0.227	0.049	0.053	1.000														
Absorp	0.037	0.053	0.079	-0.052	1.000													
Wage	0.023	0.050	0.036	-0.040	0.087	1.000												
Size	0.004	-0.025	0.185	0.028	-0.006	-0.012	1.000											1.10
Lev	0.003	-0.013	0.018	-0.008	-0.002	0.017	-0.019	1.000										1.00
ROA	0.022	0.022	-0.009	0.002	0.025	0.004	-0.018	0.000	1.000									1.07
Growth	0.015	0.082	-0.004	-0.003	0.004	-0.000	0.009	-0.004	0.106	1.000								1.12
Cashflow	0.024	0.034	-0.009	-0.003	0.014	0.001	0.018	-0.003	0.038	0.091	1.000							1.01
TobinQ	0.049	0.090	0.013	-0.033	0.044	0.034	0.012	-0.005	0.052	0.109	0.031	1.000						1.03
Top1	0.007	0.026	0.000	-0.012	0.015	-0.001	0.002	-0.039	0.014	0.012	0.012	-0.003	1.000					1.00
Indep	0.008	-0.027	0.002	-0.027	0.019	-0.040	0.030	-0.044	0.006	-0.007	0.003	0.002	-0.020	1.000				1.00
Dual	-0.006	0.037	-0.031	-0.023	0.005	-0.016	-0.035	-0.015	-0.014	-0.012	-0.004	-0.002	0.015	0.012	1.000			1.00
Board	-0.007	-0.010	0.017	0.026	0.029	0.010	0.010	0.029	0.012	0.004	-0.000	-0.005	-0.011	0.026	-0.003	1.000		1.00
CapInt	0.061	-0.073	-0.019	-0.078	-0.018	-0.035	0.010	0.013	0.008	-0.004	0.002	-0.020	0.003	-0.008	-0.007	-0.014	1.000	1.00
