Variable	Youth (1)	Train (2)	Youth (3)	Routine (4)	Youth (5)	Youth (6)
GenAI	-1.348***	-0.242***	-1.179***	-2.272***	-1.047***	-0.873***
	(0.066)	(0.007)	(0.068)	(0.088)	(0.066)	(0.067)
Train			0.700***			0.716***
			(0.076)			(0.074)
Routine					0.132***	0.133***
					(0.006)	(0.006)
Size	2.169***	0.110***	2.092***	0.022	2.166***	2.088***
	(0.391)	(0.039)	(0.390)	(0.503)	(0.384)	(0.383)
Lev	-1.892**	0.045	-1.923**	1.053	-2.031**	-2.064**
	(0.831)	(0.084)	(0.828)	(1.035)	(0.814)	(0.811)
ROA	10.515***	0.062	10.472***	2.660	10.163***	10.117***
	(1.469)	(0.144)	(1.465)	(1.838)	(1.451)	(1.447)
Growth	2.093***	-0.009	2.099***	0.088	2.081***	2.087***
	(0.120)	(0.012)	(0.120)	(0.152)	(0.118)	(0.118)
Cashflow	3.317***	0.018	3.305***	0.284	3.280***	3.267***
	(0.627)	(0.064)	(0.625)	(0.815)	(0.616)	(0.614)
TobinQ	0.651***	0.002	0.649***	0.018	0.649***	0.647***
	(0.044)	(0.004)	(0.044)	(0.056)	(0.043)	(0.043)
Top1	3.467*	-0.067	3.513*	2.924	3.080*	3.126*
	(1.888)	(0.185)	(1.881)	(2.276)	(1.865)	(1.858)
Indep	-0.787	-0.393	-0.512	-3.172	-0.367	-0.084
	(2.812)	(0.278)	(2.806)	(3.589)	(2.782)	(2.776)
Dual	-0.258*	-0.010	-0.251*	0.016	-0.260*	-0.253*
	(0.135)	(0.014)	(0.135)	(0.174)	(0.133)	(0.133)
Board	-0.395	-0.066	-0.349	0.916	-0.517	-0.470
	(0.862)	(0.087)	(0.860)	(1.105)	(0.850)	(0.847)
CapInt	-0.270	0.116***	-0.351	-0.992**	-0.139	-0.221
	(0.396)	(0.040)	(0.395)	(0.503)	(0.391)	(0.390)
Year FE	YES	YES	YES	YES	YES	YES
Firm FE	YES	YES	YES	YES	YES	YES
Observations	25,701	25,701	25,701	25,701	25,701	25,701
R-squared	0.061	0.081	0.066	0.047	0.088	0.093
