Variable	(1) First stage	(2) 2SLS	(3) One-year lag	(4) PSM sample	(5) Entropy balancing
Telephone84 x Nat	0.430***				
	(0.019)				
PeerAI	0.945***				
	(0.030)				
GenAI		-1.462***		-1.389***	-1.347***
		(0.182)		(0.070)	(0.067)
L.GenAI			-0.406***		
			(0.079)		
Controls	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES
Firm FE	YES	YES	YES	YES	YES
Kleibergen-Paap rk F	740.8				
Hansen J (p-value)		0.698 (0.403)			
Durbin-Wu-Hausman (p-value)		0.343			
Observations	25,701	25,701	22,701	23,315	25,701
