Variable	(1)	(2)	(3)	(4)
GenAI	-1.414***	-1.322***	-1.390***	-1.204***
	(0.065)	(0.066)	(0.065)	(0.082)
GenAI x Absorp	0.345***		0.370***	
	(0.035)		(0.034)	
GenAI x Wage		-0.265***	-0.297***	
		(0.036)	(0.035)	
GenAI x Post				-0.284**
				(0.114)
Size	2.236***	2.164***	2.234***	2.141***
	(0.390)	(0.391)	(0.390)	(0.391)
Lev	-1.786**	-1.905**	-1.793**	-1.900**
	(0.827)	(0.828)	(0.823)	(0.831)
ROA	10.565***	10.438***	10.482***	10.482***
	(1.465)	(1.466)	(1.462)	(1.468)
Growth	2.085***	2.086***	2.077***	2.081***
	(0.119)	(0.120)	(0.119)	(0.120)
Cashflow	3.328***	3.270***	3.276***	3.308***
	(0.626)	(0.625)	(0.623)	(0.627)
TobinQ	0.655***	0.651***	0.655***	0.649***
	(0.044)	(0.044)	(0.044)	(0.044)
Top1	3.124*	3.462*	3.095*	3.412*
	(1.882)	(1.885)	(1.878)	(1.887)
Indep	-0.822	-0.595	-0.609	-0.687
	(2.810)	(2.804)	(2.802)	(2.811)
Dual	-0.266**	-0.260*	-0.270**	-0.256*
	(0.135)	(0.135)	(0.135)	(0.135)
Board	-0.416	-0.352	-0.369	-0.384
	(0.860)	(0.861)	(0.859)	(0.862)
CapInt	-0.288	-0.276	-0.295	-0.271
	(0.393)	(0.395)	(0.392)	(0.396)
Year FE	YES	YES	YES	YES
Firm FE	YES	YES	YES	YES
Observations	25,701	25,701	25,701	25,701
R-squared	0.067	0.065	0.072	0.062
