Response	h = 0	h = 1	h = 2	h = 3	h = 4	h = 5	h = 6	h = 7	h = 8
Youth to a GenAI shock	-0.395	-0.547	-0.447	-0.332	-0.241	-0.174	-0.125	-0.090	-0.065
	[-0.466, -0.336]	[-0.633, -0.459]	[-0.524, -0.365]	[-0.400, -0.263]	[-0.303, -0.185]	[-0.225, -0.129]	[-0.166, -0.090]	[-0.124, -0.063]	[-0.093, -0.043]
Train to a GenAI shock	-0.094	-0.082	-0.065	-0.049	-0.036	-0.027	-0.019	-0.014	-0.010
	[-0.099, -0.088]	[-0.091, -0.072]	[-0.075, -0.055]	[-0.058, -0.040]	[-0.045, -0.028]	[-0.034, -0.020]	[-0.025, -0.014]	[-0.019, -0.010]	[-0.014, -0.007]
GenAI to a Train shock	0.000	-0.185	-0.204	-0.174	-0.135	-0.102	-0.075	-0.055	-0.040
	[0.000, 0.000]	[-0.195, -0.176]	[-0.216, -0.192]	[-0.187, -0.161]	[-0.149, -0.123]	[-0.115, -0.090]	[-0.087, -0.064]	[-0.066, -0.045]	[-0.049, -0.032]
GenAI to a Youth shock	0.000	-0.168	-0.154	-0.116	-0.084	-0.061	-0.043	-0.031	-0.023
	[0.000, 0.000]	[-0.177, -0.159]	[-0.164, -0.144]	[-0.126, -0.106]	[-0.094, -0.075]	[-0.070, -0.052]	[-0.051, -0.036]	[-0.038, -0.025]	[-0.028, -0.017]
Cumulative Youth response, closed loop	-0.395	-0.941	-1.389	-1.721	-1.962	-2.136	-2.261	-2.351	-2.416
Cumulative Youth response, loop suppressed	-0.395	-0.941	-1.360	-1.636	-1.808	-1.912	-1.973	-2.009	-2.030
Amplification factor	1.000	1.000	1.021	1.052	1.085	1.117	1.146	1.170	1.190
