Variable	N	Mean	S.D.	Min	Median	Max
Youth	36,064	29.541	9.962	5.550	29.675	52.588
Variety	36,064	2.401	0.911	0.083	2.561	3.761
RelVar	36,064	0.958	0.407	0.010	1.044	1.534
UnrelVar	36,064	1.442	0.629	0.008	1.591	2.282
Shock	36,064	0.085	0.996	-1.871	0.016	2.789
Redeploy	36,064	8.129	3.844	0.956	7.763	19.870
Churn	36,064	17.655	8.150	1.000	17.493	38.691
Digital	36,064	1.402	0.834	0.000	1.384	3.402
Slack	36,064	0.168	0.086	0.005	0.167	0.374
Size	36,064	22.670	1.272	19.703	22.643	25.763
Lev	36,064	0.448	0.176	0.047	0.448	0.872
ROA	36,064	0.038	0.051	-0.083	0.038	0.158
Cashflow	36,064	0.049	0.060	-0.091	0.049	0.191
TobinQ	36,064	2.024	0.878	0.683	1.850	5.076
Top1	36,064	0.336	0.142	0.030	0.333	0.882
Indep	36,064	0.375	0.053	0.215	0.374	0.561
Dual	36,064	0.296	0.456	0.000	0.000	1.000
Board	36,064	2.183	0.149	1.561	2.186	2.797
CapInt	36,064	13.049	1.065	10.443	13.044	15.598
Emp	36,064	7.966	0.965	5.761	7.966	10.307
