Variable	Youth	Variety	RelVar	UnrelVar	Shock	Redeploy	Churn	Digital	Slack	Size	Lev	ROA	Cashflow	TobinQ	Top1	Indep	Dual	Board	CapInt	Emp	VIF
Youth	1.000																				
Variety	0.196	1.000																			1.00
RelVar	0.176	0.811	1.000																		
UnrelVar	0.171	0.926	0.530	1.000																	
Shock	-0.103	0.032	0.030	0.027	1.000																2.65
Redeploy	0.049	0.043	-0.080	0.114	0.240	1.000															
Churn	-0.153	-0.019	-0.015	-0.018	0.376	-0.055	1.000														
Digital	0.084	0.038	0.050	0.022	0.096	0.086	0.037	1.000													
Slack	0.021	-0.001	0.009	-0.007	0.007	-0.008	-0.121	-0.010	1.000												
Size	-0.001	0.001	0.003	0.000	0.016	0.003	0.004	0.069	0.016	1.000											1.04
Lev	-0.001	-0.002	0.001	-0.004	0.002	-0.001	0.002	0.018	0.003	0.031	1.000										1.00
ROA	0.050	-0.003	-0.000	-0.004	-0.118	-0.018	-0.045	-0.018	-0.000	-0.008	-0.006	1.000									1.05
Cashflow	0.010	0.001	0.006	-0.002	-0.002	0.005	-0.005	0.013	0.006	0.012	-0.004	0.043	1.000								1.01
TobinQ	0.086	0.024	0.019	0.023	0.012	0.009	-0.001	0.072	0.006	0.014	0.008	0.047	0.036	1.000							1.02
Top1	-0.003	-0.021	-0.013	-0.021	-0.001	-0.006	0.006	-0.019	0.004	0.023	-0.025	0.009	0.001	0.005	1.000						1.00
Indep	-0.006	0.006	-0.011	0.017	-0.002	-0.005	0.002	0.002	-0.007	-0.028	-0.010	0.002	-0.004	0.006	-0.004	1.000					1.00
Dual	0.026	0.001	-0.016	0.012	-0.008	0.012	-0.005	-0.015	0.031	-0.011	-0.009	0.013	-0.001	-0.002	-0.017	-0.005	1.000				1.00
Board	-0.027	-0.008	-0.013	-0.003	-0.000	-0.011	0.007	0.002	-0.012	0.042	0.024	-0.018	-0.002	-0.002	0.005	-0.033	-0.014	1.000			1.00
CapInt	-0.025	-0.018	-0.033	-0.005	0.004	0.009	-0.002	0.006	0.025	0.043	0.006	-0.020	0.004	-0.008	-0.012	-0.015	0.019	0.030	1.000		1.00
Emp	0.001	-0.019	-0.012	-0.020	-0.030	-0.011	-0.015	0.042	0.001	0.028	0.016	0.013	-0.002	0.002	-0.012	-0.012	-0.021	-0.002	0.004	1.000	1.07
