Variable	(1)	(2)	(3)	(4)	(5)
Shock	-0.906***	-1.013***	-4.094***		-4.089***
	(0.093)	(0.093)	(0.141)		(0.142)
Variety		2.097***	2.013***	1.964***	1.990***
		(0.091)	(0.090)	(0.100)	(0.095)
Shock x Variety			1.257***	1.244***	1.257***
			(0.044)	(0.051)	(0.045)
Size	2.714***	2.620***	2.708***	2.707***	2.706***
	(0.413)	(0.409)	(0.401)	(0.402)	(0.401)
Lev	-1.801*	-1.748*	-1.502*	-1.628*	-1.520*
	(0.919)	(0.910)	(0.902)	(0.906)	(0.909)
ROA	12.821***	12.743***	12.944***	12.884***	12.670***
	(1.539)	(1.526)	(1.503)	(1.507)	(1.515)
Cashflow	0.867	0.865	0.702	0.653	0.686
	(0.703)	(0.695)	(0.688)	(0.690)	(0.693)
TobinQ	0.555***	0.565***	0.572***	0.578***	0.577***
	(0.048)	(0.048)	(0.047)	(0.047)	(0.047)
Top1	-3.825*	-3.970*	-3.986*	-4.023*	-3.884*
	(2.109)	(2.084)	(2.054)	(2.060)	(2.062)
Indep	-0.504	-0.119	0.411	0.425	0.207
	(2.945)	(2.926)	(2.878)	(2.888)	(2.891)
Dual	-0.200	-0.163	-0.179	-0.198	-0.209
	(0.154)	(0.153)	(0.150)	(0.151)	(0.151)
Board	-0.239	-0.229	0.060	0.098	-0.000
	(0.935)	(0.924)	(0.912)	(0.913)	(0.914)
CapInt	-0.869**	-0.801**	-0.685*	-0.645	-0.648
	(0.411)	(0.408)	(0.405)	(0.408)	(0.406)
Emp	-0.081	-0.049	0.009	0.019	-0.009
	(0.462)	(0.461)	(0.456)	(0.457)	(0.458)
Year FE	YES	YES	YES	--	--
Firm FE	YES	YES	YES	YES	YES
Industry x Year FE	NO	NO	NO	YES	NO
Province x Year FE	NO	NO	NO	NO	YES
Observations	36,064	36,064	36,064	36,064	36,064
R-squared	0.015	0.032	0.058	0.044	0.056
