Variable	(1)	(2)	(3)
Shock	-3.425***	-3.374***	-4.136***
	(0.134)	(0.131)	(0.142)
RelVar	3.978***		2.172***
	(0.202)		(0.266)
UnrelVar		2.908***	1.912***
		(0.142)	(0.187)
Shock x RelVar	2.477***		1.585***
	(0.101)		(0.117)
Shock x UnrelVar		1.618***	1.067***
		(0.065)	(0.075)
Size	2.723***	2.692***	2.711***
	(0.403)	(0.403)	(0.401)
Lev	-1.572*	-1.559*	-1.497*
	(0.905)	(0.905)	(0.901)
ROA	12.820***	12.978***	12.935***
	(1.514)	(1.509)	(1.504)
Cashflow	0.651	0.797	0.688
	(0.692)	(0.691)	(0.688)
TobinQ	0.568***	0.569***	0.572***
	(0.047)	(0.047)	(0.047)
Top1	-4.041*	-3.900*	-4.000*
	(2.065)	(2.066)	(2.054)
Indep	0.100	0.299	0.378
	(2.886)	(2.896)	(2.877)
Dual	-0.207	-0.166	-0.185
	(0.151)	(0.151)	(0.150)
Board	-0.136	0.081	0.041
	(0.916)	(0.916)	(0.911)
CapInt	-0.703*	-0.736*	-0.682*
	(0.404)	(0.408)	(0.405)
Emp	-0.092	0.050	0.002
	(0.457)	(0.457)	(0.455)
Year FE	YES	YES	YES
Firm FE	YES	YES	YES
Observations	36,064	36,064	36,064
R-squared	0.049	0.050	0.059
