Variable	Youth (1)	Redeploy (2)	Youth (3)	Churn (4)	Youth (5)	Youth (6)
Shock	-4.094***	-2.620***	-3.788***	12.186***	-2.772***	-2.471***
	(0.141)	(0.062)	(0.145)	(0.126)	(0.157)	(0.161)
Variety	2.013***	-0.434***	2.064***	0.048	2.018***	2.068***
	(0.090)	(0.054)	(0.090)	(0.086)	(0.090)	(0.090)
Shock x Variety	1.257***	1.472***	1.084***	-3.762***	0.848***	0.679***
	(0.044)	(0.017)	(0.047)	(0.038)	(0.049)	(0.052)
Redeploy			0.117***			0.116***
			(0.012)			(0.012)
Churn					-0.109***	-0.108***
					(0.006)	(0.006)
Size	2.708***	0.584***	2.639***	-0.437	2.660***	2.593***
	(0.401)	(0.175)	(0.400)	(0.365)	(0.400)	(0.400)
Lev	-1.502*	-0.230	-1.475	-0.373	-1.542*	-1.515*
	(0.902)	(0.396)	(0.900)	(0.862)	(0.899)	(0.898)
ROA	12.944***	1.223*	12.801***	0.758	13.026***	12.884***
	(1.503)	(0.679)	(1.500)	(1.475)	(1.492)	(1.489)
Cashflow	0.702	0.293	0.668	0.076	0.711	0.677
	(0.688)	(0.312)	(0.687)	(0.638)	(0.684)	(0.683)
TobinQ	0.572***	0.019	0.569***	-0.048	0.566***	0.564***
	(0.047)	(0.021)	(0.047)	(0.045)	(0.047)	(0.047)
Top1	-3.986*	0.480	-4.043**	-2.219	-4.227**	-4.282**
	(2.054)	(0.920)	(2.056)	(1.972)	(2.045)	(2.047)
Indep	0.411	-1.001	0.528	1.100	0.530	0.646
	(2.878)	(1.286)	(2.874)	(2.771)	(2.861)	(2.856)
Dual	-0.179	0.002	-0.179	-0.061	-0.186	-0.186
	(0.150)	(0.065)	(0.150)	(0.146)	(0.149)	(0.149)
Board	0.060	0.145	0.043	-0.229	0.035	0.018
	(0.912)	(0.407)	(0.912)	(0.852)	(0.908)	(0.908)
CapInt	-0.685*	-0.092	-0.674*	0.064	-0.678*	-0.667*
	(0.405)	(0.183)	(0.404)	(0.394)	(0.402)	(0.401)
Emp	0.009	-0.125	0.023	-0.083	-0.000	0.014
	(0.456)	(0.205)	(0.455)	(0.439)	(0.454)	(0.453)
Year FE	YES	YES	YES	YES	YES	YES
Firm FE	YES	YES	YES	YES	YES	YES
Observations	36,064	36,064	36,064	36,064	36,064	36,064
R-squared	0.058	0.178	0.061	0.243	0.068	0.071
