Variable	(1)	(2)	(3)
Shock	-4.112***	-4.092***	-4.109***
	(0.144)	(0.141)	(0.144)
Variety	1.999***	2.012***	1.997***
	(0.091)	(0.090)	(0.091)
Shock x Variety	1.263***	1.256***	1.263***
	(0.045)	(0.044)	(0.045)
Digital	0.078		0.077
	(0.182)		(0.182)
Shock x Digital	-0.208*		-0.214*
	(0.123)		(0.123)
Variety x Digital	0.004		0.002
	(0.059)		(0.058)
Shock x Variety x Digital	0.104**		0.109**
	(0.047)		(0.046)
Slack		-0.009	-0.004
		(0.219)	(0.219)
Shock x Slack		-0.204*	-0.208*
		(0.116)	(0.116)
Variety x Slack		0.015	0.013
		(0.079)	(0.079)
Shock x Variety x Slack		0.139***	0.141***
		(0.046)	(0.046)
Size	2.713***	2.717***	2.723***
	(0.401)	(0.400)	(0.401)
Lev	-1.520*	-1.486*	-1.505*
	(0.902)	(0.900)	(0.901)
ROA	12.962***	12.962***	12.982***
	(1.504)	(1.503)	(1.504)
Cashflow	0.690	0.691	0.678
	(0.688)	(0.688)	(0.688)
TobinQ	0.572***	0.572***	0.572***
	(0.047)	(0.047)	(0.047)
Top1	-4.008*	-3.889*	-3.910*
	(2.054)	(2.052)	(2.053)
Indep	0.393	0.460	0.445
	(2.880)	(2.879)	(2.880)
Dual	-0.176	-0.176	-0.173
	(0.150)	(0.150)	(0.150)
Board	0.065	0.015	0.020
	(0.912)	(0.912)	(0.912)
CapInt	-0.681*	-0.701*	-0.697*
	(0.405)	(0.405)	(0.405)
Emp	0.011	0.008	0.010
	(0.456)	(0.456)	(0.456)
Year FE	YES	YES	YES
Firm FE	YES	YES	YES
Observations	36,064	36,064	36,064
R-squared	0.058	0.059	0.059
