OLC,me,lo,hi
-2.5,-0.22410554722555226,-0.25262978134004904,-0.19558131311105548
-2.45,-0.22198020416638964,-0.2500306526895895,-0.19392975564318973
-2.4,-0.21985486110722696,-0.24743313120431823,-0.1922765910101357
-2.35,-0.2177295180480643,-0.24483730086785455,-0.19062173522827408
-2.3,-0.21560417498890166,-0.2422432512852577,-0.18896509869254563
-2.25,-0.21347883192973902,-0.23965107812876835,-0.18730658573070968
-2.2,-0.21135348887057637,-0.23706088362273864,-0.1856460941184141
-2.15,-0.2092281458114137,-0.234472777071263,-0.1839835145515644
-2.1,-0.20710280275225107,-0.23188687543228867,-0.18231873007221347
-2.05,-0.2049774596930884,-0.22930330394224813,-0.18065161544392866
-2.0,-0.20285211663392577,-0.2267221967955158,-0.17898203647233574
-1.95,-0.2007267735747631,-0.22414369788322974,-0.17730984926629645
-1.9,-0.19860143051560045,-0.2215679615962305,-0.1756348994349704
-1.85,-0.1964760874564378,-0.21899515369702602,-0.17395702121584958
-1.7999999999999998,-0.19435074439727515,-0.21642545226577975,-0.17227603652877055
-1.75,-0.1922254013381125,-0.21385904872529632,-0.17059175395092868
-1.7,-0.19010005827894985,-0.21129614894981547,-0.16890396760808424
-1.65,-0.1879747152197872,-0.20873697446206319,-0.16721245597751122
-1.6,-0.18584937216062455,-0.20618176372238523,-0.16551698059886388
-1.5499999999999998,-0.1837240291014619,-0.20363077351282674,-0.16381728469009707
-1.5,-0.18159868604229923,-0.2010842804176171,-0.16211309166698135
-1.45,-0.1794733429831366,-0.19854258239955802,-0.1604041035667152
-1.4,-0.17734799992397393,-0.19600600046914346,-0.1586899993788044
-1.3499999999999999,-0.17522265686481128,-0.19347488043969818,-0.15697043328992438
-1.2999999999999998,-0.17309731380564863,-0.1909495947572003,-0.15524503285409696
-1.25,-0.170971970746486,-0.18843054438753637,-0.15351339710543566
-1.2,-0.16884662768732334,-0.18591816073647235,-0.15177509463817432
-1.15,-0.1667212846281607,-0.1834129075683592,-0.15002966168796217
-1.0999999999999999,-0.16459594156899804,-0.18091528287827585,-0.14827660025972023
-1.0499999999999998,-0.1624705985098354,-0.1784258206587435,-0.1465153763609273
-1.0,-0.16034525545067274,-0.17594509248618947,-0.144745418415156
-0.95,-0.1582199123915101,-0.17347370883402619,-0.142966115948994
-0.8999999999999999,-0.15609456933234744,-0.1710123199987891,-0.14117681866590578
-0.8499999999999999,-0.15396922627318477,-0.1685616165038457,-0.13937683604252382
-0.7999999999999998,-0.15184388321402215,-0.16612232882280686,-0.13756543760523743
-0.75,-0.14971854015485947,-0.16369522624361185,-0.1357418540661071
-0.7,-0.14759319709569685,-0.16128111467673856,-0.13390527951465514
-0.6499999999999999,-0.14546785403653417,-0.15888083320033752,-0.13205487487273082
-0.5999999999999999,-0.14334251097737152,-0.15649524913538335,-0.1301897728193597
-0.5499999999999998,-0.14121716791820887,-0.15412525145989636,-0.1283090843765214
-0.5,-0.13909182485904623,-0.15177174240793087,-0.12641190731016158
-0.44999999999999973,-0.13696648179988358,-0.1494356271609421,-0.12449733643882505
-0.3999999999999999,-0.13484113874072093,-0.14711780162952212,-0.12256447585191975
-0.3500000000000001,-0.13271579568155828,-0.14481913844282446,-0.1206124529202921
-0.2999999999999998,-0.13059045262239563,-0.14254047140771503,-0.11864043383707623
-0.25,-0.12846510956323298,-0.1402825788609991,-0.11664764026546688
-0.19999999999999973,-0.1263397665040703,-0.13804616650147206,-0.11463336650666854
-0.1499999999999999,-0.12421442344490767,-0.1358318504343945,-0.11259699645542083
-0.09999999999999964,-0.12208908038574501,-0.13364014126664733,-0.11053801950484267
-0.04999999999999982,-0.11996373732658237,-0.13147143013417562,-0.10845604451898914
0.0,-0.11783839426741972,-0.1293259775073758,-0.10635081102746366
0.050000000000000266,-0.11571305120825706,-0.12720390549752866,-0.10422219691898546
0.10000000000000009,-0.11358770814909441,-0.12510519418385868,-0.10207022211433016
0.15000000000000036,-0.11146236508993175,-0.12302968221561277,-0.09989504796425074
0.20000000000000018,-0.10933702203076912,-0.12097707164718068,-0.09769697241435756
0.25,-0.10721167897160647,-0.11894693667309467,-0.09547642127011827
0.30000000000000027,-0.1050863359124438,-0.11693873567913741,-0.09323393614575019
0.3500000000000001,-0.10296099285328117,-0.11495182584353107,-0.09097015986303127
0.40000000000000036,-0.1008356497941185,-0.11298547942386962,-0.0886858201643674
0.4500000000000002,-0.09871030673495586,-0.1110389008529101,-0.08638171261700162
0.5,-0.09658496367579322,-0.10911124382913084,-0.0840586835224556
0.5500000000000003,-0.09445962061663055,-0.10720162770719166,-0.08171761352606943
0.6000000000000001,-0.09233427755746791,-0.10530915264639593,-0.0793594024685399
0.6500000000000004,-0.09020893449830525,-0.10343291313984979,-0.07698495585676071
0.7000000000000002,-0.0880835914391426,-0.10157200970490425,-0.07459517317338095
0.75,-0.08595824837997997,-0.09972555865372644,-0.07219093810623349
0.8000000000000003,-0.0838329053208173,-0.09789269997424108,-0.06977311066739353
0.8500000000000001,-0.08170756226165465,-0.09607260343391195,-0.06734252108939735
0.9000000000000004,-0.07958221920249199,-0.09426447307327822,-0.06489996533170576
0.9500000000000002,-0.07745687614332936,-0.09246755028652334,-0.06244620200013536
1.0,-0.07533153308416671,-0.09068111569743192,-0.05998195047090149
1.0500000000000003,-0.07320619002500404,-0.08890449003586895,-0.05750789001413915
1.1,-0.07108084696584141,-0.08713703420696917,-0.055024659724713654
1.1500000000000004,-0.06895550390667873,-0.08537814872639496,-0.05253285908696251
1.2000000000000002,-0.0668301608475161,-0.0836272726733127,-0.0500330490217195
1.25,-0.06470481778835345,-0.08188388229034092,-0.047525753286365977
1.3000000000000003,-0.06257947472919079,-0.08014748933813114,-0.04501146012025044
1.35,-0.060454131670028145,-0.07841763929236635,-0.04249062404768994
1.4000000000000004,-0.05832878861086548,-0.07669390945329477,-0.039963667768436205
1.4500000000000002,-0.05620344555170284,-0.07497590702263475,-0.03743098408077093
1.5,-0.054078102492540206,-0.07326326718976346,-0.03489293779531695
1.5499999999999998,-0.05195275943337756,-0.07155565125838403,-0.03234986760837108
1.6000000000000005,-0.04982741637421488,-0.06985274483613022,-0.029802087912299553
1.6500000000000004,-0.04770207331505223,-0.06815425610256055,-0.027249890527543907
1.7000000000000002,-0.04557673025588958,-0.06645991416546317,-0.024693546346315997
1.75,-0.04345138719672695,-0.06476946751109533,-0.022133306882358574
1.7999999999999998,-0.0413260441375643,-0.06308268255070187,-0.01956940572442673
1.8500000000000005,-0.03920070107840162,-0.06139934226320238,-0.017002059893600867
