Variable,Treated (unmatched),Control (unmatched),%bias (unmatched),Treated (matched),Control (matched),%bias (matched),%reduction,t,p
Size,22.4573,22.4646,-1.3244,22.4569,22.4608,-0.7042,46.8306,-0.2566,0.7975
ROA,0.0308,0.0312,-1.5084,0.0308,0.031,-0.8139,46.0408,-0.301,0.7634
Lev,0.4267,0.4257,1.3041,0.4268,0.4273,-0.6899,47.0964,-0.2515,0.8014
Growth,0.1188,0.1225,-2.4022,0.1186,0.1243,-3.7853,-57.5745,-1.3557,0.1753
TobinQ,1.9989,1.9626,8.4272,1.9985,1.9945,0.9282,88.9856,0.337,0.7361
Board,2.1084,2.1058,3.1821,2.1082,2.1088,-0.7015,77.9555,-0.2587,0.7959
Indep,0.3792,0.3786,2.6677,0.3791,0.3794,-1.3208,50.4899,-0.4921,0.6227
Dual,0.3123,0.2976,7.6813,0.3119,0.3117,0.1298,98.3097,0.0469,0.9626
FirmAge,2.9418,2.919,6.5434,2.9419,2.9385,0.961,85.3128,0.3505,0.726
Fixed,0.1999,0.1967,5.8153,0.1998,0.1997,0.2023,96.5215,0.0724,0.9423
Intan,0.0454,0.046,-3.9285,0.0453,0.0455,-0.8601,78.1063,-0.31,0.7566
CR,0.8474,0.85,-0.7534,0.8481,0.8548,-1.9523,-159.138,-0.701,0.4834
