Variable,N,Mean,SD,Min,Median,Max
Youth,"31,015",0.2774,0.1060,0.0199,0.2778,0.5242
lnYouthN,"31,015",8.2169,1.4870,4.2915,8.2610,11.5741
Mid,"31,015",0.3059,0.0728,0.1331,0.3060,0.4789
Promo,"31,015",0.0954,0.0312,0.0211,0.0953,0.1695
Exposure,"31,015",0.5031,0.1280,0.0800,0.5138,0.8800
Treat,"31,015",-0.0000,0.0690,-0.4222,0.0000,0.3778
GAI,"31,015",1.1317,1.1170,0.0000,0.7307,4.3917
EntryTask,"31,015",0.4470,0.0650,0.2932,0.4472,0.5981
Train,"31,015",0.9211,0.4180,0.0200,0.9207,1.9212
OLC,"31,015",0.0000,1.0000,-3.9329,-0.0132,4.1374
ILM,"31,015",0.3873,0.1320,0.0500,0.3864,0.8500
Size,"31,015",22.5046,1.2937,19.4112,22.4996,25.5314
ROA,"31,015",0.0312,0.0628,-0.1170,0.0313,0.1821
Lev,"31,015",0.4260,0.1909,0.0300,0.4274,0.8791
Growth,"31,015",0.1185,0.3624,-0.6800,0.1175,0.9904
TobinQ,"31,015",1.9873,1.0430,0.7900,1.7360,5.8622
Board,"31,015",2.1063,0.1959,1.6100,2.1045,2.7100
Indep,"31,015",0.3787,0.0514,0.2900,0.3772,0.6000
Dual,"31,015",0.3063,0.4610,0.0000,0.0000,1.0000
FirmAge,"31,015",3.0443,0.3417,2.3026,3.0910,3.6376
Fixed,"31,015",0.1981,0.1301,0.0020,0.1915,0.5278
Intan,"31,015",0.0454,0.0369,0.0000,0.0416,0.1422
CR,"31,015",0.8484,0.8213,0.0692,0.5785,4.5487
