Variable,Youth,Treat,GAI,EntryTask,Train,OLC,Size,ROA,Lev,Growth,FirmAge
Youth,1.000,,,,,,,,,,
Treat,-0.055***,1.000,,,,,,,,,
GAI,-0.078***,0.088***,1.000,,,,,,,,
EntryTask,0.187***,-0.115***,-0.207***,1.000,,,,,,,
Train,0.153***,0.022***,0.172***,0.062***,1.000,,,,,,
OLC,0.019***,0.007,0.019***,0.007,0.156***,1.000,,,,,
Size,0.202***,0.008,0.119***,0.180***,0.526***,0.078***,1.000,,,,
ROA,0.037***,-0.001,0.003,0.003,-0.005,-0.004,-0.006,1.000,,,
Lev,-0.051***,0.006,0.006,-0.007,0.009,-0.006,0.014**,-0.008,1.000,,
Growth,0.057***,0.010*,-0.004,0.005,0.001,-0.007,-0.005,-0.002,0.000,1.000,
FirmAge,-0.166***,0.014**,0.230***,-0.064***,0.046***,-0.003,0.020***,0.004,0.000,-0.013**,1.000
