,(1),(2),(3),(4)
Treat (Post x Exposure),-0.1155***,-0.1135***,-0.1175***,-0.1182***
,(0.0071),(0.0063),(0.0059),(0.0060)
GenAI adoption intensity,,,,0.0005
,,,,(0.0008)
Size,,,0.0177***,0.0177***
,,,(0.0003),(0.0003)
ROA,,,0.0625***,0.0625***
,,,(0.0057),(0.0057)
Lev,,,-0.0302***,-0.0303***
,,,(0.0018),(0.0018)
Growth,,,0.0147***,0.0147***
,,,(0.0010),(0.0010)
TobinQ,,,0.0005,0.0005
,,,(0.0003),(0.0003)
Board,,,-0.0001,-0.0001
,,,(0.0018),(0.0018)
Indep,,,0.0067,0.0067
,,,(0.0070),(0.0070)
Dual,,,-0.0000,-0.0000
,,,(0.0008),(0.0008)
FirmAge,,,-0.0374***,-0.0374***
,,,(0.0080),(0.0080)
Fixed,,,-0.0233***,-0.0233***
,,,(0.0028),(0.0028)
Intan,,,0.0054,0.0054
,,,(0.0096),(0.0096)
CR,,,-0.0007,-0.0007
,,,(0.0004),(0.0004)
Observations,"31,015","31,015","31,015","31,015"
Within R2,0.0120,0.0120,0.1863,0.1840
