series,x,value
std_index.acct,1993,0.05
std_index.acct,1994,0.0595
std_index.acct,1995,0.0674
std_index.acct,1996,0.0868
std_index.acct,1997,0.0884
std_index.acct,1998,0.1022
std_index.acct,1999,0.108
std_index.acct,2000,0.1189
std_index.acct,2001,0.1272
std_index.acct,2002,0.1377
std_index.acct,2003,0.1548
std_index.acct,2004,0.1652
std_index.acct,2005,0.18
std_index.acct,2006,0.1963
std_index.acct,2007,0.2053
std_index.acct,2008,0.2168
std_index.acct,2009,0.2327
std_index.acct,2010,0.2498
std_index.acct,2011,0.2692
std_index.acct,2012,0.2873
std_index.acct,2013,0.3069
std_index.acct,2014,0.322
std_index.acct,2015,0.35
std_index.acct,2016,0.3761
std_index.acct,2017,0.4135
std_index.acct,2018,0.451
std_index.acct,2019,0.487
std_index.acct,2020,0.52
std_index.acct,2021,0.5555
std_index.acct,2022,0.5805
std_index.acct,2023,0.6149
std_index.acct,2024,0.6436
std_index.acct,2025,0.68
std_index.fp,1993,0.02
std_index.fp,1994,0.0229
std_index.fp,1995,0.0353
std_index.fp,1996,0.0293
std_index.fp,1997,0.037
std_index.fp,1998,0.0477
std_index.fp,1999,0.0485
std_index.fp,2000,0.054
std_index.fp,2001,0.0575
std_index.fp,2002,0.0551
std_index.fp,2003,0.0682
std_index.fp,2004,0.0753
std_index.fp,2005,0.08
std_index.fp,2006,0.0876
std_index.fp,2007,0.1056
std_index.fp,2008,0.1074
std_index.fp,2009,0.1181
std_index.fp,2010,0.1265
std_index.fp,2011,0.144
std_index.fp,2012,0.1537
std_index.fp,2013,0.1673
std_index.fp,2014,0.1863
std_index.fp,2015,0.2
std_index.fp,2016,0.2242
std_index.fp,2017,0.2508
std_index.fp,2018,0.2726
std_index.fp,2019,0.2963
std_index.fp,2020,0.33
std_index.fp,2021,0.3669
std_index.fp,2022,0.4072
std_index.fp,2023,0.4621
std_index.fp,2024,0.508
std_index.fp,2025,0.55
std_index.prod,1993,0.06
std_index.prod,1994,0.0679
std_index.prod,1995,0.0747
std_index.prod,1996,0.0723
std_index.prod,1997,0.0814
std_index.prod,1998,0.0926
std_index.prod,1999,0.0948
std_index.prod,2000,0.1029
std_index.prod,2001,0.1053
std_index.prod,2002,0.1158
std_index.prod,2003,0.1235
std_index.prod,2004,0.1332
std_index.prod,2005,0.15
std_index.prod,2006,0.1647
std_index.prod,2007,0.1814
std_index.prod,2008,0.207
std_index.prod,2009,0.2273
std_index.prod,2010,0.2466
std_index.prod,2011,0.2738
std_index.prod,2012,0.2964
std_index.prod,2013,0.3254
std_index.prod,2014,0.3515
std_index.prod,2015,0.38
std_index.prod,2016,0.4212
std_index.prod,2017,0.4472
std_index.prod,2018,0.485
std_index.prod,2019,0.5176
std_index.prod,2020,0.55
std_index.prod,2021,0.5768
std_index.prod,2022,0.611
std_index.prod,2023,0.6339
std_index.prod,2024,0.669
std_index.prod,2025,0.7
std_index.sink,1993,0.01
std_index.sink,1994,0.0128
std_index.sink,1995,0.0167
std_index.sink,1996,0.0222
std_index.sink,1997,0.0169
std_index.sink,1998,0.022
std_index.sink,1999,0.0186
std_index.sink,2000,0.0235
std_index.sink,2001,0.0223
std_index.sink,2002,0.0324
std_index.sink,2003,0.033
std_index.sink,2004,0.0306
std_index.sink,2005,0.04
std_index.sink,2006,0.0444
std_index.sink,2007,0.0484
std_index.sink,2008,0.0521
std_index.sink,2009,0.0565
std_index.sink,2010,0.0662
std_index.sink,2011,0.0717
std_index.sink,2012,0.0791
std_index.sink,2013,0.0825
std_index.sink,2014,0.0924
std_index.sink,2015,0.1
std_index.sink,2016,0.1131
std_index.sink,2017,0.1257
std_index.sink,2018,0.1387
std_index.sink,2019,0.1539
std_index.sink,2020,0.18
std_index.sink,2021,0.2066
std_index.sink,2022,0.2293
std_index.sink,2023,0.2678
std_index.sink,2024,0.2925
std_index.sink,2025,0.32
std_index.fin,1993,0.0
std_index.fin,1994,0.0006
std_index.fin,1995,0.0115
std_index.fin,1996,0.0055
std_index.fin,1997,0.0061
std_index.fin,1998,0.0105
std_index.fin,1999,0.0048
std_index.fin,2000,0.0052
std_index.fin,2001,0.0119
std_index.fin,2002,0.0214
std_index.fin,2003,0.018
std_index.fin,2004,0.0164
std_index.fin,2005,0.03
std_index.fin,2006,0.0329
std_index.fin,2007,0.0469
std_index.fin,2008,0.0487
std_index.fin,2009,0.0506
std_index.fin,2010,0.0627
std_index.fin,2011,0.0748
std_index.fin,2012,0.094
std_index.fin,2013,0.1088
std_index.fin,2014,0.1327
std_index.fin,2015,0.15
std_index.fin,2016,0.1912
std_index.fin,2017,0.2193
std_index.fin,2018,0.264
std_index.fin,2019,0.3023
std_index.fin,2020,0.35
std_index.fin,2021,0.39
std_index.fin,2022,0.4303
std_index.fin,2023,0.4905
std_index.fin,2024,0.5359
std_index.fin,2025,0.58
std_cum.gb,1993,4.0
std_annual.gb,1993,4.0
std_cum.gb,1994,9.0
std_annual.gb,1994,5.0
std_cum.gb,1995,13.0
std_annual.gb,1995,4.0
std_cum.gb,1996,15.0
std_annual.gb,1996,2.0
std_cum.gb,1997,18.0
std_annual.gb,1997,3.0
std_cum.gb,1998,21.0
std_annual.gb,1998,3.0
std_cum.gb,1999,25.0
std_annual.gb,1999,4.0
std_cum.gb,2000,31.0
std_annual.gb,2000,6.0
std_cum.gb,2001,38.0
std_annual.gb,2001,7.0
std_cum.gb,2002,48.0
std_annual.gb,2002,10.0
std_cum.gb,2003,62.0
std_annual.gb,2003,14.0
std_cum.gb,2004,79.0
std_annual.gb,2004,17.0
std_cum.gb,2005,98.0
std_annual.gb,2005,19.0
std_cum.gb,2006,121.0
std_annual.gb,2006,23.0
std_cum.gb,2007,146.0
std_annual.gb,2007,25.0
std_cum.gb,2008,173.0
std_annual.gb,2008,27.0
std_cum.gb,2009,204.0
std_annual.gb,2009,31.0
