country_name,country_iso3,year,jja_temperature_C,jja_anomaly_C,jun_temperature_C,jul_temperature_C,aug_temperature_C
Austria,AUT,1750,15.352,0.512,14.347,16.154,15.555
Austria,AUT,1751,15.444,0.604,13.603,16.504,16.224
Austria,AUT,1752,15.385,0.545,15.844,16.127,14.184
Austria,AUT,1753,15.131,0.291,15.179,16.038,14.176
Austria,AUT,1754,15.032,0.192,14.851,14.99,15.254
Austria,AUT,1755,15.424,0.584,16.506,15.947,13.82
Austria,AUT,1756,15.779,0.939,15.992,15.962,15.382
Austria,AUT,1757,16.93,2.09,15.872,18.622,16.295
Austria,AUT,1758,14.324,-0.516,14.954,13.659,14.359
Austria,AUT,1759,15.621,0.781,14.818,17.041,15.004
Austria,AUT,1760,15.097,0.257,14.987,15.797,14.508
Austria,AUT,1761,16.021,1.181,15.358,16.674,16.03
Austria,AUT,1762,14.98,0.14,13.893,16.418,14.628
Austria,AUT,1763,15.301,0.461,13.526,16.254,16.122
Austria,AUT,1764,14.553,-0.287,13.886,16.241,13.531
Austria,AUT,1765,14.093,-0.747,14.124,13.513,14.642
Austria,AUT,1766,14.568,-0.272,14.664,14.299,14.742
Austria,AUT,1767,14.54,-0.3,13.176,15.762,14.681
Austria,AUT,1768,14.653,-0.187,13.013,15.901,15.044
Austria,AUT,1769,14.317,-0.523,13.698,15.264,13.99
Austria,AUT,1770,13.924,-0.916,13.05,14.365,14.357
Austria,AUT,1771,14.019,-0.821,12.904,15.122,14.031
Austria,AUT,1772,15.529,0.689,15.457,16.093,15.037
Austria,AUT,1773,13.769,-1.071,13.125,14.138,14.044
Austria,AUT,1774,15.462,0.622,14.843,15.637,15.906
Austria,AUT,1775,16.104,1.264,15.644,16.204,16.464
Austria,AUT,1776,14.941,0.101,13.915,15.533,15.376
Austria,AUT,1777,14.552,-0.288,13.633,14.296,15.726
Austria,AUT,1778,15.743,0.903,13.614,17.667,15.948
Austria,AUT,1779,14.286,-0.554,12.478,14.982,15.399
Austria,AUT,1780,15.183,0.343,14.349,15.604,15.597
Austria,AUT,1781,16.329,1.489,15.325,16.369,17.293
Austria,AUT,1782,16.259,1.419,15.542,17.768,15.467
Austria,AUT,1783,15.633,0.793,14.516,16.812,15.571
Austria,AUT,1784,15.145,0.305,14.439,15.952,15.044
Austria,AUT,1785,13.722,-1.118,12.818,14.532,13.817
Austria,AUT,1786,13.778,-1.062,14.561,13.669,13.105
Austria,AUT,1787,15.319,0.479,14.966,15.115,15.876
Austria,AUT,1788,15.96,1.12,15.699,18.371,13.81
Austria,AUT,1789,14.405,-0.435,12.903,15.73,14.582
Austria,AUT,1790,15.037,0.197,15.269,14.372,15.471
Austria,AUT,1791,15.356,0.516,13.536,15.665,16.867
Austria,AUT,1792,15.699,0.859,14.883,16.487,15.727
Austria,AUT,1793,15.599,0.759,12.974,17.459,16.365
Austria,AUT,1794,15.9,1.06,14.997,18.37,14.333
Austria,AUT,1795,14.699,-0.141,14.907,13.525,15.664
Austria,AUT,1796,14.987,0.147,13.936,15.578,15.446
Austria,AUT,1797,16.036,1.196,13.468,17.6,17.04
Austria,AUT,1798,15.774,0.934,15.12,16.037,16.165
