ID_HDC_G0,CTR_MN_ISO,CTR_MN_NM,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,UC_NM_SRC,XBRDR,XCTR_NBR,XC_ISO_LST,GCPNT_LAT,GCPNT_LON,AREA,P75,P90,P00,P15,B75,B90,B00,B15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,H75_NBR,H90_NBR,H00_NBR,H75_AREA,H90_AREA,H00_AREA,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,SDG_A2G14,SDG_OS15MX,SDG_LUE9015,E_KG_NM_LST,E_BM_NM_LST,EL_AV_ALS,E_WR_T_90,E_WR_T_00,E_WR_T_14,E_WR_P_90,E_WR_P_00,E_WR_P_14,EX_HW_IDX,GDP90_SM,GDP00_SM,GDP15_SM,INCM_CMI,DEV_CMI,NTL_AV,TT2CC,QA2_1V,EU27_EUROPEAN_TERRITORY
3027.0,AUT,Austria,Europe,Western Europe,Vienna,Vienna,GISCO OSM,0.0,1.0,AUT,48.1984081854,16.3839758661,392.0,1333188.32425,1469348.25737,1621219.53851,1856675.54302,180.050125122,225.857406616,239.682678223,247.003219604,135.052281697,153.712644694,147.840975592,133.035209374,1.0,1.0,1.0,310.0,346.0,377.0,0.403512978135982,0.428760370144814,0.442523883061379,176.581302699,194.254236891,21.3431790625,392.178718652,196.469426545,195.04237192,0.6669201875,392.178718652,214.371206174,172.471111291,5.3364011875,392.178718652,0.377124766055,54.69,0.38252,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,193.711622924,10.497882843,11.1070299149,11.6032397747,616.550003052,630.025009155,633.074996948,9.906009674,35552239616.0,43019567104.0,52141469696.0,HIC,MDR,21.338534822,0.0,1.0,1
3000.0,AUT,Austria,Europe,Western Europe,Graz,Graz,GISCO OSM,0.0,1.0,AUT,47.058527886,15.4358553855,73.0,156673.307266,187063.111465,214498.864502,261476.193604,33.8837623596,33.8837623596,37.4048080444,38.3833465576,216.270167209,181.135457943,174.382312612,146.794803873,1.0,1.0,1.0,49.0,62.0,66.0,0.41948825658142,0.463206240275974,0.44509993381589,37.266182085,35.6290195044,0.0,72.8952015895,46.8587150328,26.0364865566,0.0,72.8952015895,39.0087725689,33.8864290206,0.0,72.8952015895,0.368366664332,53.44,0.37232,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,366.886687941,6.59668326378,7.39072835445,7.78276085854,1183.10003662,1089.625,1228.20001221,9.816129684,2632178176.0,3455395072.0,4975084032.0,HIC,MDR,15.850548267,101.34494114221924,1.0,1
2936.0,AUT,Austria,Europe,Western Europe,Linz,Linz,GISCO OSM,0.0,1.0,AUT,48.279325869,14.2930258173,69.0,188703.51062,190448.457855,194549.890381,202651.519836,36.0523605347,39.2095756531,42.0889358521,43.2602882385,191.052940225,205.880247573,216.340064596,213.471323943,1.0,1.0,1.0,59.0,59.0,64.0,0.207743335026127,0.404556671749672,0.396545282720697,0.0,7.2024922461,2.5869363252,9.7894285713,28.2760348532,39.8958035468,0.665995,68.8378334,34.2261740029,31.2813373346,3.3303220625,68.8378334,0.250284484029,49.6,1.583,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,268.587014826,9.82950234413,10.3829834461,10.8328635693,777.575012207,832.025024414,783.025039673,3.608249903,2794054656.0,3443341568.0,4276100096.0,HIC,MDR,21.596217898,102.05611061786607,1.0,1
2885.0,AUT,Austria,Europe,Western Europe,Salzburg,Salzburg,GISCO OSM,0.0,1.0,AUT,47.8030343612,13.0366357373,46.0,129814.788086,130750.640564,134710.557129,140052.170959,22.0486755371,23.9444313049,25.115650177,26.1206092834,169.847178909,183.13050859,186.441587893,186.506279085,1.0,1.0,1.0,41.0,41.0,42.0,0.427648129758468,0.499169409691891,0.489949454654893,22.886321749,23.5103574037,0.0,46.3966791527,31.6122216527,14.7844575,0.0,46.3966791527,32.2844407777,14.112238375,0.0,46.3966791527,0.487156789521,70.18,1.2658,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,433.931899302,6.62332594395,7.12067043781,7.4887650013,1489.52505493,1553.10003662,1483.8500061,4.290450096,2264800000.0,2887815680.0,3488517376.0,HIC,MDR,22.849370459,176.50193101919433,1.0,1
2788.0,AUT,Austria,Europe,Western Europe,Innsbruck,Innsbruck,GISCO OSM,0.0,1.0,AUT,47.2681739576,11.403367422,27.0,97637.6021729,101120.091553,105826.931396,113300.718506,14.5722045898,15.6972846985,16.47955513,16.777715683,149.247874441,155.234083133,155.721751661,148.08128231,1.0,1.0,1.0,26.0,26.0,27.0,0.396344463211393,0.4524829195999,0.444023783744294,12.7758415659,13.6484642752,0.6789627500000001,27.1032685912,16.1706553159,10.9326132752,0.0,27.1032685912,14.5146963625,12.5885722287,0.0,27.1032685912,0.354559196268,53.76,0.58524,"Mild temperate, fully humid, and  Warm summer",Temperate Coniferous Forests,606.128326363,3.81369739771,4.14000767469,4.50899428129,1446.04998779,1763.75006104,1520.75006104,5.080900192,1432794112.0,1804333440.0,2279119104.0,HIC,MDR,22.986335666,287.92153609355756,1.0,1
2952.0,AUT,Austria,Europe,Western Europe,Klagenfurt,Klagenfurt,GISCO OSM,0.0,1.0,AUT,46.6223476404,14.3123960577,26.0,60503.536438,60631.0064697,62368.5439453,64018.3699951,16.0373668671,17.5215358734,17.6914958954,18.1345119476,265.064950104,288.986393161,283.660556689,283.270441734,1.0,1.0,1.0,22.0,25.0,25.0,0.391511979244214,0.505171688694847,0.486238354923984,3.9495563078,22.1638701039,0.0,26.1134264118,15.9579931402,10.1554332716,0.0,26.1134264118,12.7387825159,13.3746438958,0.0,26.1134264118,0.447584958383,49.0,0.63252,"Mild temperate, fully humid, and  Warm summer",Temperate Coniferous Forests,445.544542759,7.63816058636,8.39978551865,8.758766412730001,1312.70001221,1326.94998169,1524.00003052,9.123129845,805959936.0,1022775168.0,1225582080.0,HIC,MDR,10.538785549,179.85793999741352,1.0,1
2135.0,BEL,Belgium,Europe,Western Europe,Brussels,Brussels,GISCO OSM,0.0,1.0,BEL,50.849956765499996,4.37028082133,266.0,914970.049278,1027735.58592,1131359.60411,1381517.48463,167.593841553,179.05947876,190.18019104,195.404953003,183.168664029,174.227185681,168.098799311,141.442258369,1.0,1.0,1.0,218.0,232.0,250.0,0.370190760083269,0.432249729246469,0.466612202800749,87.2428222576,164.747367901,14.5395698125,266.529759971,143.436978469,117.955308805,5.1374726971,266.529759971,167.48438865,93.3551678843,5.6902034375,266.529759971,0.329429320412,62.96,0.2953,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,52.7906331806,10.7933888435,11.2393643856,11.1428172588,823.175018311,990.200027466,882.225021362,3.7929599290000002,26101428224.0,32885053440.0,44632608768.0,HIC,MDR,43.557512309,0.0,1.0,1
2133.0,BEL,Belgium,Europe,Western Europe,Antwerp,Antwerp,GISCO OSM,0.0,1.0,BEL,51.2163371341,4.39613910932,376.0,657350.315328,680362.571728,705788.652472,792029.469923,157.04586792,184.619125366,205.400619507,215.043441772,238.907420074,271.35402951,291.022842019,271.509394459,1.0,1.0,1.0,231.0,269.0,339.0,0.352799107997647,0.414698602611054,0.440708020468472,144.927786527,178.169911144,52.7701768657,375.867874537,205.809235315,138.430649858,31.6279893635,375.867874537,220.111317329,116.124546318,39.6320108897,375.867874537,0.416552331357,58.54,1.0038,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,9.30735134866,10.9427273273,11.3348436356,11.2439937592,739.550033569,928.825012207,827.525039673,3.7929599290000002,12582142976.0,15339655168.0,18817073152.0,HIC,MDR,34.26069422,10.167008144804884,1.0,1
2208.0,BEL,Belgium,Europe,Western Europe,Liège,Liège,GISCO OSM,0.0,1.0,BEL,50.6390996111,5.56222964362,158.0,367303.766129,361006.961517,361092.805756,381673.147888,97.1226348877,99.3964233398,103.950042725,106.069282532,264.42047113,275.331043263,287.876249728,277.906064701,1.0,1.0,1.0,136.0,138.0,145.0,0.377396016152928,0.448665462339114,0.480458589161365,59.1867999343,89.0603080547,10.162145125,158.409253114,88.0893886218,67.7800483672,2.5398161249999998,158.409253114,106.012932774,50.4914882779,1.9048320625000001,158.409253114,0.500879543027,67.1,1.1672,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,124.21713294,10.4769432545,10.923022747000001,10.8662345409,832.974990845,1021.0249939,862.5,10.55340004,4211183616.0,4863015424.0,5711218176.0,HIC,MDR,21.521788083,49.49206378488248,1.0,1
2112.0,BEL,Belgium,Europe,Western Europe,Ghent,Ghent,GISCO OSM,1.0,2.0,BEL; NLD,51.0857743885,3.74824959182,147.0,220530.636902,227542.382935,235873.238739,263643.367218,90.3286972046,96.3923568726,104.581436157,107.472793579,409.597044989,423.623747055,443.379828574,407.644594716,1.0,1.0,1.0,93.0,109.0,141.0,0.385356777210888,0.449883469630179,0.468181833953264,56.0232193647,81.6420290039,9.4334330625,147.098681431,85.5209075826,58.4321269735,3.145646875,147.098681431,90.7194120691,50.0920866745,6.2871826875,147.098681431,0.48090881912899996,61.71,0.7389,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,7.58420438739,11.0177443027,11.417589426,11.3273556232,719.600021362,895.450027466,816.150024414,4.580729961,3092346368.0,3767087360.0,4855694336.0,HIC,MDR,24.021826736,25.63698274358049,1.0,1
