climate	erf	mean_wbgt	peak_wbgt	youth_h_per_day	older_h_per_day	gap
maritime	hothaps	21.29	25.83	0.013	0.012	0.001
maritime	iso	21.29	25.83	0.000	0.000	0.000
maritime	niosh	21.29	25.83	0.000	0.000	0.000
maritime	dunne	21.29	25.83	0.001	0.001	0.000
maritime	foster	21.29	25.83	0.247	0.236	0.011
continental	hothaps	24.43	29.58	0.128	0.117	0.010
continental	iso	24.43	29.58	0.142	0.128	0.014
continental	niosh	24.43	29.58	0.077	0.069	0.008
continental	dunne	24.43	29.58	0.441	0.399	0.042
continental	foster	24.43	29.58	0.530	0.506	0.025
pannonian	hothaps	26.72	31.92	0.412	0.380	0.032
pannonian	iso	26.72	31.92	0.760	0.703	0.058
pannonian	niosh	26.72	31.92	0.632	0.587	0.045
pannonian	dunne	26.72	31.92	1.094	1.010	0.084
pannonian	foster	26.72	31.92	0.812	0.774	0.038
mediterranean	hothaps	30.13	35.15	1.272	1.189	0.083
mediterranean	iso	30.13	35.15	2.364	2.242	0.122
mediterranean	niosh	30.13	35.15	2.185	2.074	0.111
mediterranean	dunne	30.13	35.15	2.469	2.334	0.135
mediterranean	foster	30.13	35.15	1.325	1.263	0.062
