scenario,year,cum_capacity_GW,annual_shipment_GW,it_energy_TWh,infra_energy_TWh,facility_energy_TWh,direct_water_Mm3,indirect_water_Mm3,total_water_Mm3,scope2_carbon_Mt,scope3_carbon_Mt,total_carbon_Mt
Low demand,2024,6.0,2.5,15.24,5.03,20.27,32.8,88.2,121.0,11.66,1.63,13.29
Low demand,2025,9.0,3.0,22.86,7.32,30.18,48.3,129.2,177.5,16.9,2.37,19.27
Low demand,2026,12.5,3.5,31.75,9.84,41.6,65.7,174.7,240.4,22.67,3.17,25.85
Low demand,2027,16.0,3.5,40.65,12.19,52.84,82.4,217.7,300.1,27.74,3.88,31.62
Low demand,2028,19.5,3.5,49.54,14.37,63.9,98.4,258.8,357.2,32.27,4.52,36.79
Low demand,2029,23.0,3.5,58.43,16.36,74.79,113.7,297.7,411.3,36.27,5.08,41.35
Low demand,2030,26.5,3.5,67.32,18.18,85.5,128.2,335.1,463.4,40.18,5.63,45.81
Low power,2024,6.0,2.5,13.93,4.6,18.52,30.0,80.6,110.6,10.65,1.49,12.14
Low power,2025,9.5,3.5,22.05,7.06,29.11,46.6,124.6,171.2,16.3,2.28,18.58
Low power,2026,13.5,4.0,31.34,9.72,41.05,64.9,172.4,237.3,22.37,3.13,25.51
Low power,2027,18.0,4.5,41.79,12.54,54.32,84.7,223.8,308.5,28.52,3.99,32.51
Low power,2028,22.5,4.5,52.23,15.15,67.38,103.8,272.9,376.6,34.03,4.76,38.79
Low power,2029,27.0,4.5,62.68,17.55,80.23,121.9,319.3,441.3,38.91,5.45,44.36
Low power,2030,31.5,4.5,73.12,19.74,92.87,139.3,364.0,503.3,43.65,6.11,49.76
Mid-case,2024,6.0,2.5,17.61,5.81,23.42,37.9,101.9,139.8,13.47,1.89,15.35
Mid-case,2025,10.0,4.0,29.35,9.39,38.74,62.0,165.8,227.8,21.69,3.04,24.73
Mid-case,2026,15.0,5.0,44.02,13.65,57.66,91.1,242.2,333.3,31.43,4.4,35.83
Mid-case,2027,21.0,6.0,61.63,18.49,80.11,125.0,330.1,455.1,42.06,5.89,47.95
Mid-case,2028,28.0,7.0,82.17,23.83,106.0,163.2,429.3,592.5,53.53,7.49,61.02
Mid-case,2029,35.0,7.0,102.71,28.76,131.47,199.8,523.3,723.1,63.76,8.93,72.69
Mid-case,2030,42.0,7.0,123.25,33.28,156.53,234.8,613.6,848.4,73.57,10.3,83.87
High application,2024,6.0,2.5,17.87,5.9,23.77,38.5,103.4,141.9,13.67,1.91,15.58
High application,2025,10.5,4.5,31.27,10.01,41.28,66.0,176.7,242.7,23.12,3.24,26.35
High application,2026,16.5,6.0,49.14,15.23,64.38,101.7,270.4,372.1,35.09,4.91,40.0
High application,2027,24.0,7.5,71.48,21.44,92.93,145.0,382.9,527.8,48.79,6.83,55.62
High application,2028,32.5,8.5,96.8,28.07,124.87,192.3,505.7,698.0,63.06,8.83,71.89
High application,2029,41.0,8.5,122.11,34.19,156.31,237.6,622.1,859.7,75.81,10.61,86.42
High application,2030,50.0,9.0,148.92,40.21,189.13,283.7,741.4,1025.1,88.89,12.44,101.33
High demand,2024,6.0,2.5,18.13,5.98,24.12,39.1,104.9,144.0,13.87,1.94,15.81
High demand,2025,11.0,5.0,33.24,10.64,43.88,70.2,187.8,258.0,24.57,3.44,28.01
High demand,2026,18.0,7.0,54.4,16.86,71.26,112.6,299.3,411.9,38.84,5.44,44.28
High demand,2027,28.0,10.0,84.62,25.39,110.01,171.6,453.2,624.8,57.75,8.09,65.84
High demand,2028,40.0,12.0,120.89,35.06,155.95,240.2,631.6,871.7,78.75,11.03,89.78
High demand,2029,53.0,13.0,160.18,44.85,205.03,311.6,816.0,1127.6,99.44,13.92,113.36
High demand,2030,66.0,13.0,199.47,53.86,253.32,380.0,993.0,1373.0,119.06,16.67,135.73
