province,region,hub,alloc,gridC,gridW,pue,wue,renew,stress,unit_carbon,unit_water
Beijing,North,Beijing-Tianjin-Hebei,5.6075,0.6,3.0,1.28,1.2,35,95,0.684,4.452
Tianjin,North,Beijing-Tianjin-Hebei,1.8692,0.68,3.1,1.3,1.3,38,95,0.7752,4.664
Hebei,North,Beijing-Tianjin-Hebei,6.5421,0.72,3.0,1.25,1.3,55,92,0.8208,4.558
Shanxi,North,,1.8692,0.74,2.8,1.24,1.0,50,88,0.8436,4.028
Inner Mongolia,North,Inner Mongolia,8.4112,0.76,2.5,1.2,0.8,100,80,0.8664,3.498
Shandong,East,,3.7383,0.68,3.2,1.32,1.4,45,88,0.7752,4.876
Liaoning,Northeast,,1.8692,0.66,3.0,1.26,1.2,48,70,0.7524,4.452
Jilin,Northeast,,0.9346,0.56,3.0,1.24,1.1,50,55,0.6384,4.346
Heilongjiang,Northeast,,0.9346,0.66,3.0,1.22,1.0,48,45,0.7524,4.24
Shanghai,East,Yangtze River Delta,4.6729,0.56,3.5,1.35,1.8,25,60,0.6384,5.618
Jiangsu,East,Yangtze River Delta,6.5421,0.64,3.5,1.35,1.9,30,55,0.7296,5.724
Zhejiang,East,Yangtze River Delta,5.6075,0.51,3.8,1.34,1.9,28,45,0.5814,6.042
Anhui,East,Yangtze River Delta,2.8037,0.69,3.3,1.36,1.7,35,50,0.7866,5.3
Fujian,East,,1.4019,0.42,4.0,1.4,2.0,35,30,0.4788,6.36
Jiangxi,Central,,1.4019,0.62,4.2,1.4,1.9,30,30,0.7068,6.466
Henan,Central,,2.8037,0.61,3.4,1.34,1.7,35,85,0.6954,5.406
Hubei,Central,,2.8037,0.33,5.5,1.38,2.0,35,30,0.3762,7.95
Hunan,Central,,1.8692,0.42,4.8,1.4,2.0,32,28,0.4788,7.208
Guangdong,South,Guangdong-HK-Macau,8.4112,0.4,3.5,1.42,2.2,30,35,0.456,6.042
Guangxi,South,,0.9346,0.4,5.0,1.42,1.9,35,28,0.456,7.314
Hainan,South,,0.4673,0.45,4.0,1.48,2.1,40,30,0.513,6.466
Chongqing,Southwest,Chengdu-Chongqing,2.8037,0.5,4.5,1.42,1.9,30,30,0.57,6.784
Sichuan,Southwest,Chengdu-Chongqing,4.6729,0.1,8.0,1.3,1.8,65,25,0.114,10.388
Guizhou,Southwest,Guizhou,5.6075,0.5,4.5,1.25,1.6,45,30,0.57,6.466
Yunnan,Southwest,,1.4019,0.11,7.0,1.25,1.6,60,25,0.1254,9.116
Shaanxi,Northwest,,1.8692,0.66,3.0,1.26,1.0,50,78,0.7524,4.24
Gansu,Northwest,Gansu,3.7383,0.49,3.0,1.22,0.9,85,85,0.5586,4.134
Qinghai,Northwest,,1.4019,0.16,6.0,1.18,0.8,80,50,0.1824,7.208
Ningxia,Northwest,Ningxia,4.6729,0.65,3.0,1.2,1.0,70,90,0.741,4.24
Xinjiang,Northwest,,2.3364,0.65,2.8,1.22,0.9,95,82,0.741,3.922
Tibet,Southwest,,0.0,0.1,5.0,1.2,0.7,90,20,0.114,6.042
