pid,fid,gender_male,birth_year,father_edu,provcode,family_internet_2018,year,age,urban,education,marital,health,family_internet,internet_use,income,ln_income
1,1,1,1992,6.0,5,1,2018,26,0,9.62839870802359,0,5.0,1,1,42462.0,10.656375559154316
1,1,1,1992,6.0,5,1,2020,28,0,6.589159712257057,1,4.0,1,0,44898.0,10.712157887732415
2,1,1,1975,12.0,10,1,2018,43,1,11.567258128541305,1,5.0,1,1,99849.0,11.511417246361365
2,1,1,1975,12.0,10,1,2020,45,1,15.528773100730408,1,4.0,1,1,105309.0,11.564654481295383
3,1,0,1972,6.0,26,1,2018,46,1,12.290672971905652,1,5.0,1,1,76574.0,11.246014838811103
3,1,0,1972,6.0,26,1,2020,48,0,10.343345220481218,1,5.0,1,1,36772.0,10.51250390937858
4,2,0,1983,6.0,20,1,2018,35,1,8.489629918233165,1,4.0,1,1,113156.0,11.636523120951253
4,2,0,1983,6.0,20,1,2020,37,1,11.45303622827862,1,5.0,1,1,114181.0,11.645543852229594
5,2,1,1993,12.0,6,1,2018,25,1,14.022905174166892,1,5.0,1,1,103343.0,11.545812956468922
5,2,1,1993,12.0,6,1,2020,27,0,12.691591796294437,1,5.0,1,1,66992.0,11.112326039508435
6,3,0,1988,9.0,10,0,2018,30,1,10.582162382234445,1,3.0,0,1,67774.0,11.123932874785615
6,3,0,1988,9.0,10,0,2020,32,1,14.38017381018376,0,5.0,0,1,98316.0,11.495946019305318
7,4,1,1981,6.0,11,1,2018,37,1,11.338808408197412,1,4.0,1,1,98233.0,11.495101539483029
7,4,1,1981,6.0,11,1,2020,39,0,8.456098360166692,1,3.0,1,1,20174.0,9.912165589721852
8,4,1,1968,6.0,5,1,2018,50,1,5.56430148176942,1,5.0,1,1,69014.0,11.142066775525286
8,4,1,1968,6.0,5,1,2020,52,1,7.885174655503346,1,2.0,1,1,30594.0,10.328572480671896
9,4,0,1973,6.0,1,1,2018,45,0,7.1874114680757595,1,5.0,1,1,52416.0,10.866973631685331
9,4,0,1973,6.0,1,1,2020,47,0,9.445822775054156,1,5.0,1,1,31993.0,10.373266995621114
10,5,0,1975,9.0,10,1,2018,43,1,12.036574925930214,1,5.0,1,1,49710.0,10.813953555846417
10,5,0,1975,9.0,10,1,2020,45,0,13.989709539918831,1,4.0,1,1,33631.0,10.423195505696977
11,6,1,1966,12.0,17,1,2018,52,0,13.826128073268752,1,4.0,1,1,105278.0,11.564356133250104
