i,r,T_y,delta_Q,delta_M,eta,a0,entry_prob,d_entry_prob,d_u_rate_y_pp,queue_loss_pct_Y,d_V_entrant,gain_s_N,gain_s_v,gain_tau_q
0,0.048801072891600364,7.520734280391746,0.027689249429260467,0.1340427383207172,0.4475699097646948,23.69491730118228,0.19606656516765794,-0.05036787092611561,0.03368460586652966,1.9245951574821907,0.037138501887252096,-0.007086367372388658,0.01541297485290194,0.057882318756696804
1,0.05334518870785422,5.618368182813469,0.011407150926552968,0.17467965106569858,0.49688158928858156,24.191691830045542,0.14740396655655777,-0.07345493995211683,-0.06454102627878044,1.5733117127015197,0.03543446193889577,-0.00566487364686008,0.011338631465940274,0.047414927387112726
2,0.031565475066584046,8.376880826050995,0.011543193466295898,0.20931325761964395,0.444059681960704,24.32847586411809,0.1440445771421129,-0.07406568704200356,0.04461199076819522,2.0377461159843078,0.05195212957027051,-0.007419381338880093,0.014079372726460981,0.06249688764072836
3,0.05451781171690165,6.589939958322696,0.010683890792975315,0.15904487822469646,0.5552654809226776,22.157800520492273,0.14645700307696333,-0.06964442793746939,-0.06917740144715412,1.5527696087695126,0.031116825979112805,-0.005761400266457439,0.011257435783051939,0.04505353604786766
4,0.04314401012169689,8.497108688062792,0.031780784677033165,0.2096974003249834,0.5848848621622625,21.882005650686537,0.213348790033669,-0.042920583119712585,0.06936673739677268,2.104427586274163,0.03692320018292827,-0.008922771756092462,0.014190837930905253,0.0600711088128536
5,0.0365232353806511,7.7884585505036945,0.019568909271884323,0.17016229129318816,0.4368078441611631,24.362207532445577,0.16873515400017425,-0.06147530223271125,0.04905529557449051,2.0298553956912277,0.04739406286145065,-0.00751627719788317,0.014666361203685696,0.06240572361304597
6,0.04258448781204018,6.141605776701409,0.019931045067313503,0.1847055912688757,0.4511196656708668,22.88920126220287,0.17619171439724438,-0.05718037316307667,0.019946758577218948,1.8263544148294697,0.03937048522768061,-0.006870974735817548,0.013005894296092002,0.057185892863831356
7,0.05468773714462071,5.4826948177046235,0.03473435611228264,0.23845899565054046,0.4538716776704771,23.641033091077375,0.22397139986423853,-0.04396728524095972,0.0628929559468,1.8055349738859399,0.03370863834432436,-0.006757909329113687,0.013568850857770265,0.05704725719146708
8,0.030452240377583806,8.129743959218787,0.03320151901973424,0.14270836496779402,0.5635401726444016,22.556078612020222,0.21636058979593076,-0.04301392100567969,0.07496701946549389,2.3618222260842616,0.04878504324491795,-0.010791731214943034,0.014913349494349859,0.0691266379735378
9,0.03307475555356405,8.816303088547011,0.015212701702273686,0.1680248143384028,0.586935966115996,21.211993446089156,0.15978804945811603,-0.06024319428222191,0.020665591969223907,2.0695063564062988,0.043384768856085776,-0.008866944702734525,0.01291812423014349,0.05951946784741313
10,0.04420077273591813,6.981191805139415,0.03214151094830362,0.16925179103102667,0.592683149256193,23.64632681037294,0.21156857714843808,-0.04606131525945567,0.04870185231113655,2.078137763567842,0.039679342135490625,-0.009218298568580696,0.013576913193613649,0.06019371682217667
11,0.04715117858161588,5.649006597482817,0.018287392758336622,0.22906502365507253,0.4919914919763094,22.070358501907176,0.17347257312052614,-0.05744935264971829,0.007081483495416374,1.7032224139528664,0.03494215916303545,-0.006506716036769333,0.011700376937850976,0.05282041671637039
12,0.03140469517059449,6.6834442338603575,0.01548733695184897,0.13209347873527413,0.4645001756466387,23.93872223078054,0.15891191710224578,-0.06605735617028341,0.006301557135751645,2.0587558545853684,0.0510912180671208,-0.008526308575995678,0.01340579222632865,0.06322031030787656
13,0.04188340302033296,6.185686357943635,0.021998394948696827,0.18113835198677658,0.4755682018096056,21.350638644395044,0.18678372705176663,-0.05133168172071689,0.027345151555868696,1.8510065783361962,0.036956939600478966,-0.007312370400880397,0.01290634520272338,0.05747957782828994
14,0.034775684184647424,5.401055005238041,0.027307597623189163,0.18752910328106498,0.4376956401156141,22.43212009985991,0.20369558905343052,-0.04799999030879776,0.05542879123357214,2.0073634993950256,0.044458380087634364,-0.008281598026393944,0.013378069366787315,0.06502737164018058
15,0.039823205649708884,5.293444806660285,0.026101951696695477,0.19001207982646506,0.40859967321204105,21.393580664302377,0.20298759728855503,-0.04711652052107573,0.04264673362421867,1.8563319053724134,0.03865074951656022,-0.006984357283268405,0.013127861680373165,0.06113279531514415
16,0.05081050276911099,6.572749686037546,0.011287582578768348,0.20464077085516424,0.4745522080391062,23.965882150397608,0.14603318175169935,-0.07317827900245266,-0.03728806006793317,1.622117154178756,0.03618838012744985,-0.005458185885831579,0.012104113731159494,0.049053410015553744
17,0.04174751515880197,6.93130632477039,0.03452923944189686,0.2326857952801063,0.40633886688039383,23.27681432823945,0.22078872770253613,-0.043307387634023975,0.10063940833756613,2.008074773762222,0.04063101208100983,-0.007198961614174326,0.01524004053141681,0.06463759548918091
18,0.042841426492407145,8.840659113529702,0.027755951096706956,0.227410394214162,0.4624935126368157,23.581275455978492,0.19400119153460324,-0.05027893123723193,0.09708713705181837,2.0510654434105255,0.04055614828844356,-0.007445135708317174,0.015370896890565255,0.06109953535389234
19,0.037755534275703356,6.484357031231069,0.01263415218702536,0.16295245656424062,0.4238737677865445,21.053936656979133,0.15466168960789867,-0.06363060794032172,-0.012413631966906591,1.7691274202243157,0.03936403264232524,-0.006242670850920007,0.012603249223341884,0.05601326845228183
20,0.042699732071463235,8.750036538026912,0.021598641541761533,0.1805318141366015,0.4965849231270195,23.70430756561973,0.17485895476841162,-0.05741987417820471,0.051441813157920846,1.9989291620718026,0.04102340066640875,-0.007537566626436565,0.014710270040163564,0.05835120385604409
21,0.031179982783384068,8.35785352916766,0.020557269810708517,0.14805982000219323,0.5053010438602827,22.359840944559497,0.17548339971705584,-0.05544141155709792,0.05007146505187077,2.169420159215449,0.04767939656722864,-0.00910305208130513,0.014424720563077642,0.0646735660184028
22,0.038139459542382556,7.295148059543532,0.012116655254764339,0.13034115404536453,0.5746212123136181,24.034139598023025,0.14752407236669476,-0.07198986819224162,-0.03331277952913769,1.9359169564494658,0.04512953147807153,-0.008256371981585353,0.01232432867095401,0.0559957391268906
23,0.049185588018905546,8.711667841556862,0.016878601657958618,0.20789104322719199,0.5591767394153206,21.913879845217874,0.16405086314845224,-0.059389019190584924,0.011165987185368653,1.7973039173854106,0.03329425449906487,-0.0067345693181009025,0.012987683799492444,0.05099646414210568
24,0.05124043106698967,7.154167788935595,0.02593543361368361,0.2292782704058958,0.48812966452707496,21.87132225673396,0.19672537176028268,-0.04818617129057301,0.04992752346285878,1.8048648636196754,0.032130942017025266,-0.006633119282362099,0.013580164914084314,0.0544307378687936
25,0.031066013840340894,8.96876281629213,0.017662875657286622,0.1664641556206349,0.4320025884007214,21.799754717472,0.16643437656064436,-0.05808526493922672,0.062184230350376124,2.097569682176251,0.04667653644967018,-0.007737220214387719,0.014989683558419564,0.06450230230530263
26,0.053810605242371586,7.669794655548424,0.02583729705763531,0.14510536616757747,0.4762415801822901,23.604013958599726,0.19021919450833163,-0.052093794037946006,0.02566119767279662,1.8435741344302665,0.034024467926432544,-0.006705460397971041,0.01499091489340909,0.054304412883787734
27,0.03517764380224197,8.229581994746564,0.022628050175644163,0.15537235947701486,0.5838692601041203,21.27931730010442,0.18517599539312732,-0.05061580202293703,0.03881972046514137,2.1172048423042686,0.041702760898587155,-0.009298580158989544,0.013471300912160089,0.06127698212514687
28,0.05409985891617353,8.795019254982176,0.034082071862081384,0.21662970778415586,0.40245316511409973,22.59310823623452,0.21762443064647352,-0.04246027022142218,0.10725313082009247,1.9106884424230337,0.03184566593261384,-0.005796492033349754,0.016343657295458947,0.05832284391660281
29,0.03866183768115045,8.018325503507869,0.03493102877050581,0.2221959891026951,0.5230711968232205,22.17007704211574,0.22381385416001628,-0.040883136280595145,0.09441054158286499,2.1740299881837672,0.040618170736829606,-0.009125307226753865,0.014981940633296276,0.06455225506785123
30,0.04696074307146107,7.258009128289647,0.029158881316635278,0.2055381571636261,0.41532008281099186,22.27509241290931,0.2059941919558085,-0.04589870155839393,0.07168543102727964,1.880457648389266,0.035321346284507005,-0.006402291301754737,0.01482819171696459,0.05921222258225001
31,0.035068512609355854,7.934334444093583,0.029437269863029872,0.20419725557860358,0.5514531187328193,23.129292079854963,0.2025743767670667,-0.04747714382771573,0.07930135232822044,2.2103508597530426,0.045588732783595765,-0.009605367493803474,0.0143486865380682,0.06501209870313218
32,0.030818812447895406,8.34323140783189,0.013325803798379166,0.17819093954517196,0.42666644017620237,23.524402566272595,0.15059900630617593,-0.06876769279426154,0.0441888166632709,2.0534873055686647,0.0507889547235707,-0.007451654940415775,0.014406507622055642,0.06365863786721437
33,0.05295216370002941,8.631241226749049,0.012831980493081192,0.14587779428026557,0.4434042483543833,23.567526135624654,0.1486723292746188,-0.06978661804355257,-0.02474050151264895,1.700417192974215,0.03447623154778201,-0.00509711876679475,0.01458784473162833,0.049735963135510985
34,0.040689348270261015,5.826571227417532,0.026596670840783196,0.1402534881837754,0.5410038010455678,22.99335406157033,0.19852870206007292,-0.04984939924357257,0.024543724720055282,2.0019791890791,0.04097255979561876,-0.008923590273979265,0.012865519658955549,0.0601353955392403
35,0.043307374412008125,7.1806547865283985,0.02784245324113297,0.17555159834202394,0.445819740847192,24.298799707360264,0.19535851685158415,-0.05156660019147574,0.060692784951749124,1.9898297789589305,0.041807558964108704,-0.007493611992581695,0.014868802786605073,0.061149602318666396
36,0.04848012790961524,7.588188085749692,0.033564966058932756,0.15809152269566754,0.5388170962185438,22.218680043998635,0.22009361220256324,-0.04202198220304221,0.05384092249226813,2.0044046083148217,0.034366592692531395,-0.008307401204976639,0.014727837455397186,0.05843404178169642
37,0.0464035098553196,5.980241536039402,0.03232584929077615,0.2241491526439713,0.5372119102571224,21.836503341906084,0.22140281882802818,-0.042341399318323925,0.057762220660731445,1.9360186578722232,0.03492177087161852,-0.008237658329035558,0.013041957132275961,0.058725249930913215
38,0.040352746078908854,8.538123938214554,0.029276265355187618,0.1409152319307427,0.522106141672056,21.598605662001894,0.20589490537379013,-0.04456704524799493,0.055756717895685814,2.103744815501366,0.038525221466342074,-0.008711022416607594,0.015169926276548118,0.06140286501195025
39,0.03894510831891816,6.100481812515747,0.03341762115970348,0.15995213657766189,0.4078247033058743,24.063363237604133,0.21633149116032332,-0.04586368775230498,0.06484529271079953,2.0499908426487816,0.04472637364990728,-0.007968452622075795,0.014923611586348251,0.06589012612405742
40,0.05166560067128644,6.122031832985392,0.010959917351826108,0.19141165191645623,0.4680852320364702,22.770390525228084,0.14717950772169627,-0.0706045042497665,-0.05001686687918505,1.5564040022091366,0.03364326899543579,-0.005175612529839668,0.011636184635288593,0.04754869226077929
41,0.05316406344806425,6.636149040104359,0.02624992727790118,0.19313321888857882,0.5694642599237443,24.44166462836934,0.191172392442689,-0.053508086814514244,0.02470926896362413,1.8579722920674124,0.03577733069867062,-0.007650463601949209,0.012920616639378046,0.053957931949932814
42,0.0343898757275965,6.535074980846814,0.010431211621681463,0.19199201943581945,0.40168191488022215,23.30224484184469,0.1442696314924088,-0.07299988085328446,-0.003380926134252671,1.8293173403357232,0.04662220341923229,-0.006223606773492207,0.012860867289732347,0.059038180025283715
43,0.03376717295406308,7.441633867754378,0.02018139869905566,0.19718092327038264,0.5302176002211091,23.38161765321226,0.17346070607102138,-0.05815212583826623,0.04961087076995052,2.0957685828440282,0.04727128115500068,-0.008908031818011253,0.013453211915392949,0.06269326934289499
44,0.05358222986737993,7.488093783288246,0.03270715159239707,0.16407760680708972,0.5902919177216012,24.004110991073393,0.2108334608048879,-0.0463772592463354,0.04015599631159994,1.9705743398851743,0.03474653048644183,-0.008296783073358238,0.014096202426738813,0.05588548406789684
45,0.04095038643390661,5.834394280156143,0.024885589556671854,0.17749381337309067,0.570470585581871,21.487714121484892,0.19717142484736888,-0.04848245272569929,0.02886081106854843,1.946430536146259,0.037794821961770975,-0.008686029876836532,0.012048217404747597,0.05841504615144988
46,0.042981715351532244,5.2569130273008104,0.02511194073538149,0.17385091123536658,0.5498165949872786,23.135892132095837,0.19454909063685272,-0.05172213317295704,0.022665363119586668,1.9169869211182247,0.03964585891660377,-0.008496582832617783,0.011969925808208437,0.058099577754511245
47,0.03757641888553757,7.941991543253229,0.018104009161933318,0.19122023732548926,0.49941062439198064,24.22755369548181,0.16436105463611655,-0.06317431040576371,0.04156792858904801,2.0203673377861175,0.04602980580181382,-0.007956568855693735,0.01390742843470072,0.06014278172745691
48,0.050251629782920984,7.026904213831168,0.014255276327864014,0.23185412889163143,0.4605920051689423,21.498474001876943,0.1586598995742491,-0.062076254834005695,-0.0021940259345515356,1.6222549520478866,0.03204925291253158,-0.005254862973236296,0.01235751620811687,0.04963301105895823
49,0.03171175929605116,6.613430981369435,0.015855253538349795,0.17648527849558215,0.45846331595589085,24.142179643845665,0.15978946098453195,-0.0660139484429163,0.028886141269318655,2.031195919744385,0.05111427345939523,-0.008197532750309211,0.013330166409764033,0.06341266012093172
50,0.030158457829584227,8.622997987688667,0.024233204225315254,0.22605577449707262,0.5802724328278491,21.583293018318724,0.18900328726141385,-0.04953620862832475,0.07592428042594024,2.2548656750713785,0.046753580812746165,-0.00998007437108539,0.01378797139324206,0.06571748331980487
51,0.04082659370453313,5.446888446842312,0.02672521280805873,0.22109346326630322,0.5615712497756502,21.961734493797827,0.2030501476699403,-0.04761074374932406,0.04278383743081815,1.952900103394516,0.03874367141463675,-0.008713411582650377,0.011947913378751451,0.05948233106023437
52,0.048624086319260344,8.05922477277684,0.028999202108051784,0.2263554076338286,0.45824183281084985,22.656071518684296,0.20247205712783964,-0.04690069939389452,0.0801074858783779,1.9206085992422541,0.034908198955071246,-0.006806320459584736,0.014891694150453993,0.0579217569067092
53,0.051459869995928595,7.906291654574938,0.01345560456339208,0.23786923098496116,0.5466518565406944,22.60550614606771,0.1530212227677232,-0.06611956377937023,-0.011031624421500852,1.6873399962298288,0.033159430487920805,-0.00608933872537909,0.012138663206573419,0.04857110549081334
54,0.03900046056089917,6.6591872325997965,0.012524078641041084,0.1354735272578982,0.44017410825229036,22.856980041543785,0.15137476617555498,-0.06811361364827839,-0.02855764232080893,1.8197399682672137,0.04203878650183812,-0.006680288648652777,0.013007887617111358,0.05604536994847642
55,0.053896019808587596,7.832374982096033,0.01982085813878046,0.15940975794801157,0.5884464530722919,22.835799087321593,0.17290415462325182,-0.05738140127934921,-0.006862590818104697,1.7796731735554385,0.032452950648069745,-0.0070502741146616366,0.012944379247592508,0.05017714643797966
56,0.0374301053995382,8.188492287196313,0.028545279240912436,0.17970887082907921,0.5684228311233052,23.926753374588415,0.19661672354882717,-0.050149207145244734,0.06646000261255891,2.193885135334768,0.04548881674380234,-0.009506872484987827,0.014358519854051899,0.06335601346834085
57,0.03265158342960867,8.175702342230535,0.02864561107133043,0.1685987412526575,0.4943384789433478,22.45286020345869,0.2017468604701943,-0.04682541675200469,0.08071468771823909,2.22117927103596,0.04642241586854423,-0.009335296538348636,0.015116477968502018,0.0668398725368835
58,0.0410971620553303,6.239261063298252,0.033052985935452264,0.23491264020501398,0.5450088170905363,23.821367046517082,0.21571317968397988,-0.04565056508165288,0.07262440166055095,2.078882790772802,0.04215811349452525,-0.009094317587743372,0.013495391124984657,0.062706014086511
59,0.05199809107774413,5.768511622093834,0.029720079711862947,0.15652546472941337,0.48617121802476604,22.859621722988766,0.20948129324172193,-0.046587957292614446,0.02726149212725626,1.8265842572250555,0.03381959349227981,-0.007300669946452842,0.013508172486020875,0.05573249978541028
60,0.0524647773711569,6.74956642279063,0.031371613056138614,0.20234414548288768,0.42096847477751326,21.113539932846088,0.218742472235206,-0.04175185802891568,0.06197845031395699,1.791278494541049,0.030492888904999793,-0.0060613505651563315,0.014474817846199528,0.05654710533125051
61,0.05444764268903164,7.413774280758167,0.03300447461691456,0.21925417417671716,0.5664806304278494,21.14381159538909,0.22267729483535245,-0.040479731960284315,0.055536117922708184,1.886965338665392,0.02938988207213855,-0.0076454138248527315,0.013636640283709589,0.05459023782907746
62,0.046490512547801496,8.782386371060642,0.017265709880508684,0.19861418100215933,0.5019615452355991,21.317267326396458,0.16638295906091483,-0.0575087261797409,0.025985257410529594,1.8153720937335034,0.03385789426022923,-0.006456409676003361,0.013695988163830997,0.052932914285119814
63,0.04588743113711584,6.225094866658351,0.013221974648280387,0.15418310397488158,0.4833380864142687,23.50219137448304,0.15324518179272928,-0.06851667347033497,-0.03683355322387227,1.720958702478706,0.03843758911338302,-0.006447394088693326,0.012279791201530443,0.052056990605198195
64,0.047459854385204725,5.1946944832826345,0.012986709715027535,0.16148079825042744,0.48897489496468266,21.758145985561214,0.15673299142279706,-0.06457585675249822,-0.04675100957098888,1.6152321901323874,0.03448152827739914,-0.006152962026706454,0.011009408616446947,0.049567710551112754
65,0.05099221136785241,8.121597647267086,0.021400341840772524,0.21950552434403947,0.5910385451015833,22.30834892219227,0.17872815982639187,-0.05424857640236935,0.021845237281636898,1.8348770212470535,0.03293867099763159,-0.007278234120100535,0.012706019933106383,0.05193242123713304
66,0.04481292263481597,7.197841738432823,0.018399204486948026,0.17881781747589814,0.5582986275804246,23.836449725588214,0.167301982094659,-0.061613976946611415,0.006683316689268248,1.8834902859703866,0.0396308241222354,-0.007701750451571954,0.012731095340545728,0.05487060165185742
67,0.04469763406644529,7.876186200751604,0.022134678191484205,0.19887560047245462,0.5732884746646559,22.078910225115095,0.18212748952669205,-0.0528318698398198,0.03146054058762726,1.9268522002134705,0.03625017123535024,-0.007916078801162296,0.0130447766865327,0.05558897222284198
68,0.0366692382432532,7.230530146659378,0.03391459702888049,0.17216624843574468,0.5570943405453205,23.35586450734298,0.2177431381580984,-0.0439721373159343,0.07187042138792621,2.2167218556266906,0.044736317231856226,-0.00991228782470932,0.01438064272867301,0.0654685438792546
69,0.033389683506427244,5.6957383208698555,0.011131625836107804,0.15107273343177685,0.519755346834164,21.68667541727642,0.14975232882061357,-0.0676188984163052,-0.02648769082793101,1.8758716249612486,0.04400093757177337,-0.008068493722113157,0.011247687376303439,0.05732903843576054
70,0.03636399588901958,8.707474130653775,0.019144659732148288,0.21561526718057367,0.48099029858208403,22.040507454919144,0.17109992518534406,-0.05658886880461844,0.06323532475246973,2.020928985204859,0.04224282070414698,-0.00765811586384002,0.014244208692315574,0.060588711161435604
71,0.049925483527814424,6.378405224004644,0.03432982011819286,0.13474399879318824,0.5831417872795557,23.187459197674674,0.2219325350063295,-0.04329792187539239,0.03211691391563354,1.989820019048724,0.035404709325511874,-0.00884633181608141,0.013658172275854419,0.0578198037485933
72,0.03683958906085826,5.677990302763662,0.01965621853945631,0.18793687447907997,0.5756689020506606,21.377107651817713,0.17963956473931011,-0.054183790277871124,0.01759828823035825,1.9414565654133233,0.04050931198902363,-0.008755535581905782,0.011354744229330471,0.058618847912961236
73,0.05207019714315042,8.938700607117978,0.014514015552814445,0.23471550993100002,0.5796302827226449,23.537540629795664,0.15340748337202384,-0.06700927660310096,-0.0021872529087557657,1.769842247631999,0.03459886805841661,-0.00649862504455978,0.012637347170452173,0.04921129039578975
74,0.04963681416330233,6.190696817870413,0.018573073355300774,0.14153746728285377,0.5474086318558933,21.986827502925973,0.17360387555974507,-0.05690025119829478,-0.019852520582597233,1.7374157033616846,0.03346507353011341,-0.007098177751574397,0.012097802063615326,0.05122789013454199
75,0.046903438643312145,5.5192831203175,0.02457204757306984,0.1944651324935182,0.4409938728859282,23.87350839601529,0.19005090510787562,-0.053957770089876234,0.02911199017975319,1.8057152262054588,0.03860004350829338,-0.006758232483028426,0.013057466578114685,0.05721574353423353
76,0.03697946116011103,5.631407211985451,0.014940540000651967,0.18315606358031006,0.4628716790262365,22.492065599414005,0.16143696679859387,-0.06320812839317791,-0.00035703534003173054,1.8345255523663173,0.04270335980244866,-0.0072665495087220755,0.012040719425021607,0.05780809326583203
77,0.04898524831455023,6.0384795306704975,0.02358733512260989,0.17600664887832548,0.5435231028686267,23.080079655725385,0.18789368381723487,-0.05323733153930743,0.013969974212924008,1.824415944859867,0.03568161215387611,-0.007572850814285825,0.012446614848915516,0.054375022481445434
