series,x,value
ste.P,light,0.22
ste.R,light,0.46
ste.S,light,0.68
ste.eta,light,0.38
ste.eta_hat,light,0.369309
ste.P,mid,1.0
ste.R,mid,1.0
ste.S,mid,1.0
ste.eta,mid,1.0
ste.eta_hat,mid,1.0
ste.P,open,2.6
ste.R,open,1.72
ste.S,open,1.34
ste.eta,open,1.96
ste.eta_hat,open,1.929365
ste.P,flag,4.8
ste.R,flag,2.35
ste.S,flag,1.66
ste.eta,flag,2.94
ste.eta_hat,flag,2.930672
ste.P,reason,8.4
ste.R,reason,3.1
ste.S,reason,1.92
ste.eta,reason,4.28
ste.eta_hat,reason,4.22582
ste.P,multi,3.7
ste.R,multi,1.88
ste.S,multi,2.15
ste.eta,multi,2.62
ste.eta_hat,multi,2.621194
pxraw.light,0,0.465767
pxste.light,0,1.225703
pxraw.light,1,0.180393
pxste.light,1,0.474719
pxraw.light,2,0.348842
pxste.light,2,0.918005
pxraw.light,3,0.543239
pxste.light,3,1.429576
pxraw.light,4,0.405893
pxste.light,4,1.06814
pxraw.light,5,0.422491
pxste.light,5,1.11182
pxraw.light,6,0.362861
pxste.light,6,0.954897
pxraw.light,7,0.463725
pxste.light,7,1.220329
pxraw.light,8,0.351882
pxste.light,8,0.926004
pxraw.light,9,0.378316
pxste.light,9,0.995569
pxraw.light,10,0.466891
pxste.light,10,1.22866
pxraw.light,11,0.48597
pxste.light,11,1.278868
pxraw.light,12,0.458031
pxste.light,12,1.205344
pxraw.light,13,0.309321
pxste.light,13,0.814002
pxraw.light,14,0.463613
pxste.light,14,1.220035
pxraw.light,15,0.388129
pxste.light,15,1.021393
pxraw.light,16,0.557287
pxste.light,16,1.466544
pxraw.light,17,0.330913
pxste.light,17,0.870822
pxraw.light,18,0.491588
pxste.light,18,1.293651
pxraw.light,19,0.45236
pxste.light,19,1.190421
pxraw.light,20,0.398768
pxste.light,20,1.04939
pxraw.light,21,0.552122
pxste.light,21,1.452954
pxraw.light,22,0.264637
pxste.light,22,0.696414
pxraw.light,23,0.35521
pxste.light,23,0.934762
pxraw.light,24,0.491351
pxste.light,24,1.293028
pxraw.light,25,0.36176
pxste.light,25,0.952
pxraw.light,26,0.408812
pxste.light,26,1.075821
pxraw.light,27,0.478655
pxste.light,27,1.259619
pxraw.light,28,0.439447
pxste.light,28,1.156439
pxraw.light,29,0.436553
pxste.light,29,1.148825
pxraw.light,30,0.315535
pxste.light,30,0.830354
pxraw.light,31,0.334214
pxste.light,31,0.879512
pxraw.light,32,0.328195
pxste.light,32,0.863672
pxraw.light,33,0.364841
pxste.light,33,0.960107
pxraw.light,34,0.467085
pxste.light,34,1.229171
pxraw.light,35,0.275448
pxste.light,35,0.724862
pxraw.light,36,0.609478
pxste.light,36,1.60389
pxraw.light,37,0.224588
pxste.light,37,0.59102
pxraw.light,38,0.447858
pxste.light,38,1.178573
pxraw.light,39,0.549266
pxste.light,39,1.445436
pxraw.mid,0,1.365478
pxste.mid,0,1.365478
pxraw.mid,1,1.149122
pxste.mid,1,1.149122
pxraw.mid,2,1.227015
pxste.mid,2,1.227015
pxraw.mid,3,1.440655
pxste.mid,3,1.440655
pxraw.mid,4,1.00631
pxste.mid,4,1.00631
pxraw.mid,5,1.102321
pxste.mid,5,1.102321
pxraw.mid,6,0.91493
pxste.mid,6,0.91493
pxraw.mid,7,1.842312
pxste.mid,7,1.842312
pxraw.mid,8,1.43225
pxste.mid,8,1.43225
pxraw.mid,9,0.53444
pxste.mid,9,0.53444
pxraw.mid,10,0.320169
pxste.mid,10,0.320169
pxraw.mid,11,1.356149
pxste.mid,11,1.356149
pxraw.mid,12,1.31236
pxste.mid,12,1.31236
pxraw.mid,13,1.288274
pxste.mid,13,1.288274
pxraw.mid,14,1.036798
pxste.mid,14,1.036798
pxraw.mid,15,0.899528
pxste.mid,15,0.899528
pxraw.mid,16,1.597421
pxste.mid,16,1.597421
pxraw.mid,17,1.011936
pxste.mid,17,1.011936
pxraw.mid,18,1.005258
pxste.mid,18,1.005258
pxraw.mid,19,1.089368
pxste.mid,19,1.089368
pxraw.mid,20,1.344558
pxste.mid,20,1.344558
pxraw.mid,21,1.226586
pxste.mid,21,1.226586
pxraw.mid,22,1.471913
pxste.mid,22,1.471913
pxraw.mid,23,1.340149
pxste.mid,23,1.340149
pxraw.mid,24,1.061901
pxste.mid,24,1.061901
pxraw.mid,25,1.094564
pxste.mid,25,1.094564
pxraw.mid,26,1.490326
pxste.mid,26,1.490326
pxraw.mid,27,1.147483
pxste.mid,27,1.147483
pxraw.mid,28,1.039783
pxste.mid,28,1.039783
pxraw.mid,29,1.295402
pxste.mid,29,1.295402
pxraw.mid,30,1.169801
pxste.mid,30,1.169801
pxraw.mid,31,1.40419
pxste.mid,31,1.40419
pxraw.mid,32,1.414431
pxste.mid,32,1.414431
pxraw.mid,33,1.233061
pxste.mid,33,1.233061
pxraw.mid,34,1.648352
pxste.mid,34,1.648352
pxraw.mid,35,1.021973
pxste.mid,35,1.021973
pxraw.mid,36,1.835395
pxste.mid,36,1.835395
pxraw.mid,37,1.591881
pxste.mid,37,1.591881
pxraw.mid,38,0.55627
pxste.mid,38,0.55627
pxraw.mid,39,0.977838
pxste.mid,39,0.977838
pxraw.open,0,3.031711
pxste.open,0,1.546791
pxraw.open,1,3.035238
pxste.open,1,1.548591
pxraw.open,2,4.084561
pxste.open,2,2.08396
pxraw.open,3,2.987484
pxste.open,3,1.524227
pxraw.open,4,3.340402
pxste.open,4,1.704287
pxraw.open,5,2.701951
pxste.open,5,1.378546
pxraw.open,6,3.560804
pxste.open,6,1.816737
pxraw.open,7,3.564113
pxste.open,7,1.818425
pxraw.open,8,3.116657
pxste.open,8,1.590131
pxraw.open,9,4.609322
pxste.open,9,2.351695
pxraw.open,10,2.716503
pxste.open,10,1.385971
pxraw.open,11,2.335687
pxste.open,11,1.191677
pxraw.open,12,3.602767
pxste.open,12,1.838146
pxraw.open,13,4.202345
pxste.open,13,2.144054
pxraw.open,14,2.938408
pxste.open,14,1.499188
pxraw.open,15,3.839672
pxste.open,15,1.959017
pxraw.open,16,1.943058
pxste.open,16,0.991356
