item,firm,tier,month,t,cap,lnctx,lnlat,mm,cache,reason,hike,rho,p_out,p_in,io_ratio,q_tok,q_out,q_in,exp_yuan,p_blend,cap_z,lnlat_z,eta,p_out_adj
econ_1,S01,经济档,2023-01,0,0.39577507080346314,2.655840697965281,1.9463634834348285,0.0,0.0,0.0,0.0,0.0,20.98212081008952,5.670953880450685,0.27027553276329125,0.01856532452058939,0.0030942207534315645,0.015471103767157825,152659.22960480617,8.222815035390491,-2.0986803753575702,-0.20734174017353388,0.6514809967086802,32.2068040604291
econ_1,S01,经济档,2023-02,1,0.42400425471867226,2.9505045445034894,1.8705057571394903,0.0,0.0,0.0,0.0,0.0,18.497426464427186,5.2513979672555005,0.28389884275818483,0.02063011290929932,0.003375371394746362,0.017254741514552956,153047.19867949435,7.418631170482161,-1.9220369741232297,-0.28862699937333086,0.7921360101599274,23.351326321716734
econ_1,S01,经济档,2023-03,2,0.4505231188411838,3.2141813396296346,1.8002644550757052,0.0,0.0,0.0,0.0,0.0,16.143777842452863,4.404358469031213,0.27282080514321677,0.028284824457475773,0.004548535171021775,0.023736289286453997,177973.66805172738,6.292196308988877,-1.7560958555438877,-0.3638939856596954,0.9485583979925032,17.01927670095906
econ_1,S01,经济档,2023-04,3,0.4754352862088467,3.4501297028401163,1.735223743251482,0.0,0.0,0.0,0.0,0.0,14.331013612311942,4.146963273910766,0.28936985101654367,0.03363844499891464,0.005322752186018677,0.028315692812895966,193704.57220321542,5.75842825699777,-1.6002086010925745,-0.4335882854675738,1.1200867943517112,12.794556354542605
econ_1,S01,经济档,2023-05,4,0.49883810165702486,3.6612655749788527,1.6749985755750605,0.0,0.0,0.0,0.0,0.0,12.63380596639067,3.4292768545768886,0.2714365618484002,0.04305040949281912,0.006709741169142213,0.036340668323676904,209391.7807778867,4.863874310250489,-1.4537660779348822,-0.4981224944928977,1.3057787923959108,9.675303382136805
econ_1,S01,经济档,2023-06,5,0.5208230121956564,3.850198254558486,1.6192324143519867,0.0,0.0,0.0,0.0,0.0,11.622841911675982,3.0865190893304972,0.2655563168444945,0.0517405207000856,0.007950581501682583,0.043789939198403016,227566.8351564448,4.398232411991716,-1.3161960587291812,-0.5578786602913155,1.504456743988091,7.725607238707015
econ_1,S01,经济档,2023-07,6,0.5414759243404326,4.0192626444774335,1.567595119554128,0.0,0.0,0.0,0.0,0.0,10.46205985155277,2.68808406031505,0.25693640625809333,0.06731009622039455,0.010206301003035,0.05710379521735955,260278.73366399424,3.8668602227481492,-1.186960985635845,-0.6132105440295474,1.7147579855048336,6.101187421193251
econ_1,S01,经济档,2023-08,7,0.5608775397943744,4.170548107650142,1.5197809943649316,0.0,0.0,0.0,0.0,0.0,10.096418909662448,2.4705060451781065,0.24469131751395432,0.08296937398792842,0.012424485360806283,0.07054488862712213,299724.38274939026,3.612470100027493,-1.0655558697983105,-0.6644457147791119,1.9351861643327233,5.217285600604644
econ_1,S01,经济档,2023-09,8,0.5791036707914912,4.305924288159554,1.4755069754304047,0.0,0.0,0.0,0.0,0.0,9.218226456108036,2.39354293204006,0.25965330136298487,0.09956976847466348,0.01473626525825263,0.08483350321641085,338894.862291688,3.4035919484730264,-0.9515063180881471,-0.7118874887508017,2.1641609334148852,4.259492126383762
econ_1,S01,经济档,2023-10,9,0.5962255363347322,4.427064217039535,1.4345109571019594,0.0,0.0,0.0,0.0,0.0,8.509258838378443,2.2287446754792355,0.26191995305480137,0.12699208057353983,0.01858829867551787,0.10840378189802195,399776.9965020975,3.148046671072459,-0.8443666794035991,-0.7558167249503329,2.4000639406035256,3.5454300589336323
econ_1,S01,经济档,2023-11,10,0.6123100404857887,4.53546498823744,1.3965502397505123,0.0,0.0,0.0,0.0,0.0,7.848434906541113,1.8510373160750164,0.2358479541611931,0.15245173517576804,0.0220841681909364,0.13036756698483165,414641.3878065028,2.719820717871432,-0.7437183032782189,-0.7964934878855837,2.6412796894323645,2.9714516557797084
econ_1,S01,经济档,2023-12,11,0.627420033794169,4.632466260278322,1.3614000929657304,0.0,0.0,0.0,0.0,0.0,7.398225468474885,1.7333010891513014,0.23428605907419237,0.19667216662372147,0.028212432178069933,0.16845973444565154,500713.3754602041,2.545929015050627,-0.6491679039950717,-0.8341585871687861,2.8862304363514855,2.563283019711711
econ_1,S01,经济档,2024-01,12,0.6416145588870854,4.719266812281511,1.3288524251344578,0.0,0.0,0.0,0.0,0.0,6.998305184515516,1.6454116981949267,0.23511573942725056,0.2425533913135391,0.03447462169190013,0.20807876962163896,583639.1654020876,2.406229664493293,-0.5603460238142547,-0.8690350031282305,3.1334047864518126,2.233450722605239
econ_1,S01,经济档,2024-02,13,0.6549490811798049,4.7969393589351546,1.2987145515221208,0.0,0.0,0.0,0.0,0.0,6.36308182711899,1.4409610301019482,0.22645646704725333,0.32092840739087963,0.04521933595825812,0.2757090714326215,685020.3624503824,2.1344958771943534,-0.476905589308741,-0.9013292068692156,3.3813800429135124,1.8818002550332502
econ_1,S01,经济档,2024-03,14,0.6674757056079629,4.866443807517933,1.2708080535640556,1.0,0.0,0.0,0.0,0.0,6.653121615856108,1.577270583787963,0.2370722609412279,0.49217749146073364,0.06878219169572694,0.42339529976500667,1125425.237990231,2.286624759393367,-0.3985205551674303,-0.9312323825991127,4.088065696616514,1.6274497793326954
econ_1,S01,经济档,2024-04,15,0.6792433802287331,4.928639120803306,1.244967722613676,1.0,1.0,0.0,0.0,0.0,5.860734557750704,1.4564984745652914,0.24851807571443432,0.6856139351151129,0.09507640334792228,0.5905375317671907,1417334.5769202786,2.067248788755018,-0.32488463016600133,-0.958921559452799,3.9321550532299634,1.4904637478465048
econ_1,S01,经济档,2024-05,16,0.6902980874864232,4.984293932452645,1.221040581894388,1.0,1.0,0.0,0.0,0.0,5.531215372939241,1.1848397807815527,0.21420966295730026,1.0142150319308703,0.13962072381108623,0.874594308119784,1808526.422230223,1.7831784831537516,-0.255710080327306,-0.9845606595189562,4.178709169033298,1.3236660291960045
econ_1,S01,经济档,2024-06,17,0.7006830238898761,5.034096046086372,1.1988849808651296,1.0,1.0,0.0,0.0,0.0,5.21231237129556,1.0310589864271686,0.19781220176005893,1.3809910054525871,0.18880502742838817,1.192185978024199,2213324.8463620986,1.6027076480753282,-0.19072660459459423,-1.0083014682716334,4.42145721712685,1.1788675351432267
econ_1,S01,经济档,2024-07,18,0.7104387688037671,5.078660935426288,1.1783697566381086,1.0,1.0,0.0,0.0,0.0,5.201284137507868,1.1290018649654403,0.21706213987117184,2.008604673003112,0.2728256983206165,1.7357789746824954,3378741.676563867,1.6821337329222832,-0.12968027862426174,-1.0302845331521033,4.659557299360063,1.1162614393050183
econ_1,S01,经济档,2024-08,19,0.7196034430133524,5.118539350557126,1.1593734574842673,1.0,1.0,0.0,0.0,0.0,4.960478606471976,1.111727003406396,0.2241168829870402,2.8825974155512957,0.38913298450052175,2.493464431050774,4702337.58471994,1.6312848819440922,-0.07233256257096173,-1.0506399956206873,4.892289915410763,1.0139379906424633
econ_1,S01,经济档,2024-09,20,0.7282128576822666,5.1542241243084455,1.1417836238295642,1.0,1.0,0.0,0.0,0.0,4.585125160984183,1.040337790595649,0.226894087744454,3.9831160446364153,0.5345717737444963,3.448544270891919,6038729.417698816,1.5160817184401265,-0.018459368987973908,-1.0694883616043607,5.119052380854378,0.8956980354670483
econ_1,S01,经济档,2024-10,21,0.7363006542854226,5.186156262872751,1.1254961224855167,1.0,1.0,0.0,0.0,0.0,4.432873827895443,1.057878863528587,0.23864402746396846,5.906882718502864,0.7884015582729982,5.118481160229866,8909617.666316811,1.508345110426538,0.03214981279936403,-1.0869412149012478,5.339351780239557,0.8302269658090511
