Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
F1,Best,6.236E+02,1.342E+02,1.079E+06,9.863E+02,1.512E+08,1.877E+09,8.322E+05,2.868E+00,3.044E+03,4.850E+01,3.461E+01
,Mean,1.206E+04,1.371E+04,2.780E+09,4.746E+07,4.038E+08,8.893E+09,7.160E+06,1.393E+03,1.837E+08,1.000E+08,1.308E+03
,Std,2.599E+04,2.916E+04,3.020E+09,1.151E+08,2.459E+08,5.279E+09,5.779E+06,1.677E+03,3.504E+08,4.286E+08,1.332E+03
,Rank,3,4,10,6,9,11,5,2,8,7,1
F3,Best,4.416E+00,2.781E+01,3.500E+03,1.541E-01,5.109E+02,5.617E+02,1.719E+01,2.573E+00,2.245E-01,3.925E-01,9.035E-05
,Mean,2.376E+02,1.969E+02,1.159E+04,3.138E+01,4.836E+03,7.564E+03,6.409E+01,4.023E+02,7.557E+01,5.714E+03,3.472E+01
,Std,2.497E+02,1.482E+02,4.660E+03,1.102E+02,2.718E+03,3.156E+03,4.351E+01,4.319E+02,7.669E+01,1.029E+04,1.792E+02
,Rank,6,5,11,1,8,10,3,7,4,9,2
F4,Best,2.353E+00,1.888E+00,5.506E+00,1.055E+00,7.651E+00,1.504E+01,3.185E-01,5.829E+00,1.087E+00,1.856E-02,9.313E-01
,Mean,5.870E+00,6.342E+00,2.166E+01,2.904E+01,1.033E+01,8.748E+01,2.110E+01,6.684E+00,2.123E+01,2.188E+01,2.094E+00
,Std,1.483E+00,1.342E+00,1.741E+01,3.416E+01,6.171E+00,6.414E+01,3.055E+01,2.720E-01,2.215E+01,3.888E+01,7.693E-01
,Rank,2,3,8,10,5,11,6,4,7,9,1
F5,Best,4.982E+00,4.988E+00,2.017E+01,1.578E+01,1.178E+01,3.500E+01,8.101E+00,2.257E+00,6.965E+00,1.492E+01,3.927E+00
,Mean,1.262E+01,1.105E+01,3.115E+01,5.023E+01,2.584E+01,6.074E+01,2.547E+01,2.448E+01,2.066E+01,3.515E+01,7.603E+00
,Std,5.012E+00,3.917E+00,5.888E+00,2.380E+01,5.466E+00,1.123E+01,9.910E+00,1.165E+01,1.004E+01,1.640E+01,2.107E+00
,Rank,3,2,8,10,7,11,6,5,4,9,1
F6,Best,2.676E-02,1.605E-02,5.074E-01,4.247E+00,3.354E+00,1.188E+01,1.903E+00,2.662E-04,8.684E-01,2.481E+00,8.179E-02
,Mean,5.747E-01,3.806E-01,3.866E+00,2.982E+01,7.948E+00,2.985E+01,1.330E+01,1.503E-02,9.314E+00,1.513E+01,3.808E-01
,Std,5.195E-01,3.612E-01,3.128E+00,2.123E+01,2.657E+00,1.318E+01,1.013E+01,3.294E-02,6.511E+00,1.198E+01,2.499E-01
,Rank,4,2,5,10,6,11,8,1,7,9,3
F7,Best,1.662E+01,1.459E+01,3.734E+01,3.574E+01,3.222E+01,5.640E+01,2.059E+01,1.815E+01,1.494E+01,2.420E+01,1.804E+01
,Mean,2.565E+01,2.284E+01,5.009E+01,7.492E+01,4.467E+01,9.106E+01,4.022E+01,4.102E+01,3.833E+01,4.729E+01,2.164E+01
,Std,6.228E+00,5.442E+00,9.015E+00,2.714E+01,7.822E+00,1.865E+01,1.036E+01,6.529E+00,1.333E+01,2.050E+01,2.163E+00
,Rank,3,2,9,10,7,11,5,6,4,8,1
F8,Best,5.006E+00,1.990E+00,1.689E+01,9.950E+00,1.512E+01,2.725E+01,1.014E+01,1.209E+00,8.060E+00,1.094E+01,4.495E+00
,Mean,1.323E+01,1.267E+01,2.635E+01,2.765E+01,2.388E+01,4.998E+01,2.561E+01,2.621E+01,2.313E+01,2.816E+01,9.638E+00
,Std,5.971E+00,4.038E+00,7.205E+00,6.857E+00,5.545E+00,1.193E+01,1.089E+01,1.304E+01,1.086E+01,1.178E+01,2.652E+00
,Rank,3,2,8,9,5,11,6,7,4,10,1
F9,Best,3.073E-04,6.393E-05,5.521E-01,1.244E+01,2.746E+00,4.948E+01,4.296E-01,7.611E-09,5.534E-01,9.982E-01,6.792E-05
,Mean,5.629E-02,5.545E-02,3.159E+01,3.870E+02,1.928E+01,2.943E+02,1.643E+01,1.514E-02,4.154E+01,2.204E+02,2.743E-02
,Std,1.643E-01,1.473E-01,2.786E+01,3.122E+02,1.211E+01,2.135E+02,3.672E+01,8.155E-02,6.182E+01,2.568E+02,5.351E-02
,Rank,4,3,7,11,6,10,5,1,8,9,2
F10,Best,5.744E+00,2.296E+01,4.139E+02,4.108E+02,5.466E+02,1.038E+03,2.738E+02,1.273E+03,2.440E+02,1.689E+02,6.381E+01
,Mean,5.498E+02,6.092E+02,1.203E+03,1.188E+03,8.977E+02,1.532E+03,6.931E+02,1.563E+03,9.730E+02,9.861E+02,4.269E+02
,Std,2.681E+02,2.585E+02,3.363E+02,3.410E+02,1.703E+02,1.695E+02,2.821E+02,1.468E+02,3.582E+02,3.728E+02,1.512E+02
,Rank,2,3,9,8,5,10,4,11,6,7,1
F11,Best,2.737E+00,2.013E+00,2.959E+01,6.727E+00,2.056E+01,9.804E+01,4.655E+00,1.669E+00,6.780E+00,1.072E+01,2.262E+00
,Mean,8.661E+00,6.868E+00,3.305E+02,4.753E+01,4.548E+01,3.808E+02,2.265E+01,3.658E+00,5.549E+01,1.124E+02,4.462E+00
,Std,5.514E+00,3.932E+00,9.214E+02,6.433E+01,1.697E+01,1.526E+02,2.988E+01,1.269E+00,4.096E+01,9.587E+01,1.183E+00
,Rank,4,3,10,7,6,11,5,1,8,9,2
F12,Best,1.612E+04,1.048E+04,1.500E+04,3.217E+03,7.238E+05,1.075E+07,1.108E+04,8.215E+02,1.109E+03,1.728E+03,3.330E+02
,Mean,1.152E+06,1.677E+06,4.182E+06,7.712E+05,4.311E+06,1.029E+08,1.560E+06,4.777E+04,1.632E+06,8.253E+05,2.639E+03
,Std,9.893E+05,2.204E+06,7.800E+06,2.249E+06,3.148E+06,1.189E+08,2.499E+06,9.548E+04,3.836E+06,2.385E+06,3.370E+03
,Rank,5,8,9,3,10,11,6,2,7,4,1
F13,Best,7.876E+02,2.410E+02,1.972E+03,7.125E+01,1.639E+03,5.413E+04,2.914E+02,7.153E+02,2.741E+02,5.242E+02,7.062E+00
,Mean,7.168E+03,6.872E+03,7.081E+03,7.411E+03,1.693E+04,1.203E+06,1.154E+04,5.913E+03,8.254E+03,1.153E+04,2.198E+01
,Std,6.490E+03,7.503E+03,2.181E+03,1.094E+04,1.228E+04,1.319E+06,1.104E+04,4.272E+03,9.449E+03,9.699E+03,1.227E+01
,Rank,5,3,4,6,10,11,9,2,7,8,1
F14,Best,6.122E+01,9.683E+01,1.700E+02,6.720E+01,2.278E+02,3.888E+02,3.582E+01,4.287E+01,1.132E+02,1.179E+02,6.399E+00
,Mean,1.739E+02,2.196E+02,3.001E+03,1.546E+02,7.515E+02,6.721E+03,2.265E+03,7.617E+01,2.917E+02,2.173E+03,2.261E+01
,Std,4.992E+01,8.750E+01,1.292E+03,7.243E+01,5.764E+02,8.400E+03,3.274E+03,2.374E+01,1.099E+02,6.450E+03,6.481E+00
,Rank,4,5,10,3,7,11,9,2,6,8,1
F15,Best,1.104E+02,2.725E+02,1.634E+03,3.790E+01,6.197E+02,1.609E+03,2.193E+01,4.080E+01,2.270E+02,4.131E+01,1.208E+00
,Mean,2.399E+03,1.771E+03,1.304E+04,3.470E+02,3.830E+03,3.036E+04,6.258E+03,1.912E+02,2.824E+03,9.479E+03,3.364E+00
,Std,2.296E+03,1.338E+03,8.091E+03,4.017E+02,3.193E+03,4.272E+04,7.367E+03,1.560E+02,3.944E+03,1.226E+04,1.494E+00
,Rank,5,4,10,3,7,11,8,2,6,9,1
F16,Best,1.943E+00,1.221E+00,3.271E+01,3.096E+00,2.094E+01,1.444E+02,1.516E+00,5.490E-01,1.546E+00,1.197E+01,1.421E+00
,Mean,4.841E+01,4.133E+01,1.580E+02,2.662E+02,7.203E+01,3.710E+02,2.136E+02,1.216E+01,1.519E+02,1.772E+02,6.812E+00
,Std,5.965E+01,5.258E+01,1.062E+02,1.269E+02,3.981E+01,1.234E+02,1.141E+02,1.735E+01,1.344E+02,1.359E+02,6.073E+00
,Rank,4,3,7,10,5,11,9,2,6,8,1
F17,Best,7.061E+00,1.586E+01,3.346E+01,3.735E+01,3.937E+01,6.518E+01,4.022E+00,1.176E+00,3.032E+01,4.658E+00,5.250E+00
,Mean,3.391E+01,3.728E+01,8.506E+01,7.453E+01,5.618E+01,1.126E+02,6.922E+01,3.912E+01,7.101E+01,6.966E+01,2.017E+01
,Std,1.377E+01,1.261E+01,3.220E+01,3.913E+01,8.878E+00,3.413E+01,5.555E+01,1.807E+01,3.555E+01,4.593E+01,7.113E+00
,Rank,2,3,10,9,5,11,6,4,8,7,1
F18,Best,8.964E+02,2.380E+02,2.024E+04,1.525E+02,3.768E+03,4.289E+04,1.187E+02,1.249E+02,1.678E+03,1.856E+03,6.636E+00
,Mean,1.186E+04,1.214E+04,3.457E+04,9.122E+03,3.069E+04,2.859E+05,1.510E+04,4.518E+03,1.717E+04,1.680E+04,2.357E+01
,Std,1.027E+04,1.117E+04,7.024E+03,1.155E+04,1.148E+04,2.525E+05,1.040E+04,3.517E+03,1.329E+04,1.399E+04,8.705E+00
,Rank,4,5,10,3,9,11,6,2,8,7,1
F19,Best,3.847E+01,1.018E+02,1.093E+03,1.196E+01,2.969E+02,1.076E+04,4.953E+01,2.726E+01,4.216E+01,2.666E+01,9.414E-01
,Mean,1.766E+03,2.716E+03,2.296E+05,2.260E+03,7.846E+03,1.967E+05,9.516E+03,5.088E+02,7.622E+03,9.728E+03,3.217E+00
