n_elements,dim,algo,run,score
8,16,MSSBOA,2,0.91525551
8,16,MSSBOA,3,0.91400789
8,16,MSSBOA,0,0.93361400
8,16,MSSBOA,1,0.93387005
8,16,MSSBOA,6,0.92696460
8,16,MSSBOA,7,0.92659128
8,16,MSSBOA,4,0.92008516
8,16,MSSBOA,5,0.93225868
8,16,MSSBOA,8,0.93384508
8,16,MSSBOA,9,0.92467941
8,16,MSSBOA,10,0.92355655
8,16,MSSBOA,11,0.91973251
8,16,MSSBOA,12,0.91810633
8,16,MSSBOA,13,0.92588113
8,16,MSSBOA,14,0.91510833
8,16,MSSBOA,15,0.93040779
8,16,MSSBOA,16,0.92869317
8,16,MSSBOA,17,0.90939097
8,16,MSSBOA,18,0.93309166
8,16,MSSBOA,19,0.89393667
8,16,SBOA,0,0.91669196
8,16,SBOA,1,0.91769125
8,16,SBOA,2,0.89585117
8,16,SBOA,3,0.94592184
8,16,SBOA,4,0.92817606
8,16,SBOA,5,0.93487700
8,16,SBOA,6,0.92689869
8,16,SBOA,7,0.90334541
8,16,SBOA,8,0.94499714
8,16,SBOA,9,0.89244129
8,16,SBOA,10,0.91274647
8,16,SBOA,11,0.92476758
8,16,SBOA,12,0.92079372
8,16,SBOA,13,0.93900192
8,16,SBOA,14,0.94360225
8,16,SBOA,15,0.94558626
8,16,SBOA,16,0.91730808
8,16,SBOA,17,0.92352928
8,16,SBOA,18,0.91533949
8,16,SBOA,19,0.94771269
8,16,RIME,0,0.90562592
8,16,RIME,1,0.88357869
8,16,RIME,2,0.89157720
8,16,RIME,3,0.89248545
8,16,RIME,4,0.90102548
8,16,RIME,5,0.88087701
8,16,RIME,6,0.91980029
8,16,RIME,7,0.88132415
8,16,RIME,8,0.90291774
8,16,RIME,9,0.89422402
8,16,RIME,10,0.87878367
8,16,RIME,11,0.90489279
8,16,RIME,12,0.90134021
8,16,RIME,13,0.90974719
8,16,RIME,14,0.89903446
8,16,RIME,15,0.95139689
8,16,RIME,16,0.89070840
8,16,RIME,17,0.87990221
8,16,RIME,18,0.90068716
8,16,RIME,19,0.89159995
8,16,LSHADE,0,0.91137095
8,16,LSHADE,1,0.91843561
8,16,LSHADE,2,0.92771124
8,16,LSHADE,3,0.90924762
8,16,LSHADE,4,0.92722235
8,16,LSHADE,5,0.91945428
8,16,LSHADE,6,0.91943650
8,16,LSHADE,7,0.91363679
8,16,LSHADE,8,0.91175541
8,16,LSHADE,9,0.91213438
8,16,LSHADE,10,0.91720547
8,16,LSHADE,11,0.91644715
8,16,LSHADE,12,0.90789143
8,16,LSHADE,13,0.92100365
8,16,LSHADE,14,0.92736255
8,16,LSHADE,15,0.91703693
8,16,LSHADE,16,0.91431286
8,16,LSHADE,17,0.92073759
8,16,LSHADE,18,0.92429602
8,16,LSHADE,19,0.91054749
8,16,GWO,0,0.76989576
8,16,GWO,1,0.79359186
8,16,GWO,2,0.82866839
8,16,GWO,3,0.85839184
8,16,GWO,4,0.88332333
8,16,GWO,5,0.77702992
8,16,GWO,6,0.77198989
8,16,GWO,7,0.86054953
8,16,GWO,8,0.78781530
8,16,GWO,9,0.67271926
8,16,GWO,10,0.86238558
8,16,GWO,11,0.77267707
8,16,GWO,12,0.72916273
8,16,GWO,13,0.84938749
8,16,GWO,14,0.82248975
8,16,GWO,15,0.81519204
8,16,GWO,16,0.76721741
8,16,GWO,17,0.87801008
8,16,GWO,18,0.75089460
8,16,GWO,19,0.88327186
