config,func,run,error
MSSBOA,F1,0,2.0212702952e+03
MSSBOA,F1,1,2.9629299893e+04
MSSBOA,F1,2,6.2085985331e+03
MSSBOA,F1,3,3.1576714288e+03
MSSBOA,F1,4,7.9969075405e+03
MSSBOA,F1,5,9.9816178076e+02
MSSBOA,F1,6,9.4349396320e+02
MSSBOA,F1,7,1.1659489925e+03
MSSBOA,F1,8,7.0976569528e+03
MSSBOA,F1,9,5.9956981834e+03
MSSBOA,F1,10,1.1070083897e+04
MSSBOA,F1,11,1.7217580657e+04
MSSBOA,F3,0,4.5436355355e+02
MSSBOA,F3,1,1.0760734313e+02
MSSBOA,F3,2,2.5796896133e+02
MSSBOA,F3,3,9.0188332132e+01
MSSBOA,F3,4,8.1676756214e-01
MSSBOA,F3,5,1.2571921666e+02
MSSBOA,F3,6,2.2141540107e+02
MSSBOA,F3,7,1.7251111470e+00
MSSBOA,F3,8,1.0733310654e+02
MSSBOA,F3,9,1.9184475057e+01
MSSBOA,F3,10,1.5985013524e+02
MSSBOA,F3,11,1.5040309343e+03
MSSBOA,F4,0,7.0030706758e+00
MSSBOA,F4,1,6.6183857326e+00
MSSBOA,F4,2,6.2420186838e+00
MSSBOA,F4,3,6.5349834584e+00
MSSBOA,F4,4,4.8367392167e+00
MSSBOA,F4,5,6.4247507077e+00
MSSBOA,F4,6,3.3684613578e+00
MSSBOA,F4,7,7.2549177665e+00
MSSBOA,F4,8,6.5459479548e+00
MSSBOA,F4,9,6.4288188239e+00
MSSBOA,F4,10,7.0236939582e+00
MSSBOA,F4,11,5.4088687586e+00
MSSBOA,F5,0,6.9754184504e+00
MSSBOA,F5,1,6.4085628903e+00
MSSBOA,F5,2,1.2981921616e+01
MSSBOA,F5,3,1.3043507289e+01
MSSBOA,F5,4,1.5684683938e+01
MSSBOA,F5,5,6.0191106093e+00
MSSBOA,F5,6,1.1955083817e+01
MSSBOA,F5,7,1.3538938094e+01
MSSBOA,F5,8,4.0307010642e+00
MSSBOA,F5,9,1.0227824958e+01
MSSBOA,F5,10,1.0108721033e+01
MSSBOA,F5,11,1.2939694774e+01
MSSBOA,F6,0,7.0284924534e-01
MSSBOA,F6,1,8.3119062214e-01
MSSBOA,F6,2,2.1730075954e-01
MSSBOA,F6,3,1.3290709374e-01
MSSBOA,F6,4,1.0789669314e+00
MSSBOA,F6,5,2.5863113588e-01
MSSBOA,F6,6,5.1184942260e-01
MSSBOA,F6,7,7.8511074263e-01
MSSBOA,F6,8,3.8397390876e-01
MSSBOA,F6,9,2.3734958960e+00
MSSBOA,F6,10,1.0698568262e+00
MSSBOA,F6,11,8.6090806664e-01
MSSBOA,F7,0,2.8773995487e+01
MSSBOA,F7,1,1.5550507067e+01
MSSBOA,F7,2,2.1753497278e+01
MSSBOA,F7,3,2.0299118491e+01
MSSBOA,F7,4,2.1236713308e+01
MSSBOA,F7,5,1.5240162551e+01
MSSBOA,F7,6,3.0296236256e+01
MSSBOA,F7,7,3.7852260962e+01
MSSBOA,F7,8,3.1224400255e+01
MSSBOA,F7,9,2.1381438417e+01
MSSBOA,F7,10,1.8290280784e+01
MSSBOA,F7,11,2.7127248763e+01
MSSBOA,F8,0,7.9938921476e+00
MSSBOA,F8,1,1.7926549236e+01
MSSBOA,F8,2,1.9913349208e+01
MSSBOA,F8,3,1.5930119745e+01
MSSBOA,F8,4,1.0973104150e+01
MSSBOA,F8,5,1.2939028619e+01
MSSBOA,F8,6,8.9548066726e+00
MSSBOA,F8,7,2.1894166854e+01
MSSBOA,F8,8,1.9900158572e+01
MSSBOA,F8,9,2.5587877598e+01
MSSBOA,F8,10,1.4928328500e+01
MSSBOA,F8,11,1.2142495733e+01
MSSBOA,F9,0,4.0780217341e-04
MSSBOA,F9,1,1.9680951722e-03
MSSBOA,F9,2,5.5696396168e-01
MSSBOA,F9,3,1.3722692038e-03
MSSBOA,F9,4,4.5473865430e-01
MSSBOA,F9,5,4.0659529263e-03
MSSBOA,F9,6,5.7333903075e-02
MSSBOA,F9,7,2.1732484166e-01
MSSBOA,F9,8,4.8951177179e-01
MSSBOA,F9,9,2.7727251840e-02
MSSBOA,F9,10,5.9709616903e-04
MSSBOA,F9,11,4.3804885979e-04
