Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
F1,Best,1.000E+02,1.123E+02,1.192E+02,1.013E+02,1.146E+02,1.009E+02,1.011E+02,1.000E+02,1.009E+02,1.007E+02,1.000E+02
,Mean,1.000E+02,2.437E+02,4.717E+02,1.266E+02,2.006E+03,1.282E+02,1.129E+02,1.000E+02,1.185E+02,1.208E+02,1.000E+02
,Std,9.988E-03,2.198E+02,7.992E+02,2.797E+01,2.645E+03,4.094E+01,1.832E+01,1.363E-02,2.357E+01,3.053E+01,7.776E-03
,Rank,2,9,10,7,11,8,4,3,5,6,1
F3,Best,3.000E+02,3.065E+02,3.057E+02,3.008E+02,3.090E+02,3.009E+02,3.003E+02,3.000E+02,3.013E+02,3.001E+02,3.000E+02
,Mean,3.000E+02,5.150E+02,4.206E+02,3.052E+02,4.534E+02,3.119E+02,3.013E+02,3.001E+02,3.298E+02,3.013E+02,3.000E+02
,Std,5.878E-03,2.389E+02,1.625E+02,7.154E+00,1.091E+02,1.393E+01,1.345E+00,3.634E-02,3.206E+01,1.191E+00,6.296E-03
,Rank,2,11,9,6,10,7,5,3,8,4,1
F4,Best,4.003E+02,4.016E+02,4.498E+02,4.024E+02,4.428E+02,4.011E+02,4.028E+02,4.018E+02,4.005E+02,4.071E+02,4.002E+02
,Mean,4.006E+02,6.519E+02,1.763E+03,4.337E+02,9.358E+03,4.287E+02,4.407E+02,4.132E+02,4.139E+02,4.761E+02,4.011E+02
,Std,2.547E-01,4.255E+02,3.249E+03,4.308E+01,1.200E+04,2.472E+01,3.845E+01,1.243E+01,1.510E+01,7.102E+01,1.113E+00
,Rank,1,9,10,6,11,5,7,3,4,8,2
F5,Best,5.007E+02,5.057E+02,5.103E+02,5.057E+02,6.571E+02,5.032E+02,5.004E+02,5.010E+02,5.004E+02,5.007E+02,5.002E+02
,Mean,5.020E+02,7.513E+02,8.746E+02,5.345E+02,5.471E+03,5.286E+02,5.111E+02,5.043E+02,5.222E+02,5.088E+02,5.011E+02
,Std,8.921E-01,2.791E+02,5.671E+02,2.797E+01,5.851E+03,4.213E+01,1.268E+01,3.666E+00,4.699E+01,8.960E+00,8.063E-01
,Rank,2,9,10,8,11,7,5,3,6,4,1
F6,Best,6.053E+02,6.089E+02,6.171E+02,6.112E+02,6.998E+02,6.149E+02,6.004E+02,6.020E+02,6.052E+02,6.003E+02,6.005E+02
