Competitor,Dim,Losses,Losses on hybrid,Losses on composition,Mean rank MSSBOA,Mean rank competitor,Rank gap
QIO,10,5,1,1,1.448,2.517,1.069
QIO,30,0,0,0,1.103,3.207,2.103
QIO,50,4,2,2,1.379,2.966,1.586
QIO,100,7,1,5,1.793,2.897,1.103
LSHADE,10,5,1,0,1.448,3.000,1.552
LSHADE,30,3,1,0,1.103,3.000,1.897
LSHADE,50,6,1,3,1.379,3.034,1.655
LSHADE,100,6,2,2,1.793,3.034,1.241
RIME,10,2,0,1,1.448,3.966,2.517
RIME,30,0,0,0,1.103,3.483,2.379
RIME,50,1,1,0,1.379,3.448,2.069
RIME,100,6,2,4,1.793,3.310,1.517
