study,algo,problem,dim,run,value
extra,N=10,F1,10,0,5.5660667119e+02
extra,N=10,F3,10,0,8.7212395495e+01
extra,N=10,F4,10,0,1.4036982191e+00
extra,N=10,F5,10,0,9.9620426741e+00
extra,N=10,F6,10,0,1.9715675300e+00
extra,N=10,F7,10,0,3.0252057826e+01
extra,N=10,F8,10,0,1.1004224928e+01
extra,N=10,F9,10,0,1.5489725349e+01
extra,N=10,F10,10,0,8.0956296864e+02
extra,N=10,F11,10,0,8.8940124743e+00
extra,N=10,F12,10,0,6.3467431686e+06
extra,N=10,F13,10,0,7.5659820133e+03
extra,N=10,F14,10,0,1.1531525114e+02
extra,N=10,F15,10,0,9.0061049144e+02
extra,N=10,F16,10,0,4.1507363661e+01
extra,N=10,F17,10,0,3.9597120926e+01
extra,N=10,F18,10,0,1.0837813418e+04
extra,N=10,F19,10,0,2.1323655560e+03
extra,N=10,F20,10,0,2.6486148129e+01
extra,N=10,F21,10,0,2.1635626206e+02
extra,N=20,F5,10,0,1.1769455206e+01
extra,N=20,F6,10,0,6.5914901586e-01
extra,N=20,F7,10,0,3.1415453342e+01
extra,N=20,F8,10,0,8.9576171265e+00
extra,N=10,F30,10,0,1.7726251593e+05
extra,N=20,F1,10,0,1.7568594012e+02
extra,N=20,F3,10,0,1.1333447857e+01
extra,N=20,F4,10,0,7.0411214259e+00
extra,N=10,F22,10,0,1.0064340288e+02
extra,N=10,F23,10,0,3.2605006322e+02
extra,N=10,F24,10,0,3.4965751666e+02
extra,N=10,F25,10,0,4.4374922716e+02
extra,N=20,F9,10,0,1.7725423109e-02
extra,N=20,F10,10,0,6.2565934869e+02
extra,N=20,F11,10,0,5.4306934228e+00
extra,N=20,F12,10,0,1.7588600124e+04
extra,N=20,F13,10,0,1.2865759408e+03
extra,N=20,F14,10,0,1.2646655951e+02
extra,N=20,F15,10,0,6.7646090644e+02
extra,N=20,F16,10,0,3.4316129826e+00
extra,N=20,F17,10,0,4.9847185772e+01
extra,N=20,F18,10,0,2.5788247607e+04
extra,N=20,F19,10,0,6.3160811460e+02
extra,N=20,F20,10,0,3.0632454745e+01
extra,N=10,F26,10,0,3.9647590578e+02
extra,N=10,F27,10,0,3.9745032462e+02
extra,N=10,F28,10,0,3.6768840555e+02
extra,N=10,F29,10,0,2.5705700474e+02
extra,N=20,F21,10,0,2.1401541418e+02
extra,N=20,F22,10,0,1.0225201720e+02
extra,N=20,F23,10,0,3.1439332394e+02
extra,N=20,F24,10,0,3.4854821874e+02
extra,N=50,F4,10,0,6.8391042744e+00
extra,N=50,F5,10,0,1.2479945487e+01
extra,N=50,F6,10,0,2.3227641453e-01
extra,N=50,F7,10,0,2.1722505432e+01
extra,N=50,F8,10,0,2.3927591822e+01
extra,N=50,F9,10,0,3.6856630283e-02
extra,N=50,F10,10,0,8.4974128556e+02
extra,N=50,F11,10,0,1.1157245203e+01
extra,N=50,F12,10,0,3.3773312924e+05
extra,N=50,F13,10,0,1.5944172813e+04
extra,N=50,F14,10,0,4.1083340209e+02
extra,N=50,F15,10,0,2.3975929868e+03
extra,N=50,F16,10,0,1.5972288071e+01
extra,N=50,F17,10,0,2.4641754787e+01
extra,N=50,F18,10,0,1.2447546762e+04
extra,N=50,F19,10,0,3.8314114357e+02
extra,N=20,F25,10,0,3.9868780914e+02
extra,N=20,F26,10,0,3.0003956898e+02
extra,N=20,F27,10,0,3.8952521379e+02
extra,N=20,F28,10,0,6.1182194102e+02
extra,N=20,F29,10,0,2.4409486026e+02
extra,N=20,F30,10,0,7.2294332767e+04
extra,N=50,F1,10,0,1.2025860115e+05
extra,N=50,F3,10,0,1.4760256503e+01
extra,N=100,F3,10,0,3.6197158670e+02
extra,N=100,F4,10,0,6.6928867743e+00
extra,N=100,F5,10,0,5.0218685904e+00
extra,N=100,F6,10,0,9.7981345029e-01
extra,N=50,F20,10,0,2.6381084666e+01
extra,N=50,F21,10,0,1.0587099310e+02
extra,N=50,F22,10,0,1.0270528463e+02
extra,N=50,F23,10,0,3.1606665762e+02
extra,N=100,F7,10,0,2.4767124487e+01
extra,N=100,F8,10,0,2.3727778908e+01
extra,N=100,F9,10,0,3.1470407405e+00
extra,N=100,F10,10,0,4.2661497480e+02
extra,N=100,F11,10,0,1.3667835894e+01
extra,N=100,F12,10,0,2.4472190564e+06
extra,N=100,F13,10,0,2.0492126184e+03
extra,N=100,F14,10,0,9.1339149991e+01
extra,N=100,F15,10,0,3.7140191455e+03
extra,N=100,F16,10,0,4.1119574179e+01
extra,N=100,F17,10,0,4.2098421434e+01
extra,N=100,F18,10,0,1.9512176201e+04
extra,N=50,F24,10,0,3.4708914529e+02
extra,N=50,F25,10,0,4.0026626678e+02
extra,N=50,F26,10,0,3.4719728366e+02
extra,N=50,F27,10,0,3.9082290342e+02
extra,N=100,F19,10,0,1.0888118397e+03
extra,N=100,F20,10,0,6.7032321019e+01
extra,N=100,F21,10,0,1.0732195438e+02
extra,N=100,F22,10,0,1.0178930824e+02
extra,N=50,F28,10,0,4.0907032488e+02
extra,N=50,F29,10,0,2.5443605951e+02
extra,N=50,F30,10,0,6.9043535799e+05
extra,N=100,F1,10,0,1.5053125158e+06
extra,beta=1.1,F1,10,0,4.6764530123e+03
extra,beta=1.1,F3,10,0,6.9375395010e+02
extra,beta=1.1,F4,10,0,4.3650118284e+00
extra,beta=1.1,F5,10,0,6.0418029757e+00
extra,N=100,F23,10,0,3.2322932923e+02
extra,N=100,F24,10,0,3.5130144254e+02
extra,N=100,F25,10,0,4.4713918507e+02
