study,algo,problem,dim,run,value
scale,LSHADE,N8,16,0,9.1172030457e-01
scale,LSHADE,N12,24,0,9.2046594307e-01
scale,LSHADE,N20,40,0,8.8249832874e-01
scale,LSHADE,N30,60,0,8.5561903808e-01
scale,RIME,N8,16,0,8.8982599542e-01
scale,RIME,N12,24,0,8.9579868473e-01
scale,RIME,N20,40,0,8.6913925263e-01
scale,RIME,N30,60,0,8.3854957478e-01
scale,MSSBOA,N8,16,0,9.0792343875e-01
scale,MSSBOA,N12,24,0,9.3426837158e-01
scale,MSSBOA,N20,40,0,8.9016710282e-01
scale,MSSBOA,N30,60,0,8.6343481911e-01
scale,SBOA,N8,16,0,9.0727606212e-01
scale,SBOA,N12,24,0,9.3555109198e-01
scale,SBOA,N20,40,0,8.9681074197e-01
scale,SBOA,N30,60,0,8.7724551929e-01
scale,GWO,N8,16,0,9.3263392779e-01
scale,GWO,N12,24,0,7.9631966203e-01
scale,GWO,N20,40,0,7.9611934892e-01
scale,GWO,N30,60,0,6.9765700670e-01
scale,COA,N8,16,0,8.9661070564e-01
scale,COA,N12,24,0,8.7039168040e-01
scale,COA,N20,40,0,8.6339561947e-01
scale,COA,N30,60,0,8.3650100530e-01
scale,SBOA,N8,16,1,9.1522779964e-01
scale,SBOA,N12,24,1,9.2769623741e-01
scale,SBOA,N20,40,1,8.8514024264e-01
scale,SBOA,N30,60,1,8.5637351832e-01
scale,MSSBOA,N8,16,1,9.3632985320e-01
scale,MSSBOA,N12,24,1,9.3089357827e-01
scale,MSSBOA,N20,40,1,8.9398988096e-01
scale,MSSBOA,N30,60,1,8.7443499776e-01
scale,RIME,N8,16,1,8.5473096496e-01
scale,RIME,N12,24,1,8.9310265787e-01
scale,RIME,N20,40,1,8.5117001865e-01
scale,RIME,N30,60,1,8.4192674086e-01
scale,LSHADE,N8,16,1,9.1721708715e-01
scale,LSHADE,N12,24,1,9.1842707907e-01
scale,LSHADE,N20,40,1,8.7671170385e-01
scale,LSHADE,N30,60,1,8.5428623806e-01
scale,GWO,N8,16,1,9.3250016792e-01
scale,GWO,N12,24,1,9.0292041860e-01
scale,GWO,N20,40,1,8.3559400179e-01
scale,GWO,N30,60,1,7.1422870468e-01
scale,COA,N8,16,1,8.5987012551e-01
scale,COA,N12,24,1,9.0348570459e-01
scale,COA,N20,40,1,8.5236956280e-01
scale,COA,N30,60,1,8.1010153878e-01
scale,MSSBOA,N8,16,2,9.2260173358e-01
scale,MSSBOA,N12,24,2,9.2779919536e-01
scale,MSSBOA,N20,40,2,8.8457131835e-01
scale,MSSBOA,N30,60,2,8.5812207240e-01
scale,SBOA,N8,16,2,9.3806986986e-01
scale,SBOA,N12,24,2,9.3076841638e-01
scale,SBOA,N20,40,2,9.0304665938e-01
scale,SBOA,N30,60,2,8.4918341189e-01
scale,LSHADE,N8,16,2,9.1693132539e-01
scale,LSHADE,N12,24,2,9.1890715286e-01
scale,LSHADE,N20,40,2,8.8119085492e-01
scale,LSHADE,N30,60,2,8.5845924358e-01
scale,RIME,N8,16,2,9.1838043967e-01
scale,RIME,N12,24,2,8.9613282634e-01
scale,RIME,N20,40,2,8.6826680600e-01
scale,RIME,N30,60,2,8.3673633026e-01
scale,GWO,N8,16,2,9.4596131448e-01
scale,GWO,N12,24,2,8.7320633484e-01
scale,GWO,N20,40,2,8.0649297332e-01
scale,GWO,N30,60,2,6.9869899973e-01
scale,COA,N8,16,2,8.9980481408e-01
scale,COA,N12,24,2,8.9189216386e-01
scale,COA,N20,40,2,8.3977529744e-01
scale,COA,N30,60,2,8.4899160509e-01
scale,MSSBOA,N8,16,3,9.0269415077e-01
scale,MSSBOA,N12,24,3,9.1956485321e-01
scale,MSSBOA,N20,40,3,8.7930694656e-01
scale,MSSBOA,N30,60,3,8.5010237275e-01
scale,RIME,N8,16,3,8.6214116195e-01
scale,RIME,N12,24,3,8.9676810879e-01
scale,RIME,N20,40,3,8.4005486663e-01
scale,RIME,N30,60,3,8.4232146368e-01
scale,SBOA,N8,16,3,9.3504621434e-01
scale,SBOA,N12,24,3,9.2431458166e-01
scale,SBOA,N20,40,3,8.9301930929e-01
scale,SBOA,N30,60,3,8.5944293351e-01
scale,LSHADE,N8,16,3,9.1433395220e-01
scale,LSHADE,N12,24,3,9.0844197575e-01
scale,LSHADE,N20,40,3,8.8079204653e-01
scale,LSHADE,N30,60,3,8.5766812725e-01
scale,GWO,N8,16,3,9.2116154245e-01
scale,GWO,N12,24,3,8.8222975201e-01
scale,GWO,N20,40,3,7.6410656985e-01
scale,GWO,N30,60,3,6.9518890362e-01
scale,COA,N8,16,3,9.0865117845e-01
scale,COA,N12,24,3,9.1461265229e-01
scale,COA,N20,40,3,8.6696037614e-01
scale,COA,N30,60,3,8.1064936173e-01
scale,MSSBOA,N8,16,4,9.3346196063e-01
scale,MSSBOA,N12,24,4,9.1533601678e-01
scale,MSSBOA,N20,40,4,8.9102957129e-01
scale,MSSBOA,N30,60,4,8.5666151936e-01
scale,SBOA,N8,16,4,9.2757344972e-01
scale,SBOA,N12,24,4,9.2585233590e-01
scale,SBOA,N20,40,4,8.9116755819e-01
scale,SBOA,N30,60,4,8.6802252317e-01
scale,RIME,N8,16,4,9.2443769484e-01
scale,RIME,N12,24,4,9.1187110469e-01
scale,RIME,N20,40,4,8.5879155265e-01
scale,RIME,N30,60,4,8.3729401628e-01
scale,LSHADE,N8,16,4,9.2329522679e-01
scale,LSHADE,N12,24,4,9.2230756212e-01
scale,LSHADE,N20,40,4,8.7720955693e-01
scale,LSHADE,N30,60,4,8.5947871983e-01
scale,COA,N8,16,4,9.2183412233e-01
scale,COA,N12,24,4,9.0240640009e-01
scale,COA,N20,40,4,8.1806356089e-01
scale,COA,N30,60,4,8.1195110482e-01
scale,GWO,N8,16,4,8.7982464593e-01
scale,GWO,N12,24,4,9.0154916760e-01
scale,GWO,N20,40,4,7.9140494569e-01
scale,GWO,N30,60,4,6.9000410375e-01
scale,MSSBOA,N8,16,5,9.3492147173e-01
scale,MSSBOA,N12,24,5,9.3491598816e-01
scale,MSSBOA,N20,40,5,8.9417366970e-01
scale,MSSBOA,N30,60,5,8.5331213620e-01
scale,SBOA,N8,16,5,9.4927883965e-01
scale,SBOA,N12,24,5,9.3717629551e-01
scale,SBOA,N20,40,5,8.9075255350e-01
scale,SBOA,N30,60,5,8.5800932404e-01
scale,RIME,N8,16,5,8.4110958036e-01
scale,RIME,N12,24,5,9.1317479010e-01
scale,RIME,N20,40,5,8.6283975542e-01
scale,RIME,N30,60,5,8.4062919191e-01
scale,LSHADE,N8,16,5,9.2135749802e-01
scale,LSHADE,N12,24,5,9.1369458486e-01
scale,LSHADE,N20,40,5,8.8309930974e-01
scale,LSHADE,N30,60,5,8.5840087279e-01
scale,GWO,N8,16,5,9.3809244689e-01
scale,GWO,N12,24,5,9.3061512910e-01
scale,GWO,N20,40,5,8.1538990200e-01
scale,GWO,N30,60,5,7.3228317690e-01
scale,COA,N8,16,5,9.1469194607e-01
scale,COA,N12,24,5,8.9245984347e-01
scale,COA,N20,40,5,8.7513063383e-01
scale,COA,N30,60,5,8.2178523480e-01
scale,MSSBOA,N8,16,6,9.3035215617e-01
scale,MSSBOA,N12,24,6,9.1828304138e-01
scale,MSSBOA,N20,40,6,8.9251092041e-01
scale,MSSBOA,N30,60,6,8.7160227003e-01
scale,SBOA,N8,16,6,9.3791875612e-01
scale,SBOA,N12,24,6,9.4438172359e-01
scale,SBOA,N20,40,6,8.8366428334e-01
scale,SBOA,N30,60,6,8.6268119113e-01
scale,RIME,N8,16,6,8.6657400239e-01
scale,RIME,N12,24,6,8.8429111406e-01
scale,RIME,N20,40,6,8.4821534796e-01
scale,RIME,N30,60,6,8.3583439669e-01
scale,LSHADE,N8,16,6,9.1797928319e-01
scale,LSHADE,N12,24,6,9.1595753180e-01
scale,LSHADE,N20,40,6,8.7732250889e-01
scale,LSHADE,N30,60,6,8.5452956017e-01
scale,GWO,N8,16,6,9.3450076921e-01
scale,GWO,N12,24,6,9.4595700559e-01
scale,GWO,N20,40,6,8.4113575899e-01
scale,GWO,N30,60,6,6.9498652767e-01
scale,COA,N8,16,6,9.1707911513e-01
scale,COA,N12,24,6,9.1075693659e-01
scale,COA,N20,40,6,8.2638648686e-01
scale,COA,N30,60,6,8.2723286061e-01
scale,MSSBOA,N8,16,7,9.2498887299e-01
scale,MSSBOA,N12,24,7,9.3095708904e-01
scale,MSSBOA,N20,40,7,9.0485141462e-01
scale,MSSBOA,N30,60,7,8.6975752111e-01
scale,SBOA,N8,16,7,9.2272436125e-01
scale,SBOA,N12,24,7,9.3236909138e-01
scale,SBOA,N20,40,7,8.7979846787e-01
scale,SBOA,N30,60,7,8.6584988365e-01
scale,RIME,N8,16,7,8.7201831419e-01
scale,RIME,N12,24,7,8.8756670859e-01
scale,RIME,N20,40,7,8.4873188175e-01
scale,RIME,N30,60,7,8.3304801912e-01
scale,LSHADE,N8,16,7,9.2556533532e-01
scale,LSHADE,N12,24,7,9.0937993866e-01
scale,LSHADE,N20,40,7,8.7835681216e-01
scale,LSHADE,N30,60,7,8.5332588111e-01
scale,GWO,N8,16,7,9.3725664703e-01
scale,GWO,N12,24,7,9.2002420417e-01
scale,GWO,N20,40,7,7.8948881930e-01
scale,GWO,N30,60,7,6.9174227816e-01
scale,COA,N8,16,7,8.7265390805e-01
scale,COA,N12,24,7,9.0845390632e-01
scale,COA,N20,40,7,8.2435839943e-01
scale,COA,N30,60,7,8.3931653814e-01
scale,MSSBOA,N8,16,8,9.3541346921e-01
scale,MSSBOA,N12,24,8,9.2757598495e-01
scale,MSSBOA,N20,40,8,8.9752596825e-01
scale,MSSBOA,N30,60,8,8.6758418030e-01
scale,SBOA,N8,16,8,9.1841535401e-01
scale,SBOA,N12,24,8,9.2891942080e-01
scale,SBOA,N20,40,8,9.0006481783e-01
scale,SBOA,N30,60,8,8.6304681052e-01
scale,RIME,N8,16,8,9.0559206080e-01
scale,RIME,N12,24,8,8.9175772404e-01
scale,RIME,N20,40,8,8.5619765452e-01
scale,RIME,N30,60,8,8.3795264337e-01
scale,LSHADE,N8,16,8,9.2378230845e-01
scale,LSHADE,N12,24,8,9.2048066518e-01
scale,LSHADE,N20,40,8,8.7644978589e-01
scale,LSHADE,N30,60,8,8.5675555417e-01
scale,GWO,N8,16,8,9.3168233745e-01
scale,GWO,N12,24,8,8.8597725140e-01
scale,GWO,N20,40,8,7.7943011715e-01
scale,GWO,N30,60,8,7.1533918258e-01
scale,COA,N8,16,8,9.0443495480e-01
scale,COA,N12,24,8,8.9839863598e-01
scale,COA,N20,40,8,8.5482377253e-01
scale,COA,N30,60,8,8.4780571728e-01
scale,MSSBOA,N8,16,9,9.0566615912e-01
scale,MSSBOA,N12,24,9,9.2552431341e-01
scale,MSSBOA,N20,40,9,8.8735943770e-01
scale,MSSBOA,N30,60,9,8.4808445772e-01
scale,SBOA,N8,16,9,9.1912135188e-01
scale,SBOA,N12,24,9,9.5307948754e-01
scale,SBOA,N20,40,9,9.0374439652e-01
scale,SBOA,N30,60,9,8.6691261120e-01
scale,RIME,N8,16,9,8.9430785006e-01
scale,RIME,N12,24,9,8.9127175023e-01
scale,RIME,N20,40,9,8.4427019902e-01
scale,RIME,N30,60,9,8.3891172763e-01
scale,LSHADE,N8,16,9,9.1570239922e-01
scale,LSHADE,N12,24,9,9.1795689123e-01
scale,LSHADE,N20,40,9,8.7202031101e-01
scale,LSHADE,N30,60,9,8.5604273972e-01
scale,GWO,N8,16,9,9.4114880971e-01
scale,GWO,N12,24,9,9.2393702735e-01
scale,GWO,N20,40,9,7.8571860406e-01
scale,GWO,N30,60,9,6.9800401636e-01
scale,COA,N8,16,9,8.8699859606e-01
scale,COA,N12,24,9,8.4869078289e-01
scale,COA,N20,40,9,8.4754817885e-01
scale,COA,N30,60,9,8.0874993289e-01
scale,MSSBOA,N8,16,10,9.1132963835e-01
scale,MSSBOA,N12,24,10,9.2866306177e-01
scale,MSSBOA,N20,40,10,8.9177377955e-01
scale,MSSBOA,N30,60,10,8.6590573425e-01
scale,SBOA,N8,16,10,9.4119195805e-01
scale,SBOA,N12,24,10,9.2736434704e-01
scale,SBOA,N20,40,10,8.8466298528e-01
scale,SBOA,N30,60,10,8.6273459324e-01
scale,RIME,N8,16,10,8.2729911000e-01
scale,RIME,N12,24,10,8.7942267975e-01
scale,RIME,N20,40,10,8.5230292432e-01
scale,RIME,N30,60,10,8.3806485390e-01
scale,LSHADE,N8,16,10,9.1178796241e-01
scale,LSHADE,N12,24,10,9.1109878013e-01
scale,LSHADE,N20,40,10,8.8216157490e-01
scale,LSHADE,N30,60,10,8.5754389606e-01
scale,GWO,N8,16,10,9.4664470447e-01
scale,GWO,N12,24,10,9.0478095736e-01
scale,GWO,N20,40,10,7.8221348548e-01
scale,GWO,N30,60,10,7.3134429649e-01
scale,COA,N8,16,10,8.7405716424e-01
scale,COA,N12,24,10,9.1165930251e-01
scale,COA,N20,40,10,8.5400247491e-01
scale,COA,N30,60,10,8.3914701468e-01
scale,MSSBOA,N8,16,11,9.1420953481e-01
scale,MSSBOA,N12,24,11,9.2678353617e-01
scale,MSSBOA,N20,40,11,8.9701128811e-01
scale,MSSBOA,N30,60,11,8.4820773864e-01
scale,SBOA,N8,16,11,9.3246144082e-01
scale,SBOA,N12,24,11,9.3404129380e-01
scale,SBOA,N20,40,11,8.9357833004e-01
scale,SBOA,N30,60,11,8.6297169914e-01
scale,RIME,N8,16,11,8.8705656643e-01
scale,RIME,N12,24,11,9.0301998783e-01
scale,RIME,N20,40,11,8.6459484656e-01
scale,RIME,N30,60,11,8.2861357485e-01
scale,LSHADE,N8,16,11,9.2537907026e-01
scale,LSHADE,N12,24,11,9.1580529241e-01
scale,LSHADE,N20,40,11,8.7848403838e-01
scale,LSHADE,N30,60,11,8.5742888662e-01
scale,GWO,N8,16,11,9.3551192466e-01
scale,GWO,N12,24,11,9.0223099715e-01
scale,GWO,N20,40,11,7.7074123866e-01
scale,GWO,N30,60,11,7.0900108385e-01
scale,COA,N8,16,11,9.1130848294e-01
scale,COA,N12,24,11,9.0874108845e-01
scale,COA,N20,40,11,8.1527414944e-01
scale,COA,N30,60,11,8.4526496370e-01
scale,SBOA,N8,16,12,9.2744160241e-01
scale,SBOA,N12,24,12,9.3159687315e-01
scale,SBOA,N20,40,12,8.8300975708e-01
scale,SBOA,N30,60,12,8.7185701258e-01
scale,MSSBOA,N8,16,12,9.0549202979e-01
scale,MSSBOA,N12,24,12,9.2326061748e-01
scale,MSSBOA,N20,40,12,8.9093519153e-01
scale,MSSBOA,N30,60,12,8.7092979710e-01
scale,RIME,N8,16,12,8.6676201279e-01
scale,RIME,N12,24,12,9.1588707365e-01
scale,RIME,N20,40,12,8.7383041414e-01
scale,RIME,N30,60,12,8.3185367509e-01
