study,algo,problem,dim,run,value
weights,MSSBOA,W1 (equal)|DL01,0,0,8.8902871502e-01
weights,MSSBOA,W1 (equal)|DL02,0,0,8.7213859162e-01
weights,MSSBOA,W1 (equal)|DL03,0,0,8.4093876804e-01
weights,MSSBOA,W1 (equal)|DL04,0,0,8.7524959581e-01
weights,MSSBOA,W0 (Ngo)|DL01,0,0,9.1557240747e-01
weights,MSSBOA,W0 (Ngo)|DL02,0,0,9.0600190919e-01
weights,MSSBOA,W0 (Ngo)|DL03,0,0,8.7324507640e-01
weights,MSSBOA,W0 (Ngo)|DL04,0,0,9.2305208524e-01
weights,MSSBOA,W1 (equal)|DL05,0,0,9.2824291990e-01
weights,MSSBOA,W1 (equal)|DL06,0,0,8.5946464222e-01
weights,MSSBOA,W1 (equal)|DL07,0,0,8.7105801861e-01
weights,MSSBOA,W1 (equal)|DL08,0,0,8.6585765603e-01
weights,MSSBOA,W0 (Ngo)|DL05,0,0,9.3239874229e-01
weights,MSSBOA,W0 (Ngo)|DL06,0,0,9.1089622802e-01
weights,MSSBOA,W0 (Ngo)|DL07,0,0,9.0876475487e-01
weights,MSSBOA,W0 (Ngo)|DL08,0,0,8.9939352730e-01
weights,MSSBOA,W2 (balance)|DL01,0,0,9.4222866255e-01
weights,MSSBOA,W2 (balance)|DL02,0,0,9.2775738293e-01
weights,MSSBOA,W2 (balance)|DL03,0,0,9.1395880052e-01
weights,MSSBOA,W2 (balance)|DL04,0,0,9.4715040144e-01
weights,MSSBOA,W3 (overlap)|DL01,0,0,9.2263311589e-01
weights,MSSBOA,W3 (overlap)|DL02,0,0,9.2478136556e-01
weights,MSSBOA,W3 (overlap)|DL03,0,0,9.1196760930e-01
weights,MSSBOA,W3 (overlap)|DL04,0,0,9.2165423861e-01
weights,MSSBOA,W2 (balance)|DL05,0,0,9.4984559299e-01
weights,MSSBOA,W2 (balance)|DL06,0,0,9.2996475844e-01
weights,MSSBOA,W2 (balance)|DL07,0,0,9.3667054249e-01
weights,MSSBOA,W2 (balance)|DL08,0,0,9.3047416955e-01
weights,MSSBOA,W3 (overlap)|DL05,0,0,9.3510428698e-01
weights,MSSBOA,W3 (overlap)|DL06,0,0,9.4774983866e-01
weights,MSSBOA,W3 (overlap)|DL07,0,0,9.2680372185e-01
weights,MSSBOA,W3 (overlap)|DL08,0,0,9.2283085405e-01
weights,SBOA,W0 (Ngo)|DL01,0,0,9.1674422732e-01
weights,SBOA,W0 (Ngo)|DL02,0,0,9.0407932552e-01
weights,SBOA,W0 (Ngo)|DL03,0,0,8.8071699821e-01
weights,SBOA,W0 (Ngo)|DL04,0,0,9.1725026289e-01
weights,SBOA,W0 (Ngo)|DL05,0,0,9.3843649763e-01
weights,SBOA,W0 (Ngo)|DL06,0,0,9.2862133345e-01
weights,SBOA,W0 (Ngo)|DL07,0,0,8.7873448235e-01
weights,SBOA,W0 (Ngo)|DL08,0,0,8.9858364563e-01
weights,MSSBOA,W4 (structure)|DL01,0,0,9.1449278879e-01
weights,MSSBOA,W4 (structure)|DL02,0,0,9.1080665469e-01
weights,MSSBOA,W4 (structure)|DL03,0,0,9.0075573933e-01
weights,MSSBOA,W4 (structure)|DL04,0,0,9.2656725816e-01
weights,MSSBOA,W4 (structure)|DL05,0,0,9.4340158472e-01
weights,MSSBOA,W4 (structure)|DL06,0,0,9.4684416360e-01
weights,MSSBOA,W4 (structure)|DL07,0,0,9.1285244904e-01
weights,MSSBOA,W4 (structure)|DL08,0,0,9.1409722090e-01
weights,SBOA,W1 (equal)|DL01,0,0,8.8360486305e-01
weights,SBOA,W1 (equal)|DL02,0,0,8.7099687788e-01
weights,SBOA,W1 (equal)|DL03,0,0,8.4093923542e-01
