city,tier,n,decline,share_uw,markup_uw,sale_rate,ref_gap
Weifang,3,15115,37.9,61.2,13.0,36.8,9.4
Guiyang,3,15254,38.2,55.8,13.0,38.0,8.8
Langfang,3,15139,30.3,55.7,10.7,39.0,7.6
Nanchang,3,15231,35.8,55.7,12.3,38.7,8.4
Dongguan,3,14955,38.1,54.9,13.0,38.5,8.8
Chengdu,2,33474,32.3,54.3,11.4,42.8,7.8
Shijiazhuang,3,15054,35.6,53.3,12.2,39.3,8.1
Jinan,2,33509,32.0,52.6,11.1,43.2,7.6
Zhongshan,3,14948,35.7,52.6,12.2,38.8,8.1
Huizhou,3,14933,29.5,52.5,10.6,40.3,7.3
Qingdao,2,33096,33.7,52.5,11.7,42.8,7.8
Changchun,3,15140,39.8,52.3,13.6,38.1,8.7
Wenzhou,3,15079,29.3,51.4,10.5,40.5,7.2
Harbin,3,15233,34.2,50.6,11.9,38.7,7.7
Tianjin,2,33516,31.1,49.6,11.0,43.9,7.2
Ganzhou,3,14912,34.1,48.7,11.6,40.8,7.4
Wuhan,2,33672,32.2,45.6,11.3,44.8,7.0
Xiangyang,3,15355,29.7,45.6,10.6,41.4,6.7
Nanning,3,15320,31.9,45.3,11.2,41.9,6.9
Foshan,3,14855,33.8,45.2,11.5,41.6,7.0
Changsha,2,33587,25.5,44.9,9.5,46.0,6.3
Luoyang,3,15042,29.6,44.5,10.6,42.2,6.6
Yantai,3,15077,30.0,43.6,10.8,41.6,6.7
Xuzhou,3,15301,30.0,42.7,10.6,42.0,6.4
Nanjing,2,33489,22.1,41.7,8.8,47.0,5.8
Dalian,2,33357,26.5,40.8,9.8,46.3,6.0
Hangzhou,2,33482,23.2,39.7,9.1,47.3,5.7
Beihai,3,15157,24.1,39.3,9.4,44.7,5.8
Shanghai,1,91150,21.4,39.2,8.8,51.0,5.6
Chongqing,2,33238,22.4,39.1,9.0,47.4,5.6
Hefei,2,33237,27.2,38.6,9.9,47.1,5.9
Lanzhou,3,15232,25.8,38.1,9.7,44.6,5.7
Zhengzhou,2,33387,24.1,37.3,9.4,47.2,5.6
Kunming,2,33254,20.4,35.7,8.7,48.4,5.3
Suzhou,2,33175,17.6,33.4,8.2,48.9,5.1
Shenzhen,1,91332,20.8,32.2,8.7,52.9,5.0
Xi'an,2,33213,19.4,31.8,8.4,48.9,5.0
Shenyang,2,32968,18.4,29.1,8.2,49.4,4.8
Beijing,1,90787,10.1,24.0,7.0,54.3,4.4
Guangzhou,1,90745,9.9,19.9,7.0,55.1,4.1
