func,algo,run,best_f,seconds
F12017,SBOA,0,2.7480120884e+03,0.69
F12017,SBOA,1,3.3234771914e+03,0.68
F12017,SBOA,2,1.4945819585e+04,0.63
F12017,SBOA,3,2.7531326812e+03,0.64
F12017,SBOA,4,5.7403070838e+03,0.64
F12017,SBOA,5,4.5932006944e+02,0.64
F12017,SBOA,6,5.9393715133e+03,0.65
F12017,SBOA,7,1.0808035751e+04,0.66
F12017,SBOA,8,1.7434277283e+03,0.64
F12017,SBOA,9,3.9147812204e+03,0.66
F12017,SBOA,10,3.4021108883e+03,0.66
F12017,SBOA,11,7.3080706797e+03,0.64
F12017,SBOA,12,1.3483296035e+04,0.67
F12017,SBOA,13,1.1152252160e+03,0.66
F12017,SBOA,14,6.6800692318e+03,0.70
F12017,SBOA,15,6.8071041074e+02,0.65
F12017,SBOA,16,9.8308958635e+02,0.69
F12017,SBOA,17,3.5283869462e+03,0.65
F12017,SBOA,18,6.4656856305e+03,0.67
F12017,SBOA,19,1.0740500816e+04,0.65
F12017,SBOA,20,2.3720202748e+03,0.67
F12017,SBOA,21,5.5712900566e+02,0.70
F12017,SBOA,22,1.9123282699e+03,0.66
F12017,SBOA,23,7.6157138343e+03,0.65
F12017,SBOA,24,1.0610487535e+04,0.67
F12017,SBOA,25,1.0775194156e+03,0.69
F12017,SBOA,26,4.8240375726e+02,0.69
F12017,SBOA,27,1.8931154659e+03,0.67
F12017,SBOA,28,3.2854309751e+02,0.70
F12017,SBOA,29,2.1362294642e+03,0.72
F12017,SBOA-GPS,0,3.5636154366e+03,0.72
F12017,SBOA-GPS,1,6.2572364890e+02,0.67
F12017,SBOA-GPS,2,1.0241530873e+04,0.74
F12017,SBOA-GPS,3,1.1724526326e+04,0.73
F12017,SBOA-GPS,4,8.1338013480e+02,0.66
F12017,SBOA-GPS,5,2.1897331557e+04,0.68
F12017,SBOA-GPS,6,3.6663961269e+03,0.67
F12017,SBOA-GPS,7,8.0627793799e+03,0.66
F12017,SBOA-GPS,8,7.9649509397e+02,0.67
F12017,SBOA-GPS,9,1.1305739373e+03,0.67
F12017,SBOA-GPS,10,5.3815072875e+03,0.66
F12017,SBOA-GPS,11,8.4453743777e+03,0.65
F12017,SBOA-GPS,12,1.0272669163e+03,0.73
F12017,SBOA-GPS,13,5.5720170256e+03,0.72
F12017,SBOA-GPS,14,2.2868429352e+03,0.68
F12017,SBOA-GPS,15,3.0166340784e+03,0.66
F12017,SBOA-GPS,16,1.4921306759e+03,0.73
F12017,SBOA-GPS,17,6.2632668959e+03,0.72
F12017,SBOA-GPS,18,8.9946824354e+03,0.67
F12017,SBOA-GPS,19,1.9540576175e+03,0.66
F12017,SBOA-GPS,20,2.0079163749e+02,0.64
F12017,SBOA-GPS,21,9.2223954468e+03,0.65
F12017,SBOA-GPS,22,3.4134969281e+03,0.65
F12017,SBOA-GPS,23,4.4559479505e+03,0.66
F12017,SBOA-GPS,24,2.1110904599e+03,0.64
F12017,SBOA-GPS,25,2.1706167309e+03,0.64
F12017,SBOA-GPS,26,9.2565686559e+02,0.65
F12017,SBOA-GPS,27,4.7531505738e+03,0.66
F12017,SBOA-GPS,28,2.9690259451e+03,0.67
F12017,SBOA-GPS,29,7.3263588862e+03,0.66
F12017,SBOA-ERM,0,1.6056743123e+03,0.69
F12017,SBOA-ERM,1,8.2950252613e+02,0.67
F12017,SBOA-ERM,2,3.2778851431e+03,0.73
F12017,SBOA-ERM,3,1.7339191341e+04,0.75
F12017,SBOA-ERM,4,4.9666138337e+03,0.67
F12017,SBOA-ERM,5,4.7236615347e+03,0.70
F12017,SBOA-ERM,6,9.4844516192e+02,0.70
F12017,SBOA-ERM,7,7.6857673241e+02,0.70
F12017,SBOA-ERM,12,5.6323032073e+03,0.68
F12017,SBOA-ERM,13,2.2853884206e+02,0.69
F12017,SBOA-ERM,14,9.6960615331e+03,0.66
F12017,SBOA-ERM,15,1.1948298720e+03,0.68
F12017,SBOA-ERM,8,7.7574513151e+02,0.70
F12017,SBOA-ERM,9,5.1818601064e+03,0.71
F12017,SBOA-ERM,10,1.0029628762e+03,0.69
F12017,SBOA-ERM,11,1.3969559377e+03,0.70
F12017,SBOA-ERM,16,8.3491210636e+03,0.72
F12017,SBOA-ERM,17,1.6368481564e+03,0.73
F12017,SBOA-ERM,18,8.7502738207e+02,0.71
F12017,SBOA-ERM,19,8.0685519948e+03,0.67
F12017,SBOA-ERM,20,1.7287816265e+03,0.73
F12017,SBOA-ERM,21,1.8060579008e+04,0.71
F12017,SBOA-ERM,22,2.0047266385e+04,0.69
F12017,SBOA-ERM,23,8.4142448194e+02,0.67
F12017,SBOA-ERM,24,1.1728314154e+03,0.65
F12017,SBOA-ERM,25,9.7863064052e+02,0.65
F12017,SBOA-ERM,26,2.5974549141e+03,0.66
F12017,SBOA-ERM,27,5.1901418966e+02,0.65
F12017,SBOA-ERM,28,7.7014318059e+02,0.70
F12017,SBOA-ERM,29,3.8601030679e+03,0.65
F12017,GWO,0,1.9119429754e+10,1.06
F12017,GWO,1,1.3567280580e+10,1.11
F12017,GWO,2,1.1043094616e+10,1.05
F12017,GWO,3,1.6819333498e+10,1.08
F12017,GWO,4,1.4554147642e+10,1.14
F12017,GWO,5,1.5278492166e+10,1.12
F12017,GWO,6,1.5990005957e+10,1.05
F12017,GWO,7,1.5382677574e+10,1.08
F12017,GWO,8,1.0711841784e+10,1.13
F12017,GWO,9,1.3780942494e+10,1.07
F12017,GWO,10,1.6902663759e+10,1.05
F12017,GWO,11,1.6140085507e+10,1.07
F12017,GWO,12,1.3607281401e+10,1.05
F12017,GWO,13,1.2485191733e+10,1.05
F12017,GWO,14,1.1157033678e+10,1.10
F12017,GWO,15,1.4223582768e+10,1.10
F12017,GWO,16,1.8186898030e+10,1.11
F12017,GWO,17,1.5222343265e+10,1.15
F12017,GWO,18,1.2587810612e+10,1.16
F12017,GWO,19,1.5806317217e+10,1.16
F12017,GWO,20,1.7984042067e+10,1.17
F12017,GWO,21,1.3163204090e+10,1.09
F12017,GWO,22,1.4627657604e+10,1.10
F12017,GWO,23,1.4372289350e+10,1.18
F12017,GWO,24,1.4609517844e+10,1.12
F12017,GWO,25,1.5428769981e+10,1.10
F12017,WOA,0,3.3140909145e+10,0.56
F12017,WOA,1,3.0987788799e+10,0.54
F12017,WOA,2,3.1910683798e+10,0.55
F12017,WOA,3,2.1622230543e+10,0.53
F12017,GWO,26,1.8358311030e+10,1.09
F12017,GWO,27,1.2950318399e+10,1.09
F12017,GWO,28,1.8527859979e+10,1.05
F12017,GWO,29,1.3981924203e+10,1.05
F12017,WOA,4,4.5185460990e+10,0.55
F12017,WOA,5,2.9450001411e+10,0.55
F12017,WOA,6,3.4797557280e+10,0.56
F12017,WOA,7,5.5350153835e+10,0.54
F12017,WOA,8,1.8559494500e+10,0.54
F12017,WOA,9,2.4230788661e+10,0.55
F12017,WOA,10,3.8640960310e+10,0.56
F12017,WOA,11,3.4476126817e+10,0.53
F12017,WOA,12,3.6226130141e+10,0.55
