dataset,algo,run,sse,silhouette
mall,MSBKA,12,4.4448757424e+04,0.553932
mall,MSBKA,13,4.4458767678e+04,0.553932
mall,MSBKA,14,4.4451745741e+04,0.553932
mall,MSBKA,15,4.4454086896e+04,0.553932
mall,MSBKA,0,4.4454595409e+04,0.553932
mall,MSBKA,1,4.4448732546e+04,0.553932
mall,MSBKA,2,4.4450448453e+04,0.553932
mall,MSBKA,3,4.4449037952e+04,0.553932
mall,MSBKA,8,4.4452703232e+04,0.553932
mall,MSBKA,9,4.4452391921e+04,0.553932
mall,MSBKA,10,4.4455491162e+04,0.553932
mall,MSBKA,11,4.4461431354e+04,0.553218
mall,MSBKA,4,4.4450457763e+04,0.553932
mall,MSBKA,5,4.4452822722e+04,0.553932
mall,MSBKA,6,4.4457738884e+04,0.553932
mall,MSBKA,7,4.4449953328e+04,0.553932
mall,MSBKA,16,4.4449768724e+04,0.553932
mall,MSBKA,17,4.4451490563e+04,0.553932
mall,MSBKA,18,4.4455610464e+04,0.553932
mall,MSBKA,19,4.4456979546e+04,0.553932
mall,MSBKA,20,4.4449250228e+04,0.553932
mall,MSBKA,21,4.4454776127e+04,0.553932
mall,MSBKA,22,4.4457927763e+04,0.553932
mall,MSBKA,23,4.4452582853e+04,0.553932
mall,MSBKA,24,4.4451362894e+04,0.553932
mall,MSBKA,25,4.4455495706e+04,0.553932
mall,MSBKA,26,4.4456449443e+04,0.553932
mall,MSBKA,27,4.4457827646e+04,0.553932
mall,MSBKA,28,4.4456659503e+04,0.553932
mall,MSBKA,29,4.4451588223e+04,0.553932
wholesale,MSBKA,0,5.2948164216e+02,0.196022
wholesale,MSBKA,1,5.3039363407e+02,0.203826
wholesale,MSBKA,2,5.2254793354e+02,0.263801
wholesale,MSBKA,3,5.2225200701e+02,0.258190
wholesale,MSBKA,4,5.2198917272e+02,0.265628
wholesale,MSBKA,5,5.2183370257e+02,0.263732
wholesale,MSBKA,6,5.2155170913e+02,0.260599
wholesale,MSBKA,7,5.2347570838e+02,0.248070
wholesale,MSBKA,8,5.3180058623e+02,0.278375
wholesale,MSBKA,9,5.2161571232e+02,0.258821
wholesale,MSBKA,10,5.2174310168e+02,0.261162
wholesale,MSBKA,11,5.2145529161e+02,0.259992
wholesale,MSBKA,12,5.3657573886e+02,0.302074
wholesale,MSBKA,13,5.2166328405e+02,0.260152
wholesale,MSBKA,14,5.2160692045e+02,0.258821
wholesale,MSBKA,15,5.2140323769e+02,0.260150
wholesale,MSBKA,16,5.2191024609e+02,0.259351
wholesale,MSBKA,17,5.2162772485e+02,0.257497
mall,BKA,0,4.4456602572e+04,0.553218
mall,BKA,1,4.4451713538e+04,0.553932
mall,BKA,2,4.4450725841e+04,0.553932
mall,BKA,3,4.4454074477e+04,0.553932
wholesale,MSBKA,18,5.2210463378e+02,0.259385
wholesale,MSBKA,19,5.2965033355e+02,0.194900
wholesale,MSBKA,20,5.2171748547e+02,0.263658
wholesale,MSBKA,21,5.2171585690e+02,0.260616
wholesale,MSBKA,22,5.2235700068e+02,0.265197
wholesale,MSBKA,23,5.2183417557e+02,0.260390
wholesale,MSBKA,24,5.2160650813e+02,0.262105
wholesale,MSBKA,25,5.2147872228e+02,0.259607
wholesale,MSBKA,26,5.2908280628e+02,0.264002
wholesale,MSBKA,27,5.2206707063e+02,0.259324
wholesale,MSBKA,28,5.3406384680e+02,0.200498
wholesale,MSBKA,29,5.2255204168e+02,0.265869
mall,BKA,4,4.4452958328e+04,0.553932
mall,BKA,5,4.4451418098e+04,0.553932
mall,BKA,6,4.4455394623e+04,0.553932
mall,BKA,7,4.4452498342e+04,0.553932
mall,BKA,8,4.4463152534e+04,0.553218
mall,BKA,9,4.4450706663e+04,0.553932
mall,BKA,10,4.4450097589e+04,0.553932
mall,BKA,11,4.4453103857e+04,0.553932
mall,BKA,12,4.4454714357e+04,0.553932
mall,BKA,13,4.4452327222e+04,0.553932
